,date,username,post content,quoted user,post mood
0,2012-06-08 01:56:00,Brian01,b'i feel like i should just give up................. ',,None
1,2012-06-08 01:59:00,tentgirl,"b""Hey thereIt's so easy to feel like that. How's your day been?Sarah x""",,None
2,2012-06-08 02:02:00,Brian01,"b""hi Sarah,my day been ok ish, but its now.. i feel im useless... :'( i felt this way last night and SH and now i feel like it again x""",,None
3,2012-06-08 02:05:00,Brian01,"b'my head feels like its gonna explode, i cant sleep as i tried an woke cause i felt i was being suffocated, my chest is very tight, with like stabbing pains, breathing aint good too and in alot of pain, i dont have an appetite no matter wat i buy or try to eat '",,None
4,2012-06-08 02:10:00,tentgirl,"b""Oh hun. It's difficult with that urge to SH but I hope that writing can be a way to release. I used to SH so I've been there and I know what it's like. Sometimes, when it's hard to sleep, it can be best to get out of bed, do something and then try again. When you get anxious, is there anything works for you?Sarah x""",,None
5,2012-06-08 02:16:00,Brian01,"b'writing does help abit hun but alot of times my mind goes blank and i dont know really wat to write,like now, i feel like crying but i cant..  x'",,None
6,2012-06-08 02:18:00,tentgirl,"b""Tell me a bit about you. We can either chat about any deep issues or stuff going on for you or just day-to-day stuff. Up to you! Are you in the UK? I live in the south east and it's kicking up a storm here. x""",,None
7,2012-06-08 02:22:00,Brian01,b'i have pm u sarah x',,None
8,2012-06-08 02:26:00,tentgirl,"b""Cool :-) Seems to be taking a while to reach me! Don't panic that I am not replying straightaway. X""",,None
9,2012-06-08 02:29:00,Brian01,"b'thats ok, im not going nowhere yet x'",,None
10,2012-06-08 03:38:00,Brian01,b'im off now............',,None
11,2012-06-08 12:05:00,Brian01,"b'i dont feel i will be around for too much longer, i wish everything to end today  im way too screwed up to cope with anything anymore....i feel like a total let down and a total failure to myself and to others.... totally worthless in everyway'",,None
12,2012-06-08 12:11:00,Foxjo,b'Hi Brian Im on line now if you want to talk?why do you feel a failure? thats a harsh statement to make about yourself?talk to me Fox',,None
13,2012-06-08 12:12:00,jaxie40,"b""I'm around too, Brian """,,None
14,2012-06-08 12:14:00,Foxjo,b'Jaxie..... ha ha whats your avatar all about!! its hilarious!',jaxie40,None
15,2012-06-08 12:26:00,Brian01,"b'it maybe a harsh statement to make, but its the truth Foxjothe urges to SH is getting real bad again, even to OD.... i dont feel good today,  i still cant eat n on 5th day now..... i dont know wat to do nor wat to say, im so screwed up i cant even cry thank you Jaxie, your all so lovely here  you all x'",,None
16,2012-06-08 12:31:00,Foxjo,"b'self harmers are so hard on themselves (i know cos i am one).... we all have relapses!urges are horrific, but you need to get to the root of the urge...what has triggered it off ? (sorry if ive missed another earlier post) maybe we can help with some of those things that are worrying you?'",,None
17,2012-06-08 12:34:00,Brian01,"b""im sorry, i cant even think of what to say... :'(i should go""",,None
18,2012-06-08 12:37:00,Foxjo,b'dont go. pleasetalk to us you can talk about anythingsorry i didnt meant o pressure you',,None
19,2012-06-08 12:41:00,jezcoleman,"b'And im one too, its really hard sometimes mate but it will be ok'",,Cheerful
