,date,username,post content,quoted user,post mood
0,2015-04-12 07:01:00,Waverunner,"b""I am feeling so very low. Can't accurately describe in words how bad I feel. It feels though that it is my fate to die. Soon. It feels inevitable now.""",,None
1,2015-04-12 07:18:00,Per Ardua Ad Astra,"b""I'm sorry you feel so bad at the moment, WaverunnerPlease stick around and stay with us, and don't go through matters alone. Post here.Sending you a hug """,,Chatty
2,2015-04-12 09:17:00,adzesc,b'Hi WaverunnerSorry that you feel this way. Can i ask what kind of support are you getting? Is there anyone close to you that you can turn to. Also when you say that it your fate to die do you mean that you are feeling suicidal? sorry if thats a bit of a blunt question just trying to understand what you mean.',,None
3,2015-04-12 09:43:00,blueflames,b'I know that feeling. Try and hold on as best you can because it probably wont last. Keep talking to us here and if the thoughts become worse then please got yourself to hospital xx',,Sad
4,2015-04-12 10:10:00,maybe.shes.a.wildflower,b'So good to see you back!!  so sorry that its under such sad circumstances. Much love to you xx',,Lurking
5,2015-04-12 11:41:00,katya,"b""I'm so sorry you're feeling like this. I know it might seem inevitable - that's part of the nature of illness that is depression - but it's not inevitable. Things can start to look up (I know it's hard to see that right now). You're worth far more than you realise right now. Try not to focus on the future, because your illness will only allow you to see bleakness right now; try to focus on the moment instead, and try to fill your day with little moments that are as enjoyable as possible. Thinking of you. We're here for you.""",,Crappy
6,2015-04-12 15:44:00,Waverunner,"b'Currently going through an assessment for psychotherapy and waiting to see what I will be offered. Also due to have a few sessions with a psychologist in relation to my physical health. Not really any support outside of that. And yes, I do feel suicidal.'",adzesc,None
7,2015-04-12 15:45:00,MarlieeB,b'((((((((((Waverunner))))))))))',,Sad
8,2015-04-12 16:03:00,messymoo,"b""I'm sorry to see your struggling too I hope you can keep yourself safe. Thinking of you  xx""",,None
9,2015-04-12 16:14:00,braveone,"b""In a similar boat, as so many of seem to be. No magic answer im afraid. You're going through the hardest of times, but it won't last. It can't. You'll either start to see hope or do as you're suggesting and exit. Even though I dont know you and will never meet you, I hope the former is the case. You have worth as do we all. Somewhere, sometime you will cause someone to smile, and somewhere someone will make you smile. Just do your best to keep going until then""",,None
10,2015-04-12 22:52:00,rubyrose,"b'So sorry to hear it, Waverunner. I truly hope you keep holding on and keep yourself safe. '",,None
11,2015-04-12 22:52:00,SarahD,"b""When I am desperate and very suicidal, and there is no help (which usually there isn't), I try to persuade myself to put it off. I tell myself I can do it if I have to, but I can wait one day more.That bit of time can help sometimes.""",,None
12,2015-04-12 22:55:00,*autumn*,"b'Hi waverunner, thinking of you xxx'",,Fine
