,date,username,post content,quoted user,post mood
0,2013-06-20 16:53:00,keepsafe,"b""I keep losing chunks of time, I'm scared I will hurt myself. I need to hurt myself though anyway as I am a no good person. The past has damaged me incredibly and I deserve to be punished.""",,Angelic
1,2013-06-20 17:44:00,fallen,"b""You are a good, kind person KS. You definitely don't deserve to be punished, even if you have made mistakes. You mentioned the past has damaged you-I suspect that others were involved in this damage. Don't blame yourself unnecessarily-remember others are responsible for their own behaviour and it is not right you should suffer for that which is not your fault.Take care and stay safe.""",,None
2,2013-06-20 17:49:00,redfraggle,"b'Hey Keepsafe, I am sorry you feel so bad. You are not alone and I wish I could help in some way. Do you have contact with Crisis team or CPN? x'",,Sad
3,2013-06-20 17:50:00,angry butterfly,"b""you do not deserve to be punished, it's other's I suspect that deserve to be punished.""",,None
4,2013-06-20 17:57:00,ranger,b'KeepsafeYou are most certainly a decent person and care about others and are supportive.Sometimes it can be more about the people from our past and those that took advantage and just the fact that they preyed on our vulnerability. And these scars can loom large during stressful periods. I hope you can relax a little. Be your own best friend. You deserve to be happy. If people in the past were unkind or abusive that is about them. You have always seemed a kind and supportive person on here.Hope you can relax a little tonight.Hugs your way. Ranger',,None
5,2013-06-20 18:06:00,keepsafe,"b""Thanks all it means a lot. I can't seem to relax, my past affects me very much indeed. Sexual abuse is something that is horrendous, how do you ever get over it?I hear voices, suffer flashbacks and dissociate - I hate me I hate this life.""",,Angelic
6,2013-06-20 18:07:00,keepsafe,"b""I guess I should ring the crisis team, but find them to be unhelpful sometimes and if they are tonight - I just don't think I can take it.""",,Angelic
7,2013-06-20 18:09:00,Fairy Lucretia,"b'sending you all the love I have ,from the deepest parts of my heartx'",,Angelic
8,2013-06-20 18:14:00,fallen,"b""Do you have someone who can be with you or do something that will keep your mind and hands active tonight if you're not comfy ringing the crisis team?x""",keepsafe,None
9,2013-06-20 19:01:00,keepsafe,"b""I'm going out with a friend, not up to it really but that should keep me occupied, we are going for a meal. I will hopefully just be able to go to bed when I get home, but my mind is playing tricks so who knows.Thanks everyoneKSxx""",,Angelic
10,2013-06-20 22:12:00,Taff,"b'KeepsafeIt is so hard, and a lot here will understand. Stay safe and remember that you are here now and nothing ever was your fault. Here too .Safe hugs and love to you xxx'",,None
11,2013-06-21 09:07:00,keepsafe,"b""Thanks Taffy,I went straight to bed when I got in, took my night meds and some zopiclone and diazepam to make sure I was really going to be out for the count.It's awful feeling these emotions - I wish that life was different.""",,Angelic
12,2013-06-24 16:26:00,keepsafe,"b'Doc and social worker same I am a danger to myself right now - being monitored and also have c.t. I am losing the plot. I need to talk, but what about - I need my head to just stop and I am sick of the voices and flashbacks..'",,Angelic
13,2013-06-26 10:15:00,redfraggle,"b'Hey KS, how are you today? Sorry not to reply sooner. Do you have support from Crisis team?Be kind to yourself xx'",,Sad
14,2013-06-26 15:08:00,keepsafe,b'Ended up in hospital',,Angelic
15,2013-06-26 15:16:00,Fairy Lucretia,b'sending loads of hugsxx',,Angelic
16,2013-06-26 16:15:00,redfraggle,b'Hope you are doing ok and glad you are safe x',,Sad
17,2013-06-26 17:52:00,keepsafe,b'Safe for now and thanks for the hugs xxxxxxxxx',,Angelic
18,2013-06-27 13:54:00,keepsafe,"b""My s.w. says he cannot stop me from the dangerous stuff, I have to take responsibility, well I think I do, I try not to let them take control - its my right. I think I have the right to die if I wish.My voices are loudest of loud and I can't seem to ignore them, I believe everything they say to me and I am the lowest of the low.""",,Angelic
19,2013-06-27 14:07:00,Zoe :),b'Hope you are okay   x',,Tired
20,2013-06-28 12:29:00,redfraggle,"b'Hey KS, just checking in to see if you are doing okHugs Rf x'",,Sad
21,2013-06-28 16:27:00,Taff,"b'KSTaff here love to you from me, xxxxxxxxxxxxxx'",,None
22,2013-06-28 23:23:00,keepsafe,"b'Hey taff, messed up again, just waiting on c.t. to phone me, what is the point eh????????????xx'",,Angelic
23,2013-06-28 23:48:00,Taff,"b'Hi there, got the milky drink and bath on standby I have been trying to get them to have a new script writer, I was thinking Victoria Wood a sort of c.t. version of Acorn Antiques. Or Dinner Ladies. I bagsy being Mrs. Overall.and if its a success with you, we can roll it out across the country. Like a giant cheeseAre you up for it ?Love to you Taff xxxx'",,None
24,2013-06-29 01:06:00,Imperfect-Angel,b'Just dropping by to send a big hug & hope crisis team are helpful tonight....xxxx',,Lurking
25,2013-06-29 12:31:00,keepsafe,"b""The crisis team never even got back to to me last night, shoddy or what - I will go with you taff - your idea's sound brill.Anyway I will sod the lot of them and do it my own way, which tends to be bad but hey what else is there?KSxxx""",,Angelic
26,2013-06-29 16:32:00,Taff,"b'What a blinking joke eh? Not.Outrageous stuff how the sod to they choose these people. They have to have had all emotions removed as part of the job interview I am sure, sending you a giant hug and a MHF safety net xxxxxxxxxxlove to you xxxxxxxxxxxxxxxxxxx'",,None
27,2013-06-29 22:21:00,keepsafe,"b'Had to phone them again, guess what hot drinks all round FFS!'",,Angelic
28,2013-06-30 13:01:00,blacktulip,b'Hey honey pie my sweet ks the crisis team were supposed to be out to me n ive not seen them all weekend a shower of shite they are. Please keep talking on here n reaching out I think this is THE place for support sod bloody crisis team. I love you very much babe please be safe xx',,Worried
29,2013-06-30 13:35:00,keepsafe,"b""Hey I love you very dearly too, I can't believe the crisis team haven't been to visit - the shower of shite!I reckon two less of us in the world and they wouldn't miss us. I have started drinking, don't know what else to do, I have taken diazepam, but drink seems to be the best way forward at the minute. I have such loud crazy voices and my dad is bugging me, that's putting it mildly.Love youKSxxxxxxxxxxxxxxxxxx""",,Angelic
30,2013-06-30 15:58:00,Taff,"b'Hot drinks? Hot drinks?FFS who do they think you are...... the fecking Ovalitinees?I am so angry and feeling powerless to help, keep ringing the bastards.Foaming at the mouth, meself..... must be all the fecking Horlicks and warm baths ps love to you both, you are the best xxx Taff'",,None
31,2013-06-30 16:33:00,keepsafe,"b""Thanks Taff, I can't be arsed with them, what is the point, have been drinking so maybe feel the urge to ring later and tell them what utter F*ckers they are. I have very strong urges, had them before the drink, not drunk but could do with being in oblivion.How are you - apart from the foaming?Love KSxxxxxxxxxxxxxxxxxxx""",,Angelic
32,2013-06-30 16:55:00,Taff,"b'Hi there xxapart from the foaming I have a hangovershame on meI actually went out last night to a charity do and partook of a lot of wine, and a gin and tonic, and two shots of lemoncello ( found in a cupboard when I got home, and two glasses of cooking brandy, also in said cupboard)Put to bed What a Taff night out and so unlike me, hugs to you xxxxxxxxxxx in solidarity xxxxx'",,None
33,2013-06-30 17:50:00,catkin,"b""ks, I don't know what to say, why are crisis teams so crap at dealing with crises? Willing you on xx""",,Sad
34,2013-07-01 12:50:00,keepsafe,"b""Taff - you naughty naughty!!!!!!!!! Hope you are feeling a bit better today.Catkin, I don't know why they are so crap, myself and b.t. are under the same crisis team and they are f'ing useless - I don't think they care at all.I have strong urges still and feeling unstable - seeing s.w. this afternoon.""",,Angelic
35,2013-07-01 15:58:00,Taff,"b'Hey therehugs to you,( I will never drink again)I cant stop singing ""sweet caroline"", its stuck in me head xxxSending you hugs dear KS and Catkin too therehope sw is a bit more with it and doesn\'t drink Horlicks xxxLove to youTaff xxxxxxxxxxxxxxxxxxx'",,None
36,2013-07-01 16:23:00,parakeet,"b""Hi,I've read this thread this morning and have been in your shoes often. I'm sorry you're struggling so!!I have been drinking lately too but decided that yesterday would be my first sober day! yay!So how are you feeling today? Sometimes I've felt that drinking helps the situation sometimes it hinders. I hope it helped you escape for a bit. Tho the mental health providers will want you to stay away from the booze.I don't know what country most of ya'll are from? I'm in the USA.I'm new to this forum and would like to give encouragement to you! Hopefully you woke up today and you feel better. Since its Monday hopefully these stupid crisis workers will get with it! ARGH! Ticks me off too!Ya'll seem to be a great sisterhood! I think that is wonderful. I don't know what a lot of the verbage is that ya'll write about?? Remember if you have a hangover ladies to drink lots of water. If you ever drink again drink water with it.It helps keep you hydrated which is the problem with drinking cuz it dehydrates us and that's what makes the headache. ssoda crackers work well for nausea.I know that is the least of your problems. Its very disconcerting to have the voices. sounds like you need a med change?? overall I've been satisfied with my injection of invega but its 300.00 a mos. and cannot afford it anylonger so going back on Risperdal. ughAntiphychotics if you get on the right one really can help you. I don't know your history of course so pardon if i'm ignorant of your circumstances. Again, I'm really sorry. Hang tuff! Take care, Parakeet""",,Blah
37,2013-07-01 17:15:00,ranger,"b""On many occasions, I found emailling the samaritans when I was in crisis, rather than ringing the out of hours line was better for me.Can't say ringing the crisis line ever really helped me a great deal. The advice actually showed no understanding of mental health conditions and how they effect people. Some of the things they said were just plain ignorant.If you want the link for the samaritans Ks, it is on this website.But anyway here it is.jo@samaritans.orgYou often get a better response written down anyway.Hence why we write on here.""",,None
38,2013-07-01 17:18:00,ranger,"b'What I do think with the samaritans as well, is most people who volunteer, have either suffered some sort of mental health problem or have someone who is close to them who has, so in my view they are much better in general than the out of hours line, who are simply doing a job that they are paid to do.That is only my opinion though.Hugs your way though keepsafe.Ranger'",,None
39,2013-07-02 04:51:00,keepsafe,"b""I have a persecutory nature apparently says my s.w. and I need to stop punishing myself - its hard to when you have spent a life of doing such. I am being closely monitored as I am so unstable, but I don't want hospital, they say I may not have much choice if I carry on like this (Carry on)!Diazepam double dose and 2 lots of sleepers are helping a bit to keep me out of it a little hazy you know.Just opened my script last night to find the pharmacy have f*cked up and only given me three each of my anti depressants and my anti psychotic - great as I didn't want to go out today, I wanted to hide.My anti psych usually helps, but lately its been not so good as I have been in overdrive. I have been on resperidone and don't want to have to switch back to that cos it did actually make me a zombie.Thanks all for your well wishes - I'll get somewhere soon I'm certain of thatKSxx""",,Angelic
40,2013-07-02 13:55:00,keepsafe,"b""I'm keeping myself maintained on diazepam, it's false I know but too many string urges otherwise.xxx""",,Angelic
41,2013-07-02 14:19:00,Taff,b'Hello there KSHope you stay safe and sending you lots of love xxxTaff',,None
42,2013-07-02 16:56:00,keepsafe,"b'Thanks Taff, strong feelings to hurt - but must stay safe - must I?KSxxxxx'",,Angelic
43,2013-07-02 18:52:00,Taff,"b""Yep comradeI understand, but I cant say owt else to you but: stay ever so flipping safe xxxcos that's what we need to you to do, cos we care ever so blinking muchBy orderThe Taffxxxxxxxxxxx""",,None
44,2013-07-03 12:40:00,keepsafe,"b'Thanks Taff! An order is an order I suppose.....It made me chuckle anyway, so thanks for that.I sat out in the garden this morning and thought what a fool I am.'",,Angelic
45,2013-07-03 12:50:00,Taff,"b'hey thereYoure no fool at all, just trying to get through all the mud like the rest of us.Big hug to you and lots of loveTaff xx'",,None
46,2013-07-03 12:52:00,keepsafe,b'Oh but I am a fool for letting them win - I should try harder.Thanks for the hugs and love Taffxxxxxx',,Angelic
47,2013-07-03 23:10:00,anklebiter,"b""It sounds like you're dissociating, has this been happening a long time? Do you speak to anyone about it. You definately don't deserve to be punished, it's just your mind playing tricks on you.""",,Cynical
48,2013-07-04 22:06:00,keepsafe,"b'Um yes I miss great chunks of time, my sw knows.......its difficultTherapy tomorrow for the first time in ages. 2 yearsPyschodynamic - scared a real lot'",,Angelic
49,2013-07-04 22:09:00,cpuusage,"b'If they know their stuff then it can potentially be helpful, depends who you get? Hope it goes well.'",keepsafe,None
50,2013-07-04 22:41:00,pepecat,"b""That's what i had and it was really good. Hard work, painful, emotional, made me feel like crap sometimes, but SO good in providing me with an understanding of why i think / feel the way i do and how that doesn't have to be the case. I hope it works out for you, but it will be hard work.""",keepsafe,Pensive
51,2013-07-04 23:16:00,Taff,b'Hello dear KSpsychodynamic lots of loveTaffx',,None
52,2013-07-05 09:39:00,keepsafe,"b""Thanks cpu, pepcat and taff, I think it will be an emotional roller coaster. I'm so scared at the minute, I have already thrown up - pathetic I know.I have to get there, I will get there.Arrrggghhhhh, perhaps I should take some diazepam but I wanted to be clear, not that I am thinking straight right nowKSxxx""",,Angelic
53,2013-07-05 11:47:00,redfraggle,b'I just wanted to stop by and say hi and good luck x',,Sad
54,2013-07-05 12:45:00,keepsafe,"b'Thanks all for supporting me. I really mean thatSession went ok, it was very difficult to open up and talk about all the disgusting stuff, I feel like I made some contact with the person though. You are right its not going to be easy.I want to change though is what he got from the session and you know what I do.KSxxx'",,Angelic
55,2013-07-06 00:21:00,Taff,"b'Well done KSGlad you got through the session, was thinking of you.Keeping you close to my heart and love to you xxTaff'",,None
56,2013-07-06 00:58:00,keepsafe,b'Thanks taffLove you tooxxxxxxxx',,Angelic
57,2013-07-06 10:48:00,keepsafe,"b""After the shock of the therapy I started to feel really wobbly. I had to ring the crisis team twice in the early hours, he was helpful though which was a shock also. He was empathetic and real. He suggests that maybe next week ask the therapist to take it a little slower as the probing questions were very very difficult. I answered then all though as if on auto pilot. I now regret, maybe not regret but am upset about it. I will move on though, I don't want to end up in hospital again.KSxxxx""",,Angelic
58,2013-07-06 12:15:00,pepecat,"b""There is, unfortunately, a sort of ''buyer beware' with therapy, in that it may well leave you feeling worse initially before it gets better. My therapist did warn me of that at the start of mine, but me being me, it took about 18 months before i really started opening up and talking about stuff, so for me the last year was really hard. It does get better though. I think there's a point where old defences and coping mechanisms are kinda being opened up and dismantled a bit, but the new ways of managing aren't quite concrete enough, so there is a period where you feel all over the place. My therapist said it's part of the process, and a sign that real change is happening. It's not unusual at all, and decent therapists should know about it, warn you about it, and be able to keep you safe while the therapy is happening - i.e by not rushing things and being able to handle whatever you tell them, and be able to 'contain' you and your emotions during the process. Can you contact your therapist in between sessions if you need to? I know you've only had the first one, but when things got really tricky for me, my therapist said i could call her if i was feeling wobbly. I did it twice, and it really helped. I know they don't generally like to encourage that (contact in between sessions) but sometimes it is appropriate. Could you tell your therapist in the next session how you've been feeling in between? It might get them to slow down a bit and take it a bit more gently - they shouldn't really push you too hard at the start as they need to see where you're at and build the relationship. Hang in there KS, it will be ok.""",,Pensive
