,date,username,post content,quoted user,post mood
0,2013-12-27 23:57:00,lostgirl19,"b""So recently i've had a few people tell me that it's possible I could have a personality disorder. I'm not really sure how to feel about it. I sort of don't really want a label, it upsets me. But having a label could help as well. I don't know. I am only 19 and really in a vulnerable state so maybe it's best I don't know for sure at the moment anyway. I just don't really know how to feel about it at the moment. It doesn't feel real.""",,Sleepy
1,2013-12-28 00:31:00,MrsMcelderry,b'I totally get what u mean ive been lablled with emotionally unstable personality disorder and it upsets me but now I can get the right help that I need it may upset u but think that in the long run it will be at ur advantage :-) xx',,Paranoid
2,2013-12-28 09:48:00,BlueGlass,"b""Got to know what the issue is before you can tackle it.  Labels don't matter, you don't have to wear a tee with it on, unless you want too.""",,None
3,2013-12-28 09:58:00,Fairy Lucretia,"b'my BPD diagnosis was helpful ,I understood more why I feel and react the way I do and I can try challenge some of my thoughts now I know what is going on with me ,if you want to talk about it message me ,BPD is often misunderstood but there is hope with this diagnosis x'",,Angelic
4,2013-12-28 11:21:00,Kerome,"b""Getting a label can be an opportunity, it's a chance to look at your story and your symptoms from another direction, and maybe recognise some things that you didn't think of as symptoms. So I wouldn't dismiss it out of hand, and it can help you get access to therapy. Maybe it's worth going with it just for that.In the long run, I think it's like a coat, you have to feel comfortable wearing it. If you really don't feel it's you, you can try to get it changed, although as I understand things doctors aren't always helpful with that. Ultimately your story and what happened to you define your condition better than any label could, and there may be some comfort in that.Hugs """,,Doh
5,2013-12-28 11:37:00,lostgirl19,"b""Thank you all. I think you're right that it can helpful but the CMHT Manager/CPN yesterday said that labels aren't that significant, it's about the treatment. As long as they know what the right treatment is for me and I stick with that then a label shouldn't really matter. But at the same time as Lu said it can help you understand yourself better to why you think and act in certain ways. I guess I am young and labels like this can be scary for me and hard for me to take. I just feel a bit overwhelmed really xx""",,Sleepy
6,2013-12-28 11:50:00,lostgirl19,"b""I feel like I don't belong anywhere. Well not in this world anyway  I am guaranteed to kill myself. It will happen it's just a matter of when.""",,Sleepy
7,2013-12-28 12:45:00,voyager,"b""I had that feeling that I didn't belong anywhere and didn't know who I was, like being in the wrong body or in a parallel universe. I feel more grounded now though. Does this sound like you in a way? xoxo""",,Angelic
8,2013-12-28 12:47:00,lostgirl19,"b""Yeah that's how it feels  Apparently that's common for people with a PD :/  xxxx""",,Sleepy
9,2013-12-28 12:51:00,voyager,"b""Well that's me too! I was told that I had some sort of a personality disorder 20 years ago by my psychiatrist. I was a little concerned at the time, but it answered a few questions I suppose xx""",,Angelic
10,2013-12-28 12:57:00,lostgirl19,b'Yeah I feel the same about it too!  it sucks xxxx',,Sleepy
11,2013-12-28 13:07:00,Kerome,"b'But the first time you get a significant label attached to you is a confusing and challenging experience for anyone, regardless of age. They\'re looking at my \'diagnosis\' at the moment as well, although I\'m hearing noises of ""well you\'re definitely not a mood disorder"". Funny, and slightly discomfiting.'",,Doh
12,2013-12-28 13:10:00,voyager,"b""In time, it got better for me, but the only med that helped was clomipramine.I also take diazepam when I'm in social stressful situations, I still need lots of sleep and do feel different to people around me. As I've got older I've just thought what the heck, it doesn't matter what people think about me, that I act the fool when possible! but am too shy sometimes! I suppose I do feel a little eccentric, people don't understand, I do feel like an observer, it's finding other people who are on my wavelength and there are others out there, lol. The job I had working in an office, I couldn't stand as I felt so trapped and anxious, the job I have now suits me because I travel to people's houses as a carer and I feel more in control. I don't like people telling me what to do and feeling trapped, I enjoy that feeling of freedom!I was very suicidal in my office jobs, it was a nightmare. I hope this helps you in some way, perhaps you can relate to some of it. I think you are still finding yourself, I certainly was at your age I like your new avatar by the way, love eeyore! xox""",lostgirl19,Angelic
13,2013-12-28 13:20:00,lostgirl19,"b""Thank you both  it's good to know that there is some hope even if I can't really see that atm xx""",,Sleepy
14,2013-12-28 13:22:00,voyager,b'I nearly got myself one of these!image.jpg',,Angelic
15,2013-12-28 13:23:00,lostgirl19,"b""I want one now! Lol so cute!I might be seeing the nurse today. She's meant to be calling me within the next hour. I don't know what to say to her :/ xx""",,Sleepy
16,2013-12-28 13:27:00,voyager,"b""I think you should get one, look on line and see what there is, I think you deserve one, I do!!!How are you feeling at the moment, are you worried about anything? Just think there's no pressure, you are the one in control, it's what you feel you need sweetie?""",lostgirl19,Angelic
17,2013-12-28 15:46:00,lostgirl19,"b""I got some random nurse who just spoke to me for ages and pretty much threatened to tell my parents/hospitalise me. Sick of this. Why does it have to be so up and down with them. I can't stand this any longer :'(""",,Sleepy
18,2013-12-28 15:55:00,voyager,"b""I don't know how to put this, but it's up to you, what you feel is best for you, but at the same time she was probably very concerned for you and thought your parents needed telling to help you I would think sweetie. Xox""",lostgirl19,Angelic
19,2013-12-28 15:57:00,lostgirl19,"b""I just hate it when people promise me things and don't stick to them. I don't understand why they do this to me. Thanks I know they don't mean it in a horrible way but when they say things like that it upsets me and makes me feel like I obviously can't trust these people. xx""",,Sleepy
20,2013-12-28 16:03:00,voyager,"b'I know what you mean, they are just human beings like the rest of us, but if they make promises, they should stick to them xox'",lostgirl19,Angelic
21,2013-12-28 16:05:00,voyager,"b""Yes. Them making threats to do things, when you don't want them to, is not what you need, I can see that lovey, I'd feel the same way as you, it's the last thing you need! xox""",,Angelic
22,2013-12-28 16:15:00,MrsMcelderry,"b'Lost, i totally get what u mean the SWIDS team kept saying we will have to tell ur parents so they can support u, i cry and scream at them to tell them not to its like they want to put u in a state so they have no choice but to tell them if that makes sense... hope ur okaii sweetie? <3'",,Paranoid
23,2013-12-28 16:22:00,lostgirl19,"b'Thanks V yeah I could really do without it. My care coordinator was meant to be calling and seeing me today. That\'s why i\'m upset. They realise consistency is key with me and she said I would be seeing her every visit unless she has a day off but that she was calling me today with the probability that she would see me. And I get this other nurse (who was okay but not the same) who didn\'t even explain what was going on when she called. Not even ""I\'m sorry ... didn\'t call like she was supposed to, i\'m calling instead because..."" nothing like that.Thanks MrsMcelderry for understanding it\'s horrible isn\'t it. I\'m not in a good place at all, I didn\'t get a visit like I probably needed to but if my care coordinator had called I would have done. I just hate all this uncertainty.xx'",,Sleepy
24,2013-12-28 16:25:00,lostgirl19,"b""At the end of the call when she said about speaking to my parents and hospital, she said she would discuss our conversation with the rest of the team. I don't know what that's meant to mean or what's likely to happen. I'm in such a panic.""",,Sleepy
25,2013-12-28 16:30:00,Tiddle,"b""Hope you are feeling ok? As you are 19 and legally an adult I don't think they can just tell your parents if you request that they don't. They are not allowed to discuss your care other than with those involved. Obviously they can decide that hospital would be best but even then a cpn can't do this without a mental health assessment by someone in the position to do so. Hospital is normally the last resort first off they would offer you the home treatment team. Hope this helps with some of your fears.""",,None
26,2013-12-28 16:31:00,MrsMcelderry,"b'It is horrible it really is i know... i wish i could contact my care co-ordinator out of work hours and weekend instead i get the SWIDS team haha.Lost, Calm down sweet please, All that means is that she needs to talk to her collegues on what she should do next and what is the best support and help she can do for you coz she doesnt want to say the wrong things and upset u more, they all talk with each other and she will contact u and have a good talk with u. can i ask are u above age 18? xx'",,Paranoid
27,2013-12-28 16:33:00,lostgirl19,"b'Thanks Tiddle not feeling great at the moment I feel like i\'m back at square one again which is a shame as yesterday\'s appt was much more positive and I felt a bit calmer and relieved. I have been under home treatment for a few weeks already. And for ages people have wanted me in hospital but as my CPN from CMHT said ""I knew you would charm your way out of being sectioned when you had the mental health act assessment"" so i\'ve been very lucky but people still want me to be in hospital it seems. It just really upsets me. Yeah that\'s what I thought i\'m 19 so surely it\'s up to me if my parents know how bad i\'m feeling or not but I suppose the fact I live with them might change things a bit. I just hope that when she tells the rest of the team that nothing bad happens :/ Things like this make me feel like disengaging which I know is wrong but I just hate all this up and down constantly with them.'",,Sleepy
28,2013-12-28 16:34:00,lostgirl19,"b""Thanks Mrs M. What's SWIDS? I'm 19. I hope that's all it is xx""",,Sleepy
29,2013-12-28 16:35:00,voyager,"b'I bet you wish that this nurse had never turned upsometimes although meaning well, they can leave us feeling worse than before! xoxoxoxoxox'",lostgirl19,Angelic
30,2013-12-28 16:37:00,lostgirl19,"b""It was only on the phone V! Yeah that's partly why I struggle to trust the services cause I feel like often they can make me feel worse. She wasn't horrible she was quite nice but some of the things she said about hospital etc and the way she never even explained why my care coordinator hadn't rang to arrange a visit to see me today upset me and unsettled me too. It's like I want to protect myself from the services by disengaging :/ xxxxxxxx""",,Sleepy
31,2013-12-28 16:42:00,Tiddle,"b""Living with your parents still shouldn't make a difference. I was the same I didn't want my family to know of my involvement with mental health services and they have had to stick to that - no post sent home, no phoning house, no visits and to be fair they have respected my wishes. I think you will be ok but if you are feeling really really bad then listen to what they can offer you as it may help. If you have a good relationship with your parents why not give them a chance to support you - family can help a lot if the relationship is good. I wasn't so lucky""",,None
