,date,username,post content,quoted user,post mood
0,2012-10-14 11:05:00,pepecat,"b""So all the literature / people say transference is a good, positive, normal thing as part of therapy. My therapist says the same. I can kinda see that it is, but what no one tells you is how bloody awful it makes you feel.All those unresolved feelings / emotions / whatever from when you were a kid, all opened up again to be worked through with someone who can't be a parent to you, wont ever be - and that's ok - it's not their job, and frankly it would just be....well....weird. So what happens while all this is going on ? You feel like crap and have to sit with all this stuff in between sessions.... 50 minutes a week is nothing. Bloody hell.........""",,Pensive
1,2012-10-14 12:10:00,keepsafe,"b'Hi Pepecat,you are right 50 minutes a week is nothing and then to be left with all the raw emotions is terrible. You have to find your own way to deal with these emotions, be it your own coping mechanisms or ones suggested to you by the therapist. By no means its easy, I still suffer with the raw emotions too and I have been out of therapy for nearly a year and a half. I do have my own coping mechanisms but sometimes do not have the ability to use them.You must stay strong and believe, by no means therapy is the end of it all - I think its a life long battle and we all get it wrong a lot of the time.Please stay safe and wellKSxxxxx'",,Angelic
2,2012-10-14 12:27:00,starryeyed222,"b""i completely understand where your coming from....i took two weeks off work to give myself a break and to give myself time to really work on coping mechanisms and helping myself and unfortunately that has coincided with 2 weeks of no therapy as my therapist is unable to work these two weeks. Last session was a really tough one and i left with feeling proud of what i'd achieved (a very alien feeling) and overwhelmed with negative thoughts at the same time...since then my time off has gone downhill and i dont have a therapy session til the 23rd now and thats going to be the start of a really tough lot of therapy sessions (even more tough than the others as looking at self hatred) so im not looking forward to that. 50 mins really is not enough, my sessions nearly always overrun and we have to 'save' something for the following week usually too. They should be like an hour and a half or something or twice a week would be better maybe.""",,Sad
3,2012-10-14 16:42:00,catkin,"b""Think I can relate, altho not in therapy atm but have been doing some work with cpn that has induced huge destructive rage that I can't get rid of. I know it's related to other stuff/people but am so angry with her! Think it's destroyed that relationship. It does feeel devastating, wish I knew a way of dealing with it.""",,Sad
4,2012-10-14 17:13:00,MissKitty,"b'This therapy business isn\'t easy is it. Sometimes I wonder if understanding ""why"" is enough. It\'s the ""how to cope from now onwards"" bit that is so hard. What do you do with the feelings of hurt, guilt, shame, regret etc? In really difficult situations where childhood was hell and destroyed you, I can\'t imagine how you manage that bit. Find an inner core of strength I suppose and gradually re-build your self-esteem?I\'m not sure what you mean by ""transference"" Pepecat. Would you explain in terms of what happens in therapy? Maybe I haven\'t got to that bit yet.All I would say is that therapy seems to go in peaks and troughs, and no there never is enough time - particularly if you are an older participant. In past attempts at therapy when they asked me to give them an idea of the problems, my response was always, "" Well, how long have you got?"".......x'",,Confused
5,2012-10-14 17:21:00,mrlaurel,"b""I am getting one session once every three weeks, its good and helps but I need more, I think around twice a week would be much better for me, no chance, seeing him every week isn't a option as he's so busy.stan""",pepecat,Cynical
6,2012-10-14 17:25:00,MissKitty,"b""I don't think that's enough Stan. Once a week is probably about right.x""",,Confused
7,2012-10-14 19:05:00,pepecat,"b""As far as i understand it (which probably isn't all that far!) transference is kinda the redirecting of emotions etc from childhood towards someone else. Hopefully in a therapy setting, the emotions get a chance to be worked out / resolved properly in a safe place, when they might not have been when we were kids, which is probably why we ended up in therapy in the first place! Basically it's sort of 'playing out' (though i don't mean that term lightly at all) emotions etc that we experienced in childhood, in a safe place where no one will tell us off for being angry or upset or scared or whatever. It means we can experience and then work through those emotions and stuff can get mended.I suppose it's like if you didn't feel particularly loved or understood by a parent (often a mother, how typical....!!) then than need to be loved and understood and 'parented' goes unmet and you have this longing for that. In therapy then, you can start to see the therapist as a sort of parent figure, in that you feel understood by them and safe with them. So you 'transfer' your feelings for a parent figure to your therapist. Apparently it's all perfectly normal in certain types of therapy, including the one i'm doing. And it is something that should be brought up and talked about, cos working through it is an important part of things as well. My therapist has been totally unsurprised by it all with me - it's a recognised part of the process of therapy. Some therapists (usually inexperienced ones) don't handle a client's transferring stuff all that well, but most have been trained in how to deal with it and are aware of it and how it works. I suppose if you're working with people who are distressed, vulnerable, lonely, scared etc, and you offer them a safe place and listen to them and don't judge / criticise, then it's no wonder clients start seeing you as a special person in their lives.""",MissKitty,Pensive
8,2012-10-14 19:08:00,pepecat,"b""Yes, that is totally the hard bit. I remember saying to my therapist a few weeks back that i felt all edgy and angry and i didn't know what to do with that, and she said 'why do you need to do anything with it?'.Her point was that if you're feeling happy you don't question it and wonder what to do with it, so why should you with 'negative' emtions. I see what she means, and i suppose it is about learning to feel and live with less pleasant emotions. I don't know how to do that yet though......""",MissKitty,Pensive
9,2012-10-14 19:11:00,catkin,"b""I think your description of transference pepecat is spot on Pepecat. But surely we can't live feeling so so full of rage without doing something with that feeling? don't think it's been dealt with at all well in my case this time and it's pretty damaging.""",,Sad
