date,username,post content,quoted user
2018-08-27 22:06:00,mami5,Have been really struggling with suicidal thoughts all day. Can't get them out of my head. Don't want to live anymore. (cry2),
2018-08-27 22:16:00,Mayflower7,"Hi Mami,I'm sorry your struggling and feeling suicidal, I know you don't trust your CPN or cmht.Think you had problems with the Samaritans as well.A/E is too far away. I'm here to listen and care.I'm not surprised your feeling low, you've been thru such a lot.Can you book to see your GP, not sure how long you have to wait. Hope I'm right that you trust her more.I'm sure your trying to distract yourself.Hope you feel better soon.Keep safe Mami and don't make any rash decisions.We care here about you (Hug)Take care",
2018-08-27 22:57:00,mami5,Thank you Mayflower (Hug)Seeing my GP in near impossible......or any when it comes to that! I don't trust her anymore anyway.....she works with CMHT.....and I really don't trust them.My head is telling me I really want and need to die. I can't see a way out of this.,
2018-08-27 23:08:00,Mayflower7,"Hi Mami,Sorry about your GP, don't listen to your thoughts. Please believe me.You don't need to die, I've been suicidal before.It does pass, it is distressing I know.Here to listen.Take care",
2018-08-27 23:11:00,Mayflower7,Here is a link to a great article hope it helps. Suicidal Crisis – Mental Health Forum ,
2018-08-27 23:27:00,mami5,I keep imagining me dead and what would happen in life without me there.I'm losing the will to live.,
2018-08-28 00:47:00,Mayflower7,"Hi Mami,Think of all the people who love you and how much they'd miss you.Intrusive thoughts are horrible, they will pass. Hope you can get some sleep Mami.Take care",
2018-08-28 01:03:00,Aurelius,"""I keep imagining me dead and what would happen in life without me there."" - On the day one of your children look for you (and at least one of them will), you will not be there. My friend's sons, from time to time, still look for him - but all that there is for them, is what is left of him in other people.My mentor used to constantly remind me that 'you can lose the will to live - which may be about reaching the depths of despair, hopelessness, exhaustion and depression - but that that should not be confused with making a conscious decision to die by taking your own life'. Mami, please walk away from ending your life and leaving the world an emptier place - especially for those you love. You have already had so much taken away from you - if you are not there - what you have lost can never return.",mami5
2018-08-28 01:05:00,JohnDoe-mk42,"Hey Mami, I don't know you and you don't know me, like at all, but I've recently had two friends go through similar emotions and a year or two ago I felt the same way, fortunately I held on through those dark times long enough to regain the will to live, my friends on the other hand didn't. I wasn't particularly close to them and I regret that as I couldn't give them the support they needed. So I would request that you do two things for me, 1) please try your very best to just fight through this, one day it'll get better 2)reach out to someone, anyone you know for support don't let someone else make the mistake I made best wishes to you for the future and all the wonderful things that will come.",
2018-08-28 02:45:00,SelfRespect,"I wish I could offer better support. I took an overdose when things got too much I thought everyone would be better if I wasn't there. I was found unconscious in the toilet downstairs, I awoke in hospital a couple of days later to realise what my family had gone through. I still struggle with thoughts but it is those you leave behind who will continue in the struggle. Now I think I'm lecturing, sorry.I try to take every minute at a time, getting through in small steps, not trying to think too far into the future, just trying to keep on swimming so to speak.Neither of us know each others problems but I try to think, although a real struggle at times, that there are those that do not have my advantages such as NHS and my family, I don't mean brothers and sisters but husband and children in my case, clean water and a good sanitary system, just those little things I'm fortunate to have, sorry I bet loads of people have said that to you, and having thought that I've still self harmed.I should tell myself to shut up (Smile) Stay strong (Smile)AG",
2018-08-28 11:24:00,Aurelius,"Mami, how are you today?",mami5
2018-08-28 13:08:00,LoveYourself,"I`ve been having similar thoughts a lot the last months. I feel so unstable and unsafe with myself because i just simply cant control my thoughts sometimes. But dont give up, keep doing your utmost and improvement can and most probably will occur sooner or later. I keep reminding myself this. Please dont give up before you`ve tried everything.",
2018-08-28 21:52:00,mami5,Thank you all (Group Hug)I'm sorry that so many of you have been affected by this.I also knew people who are no longer here because of this dreadful illness. I've tried to keep busy and distracted today......but the thoughts are never far away.Thing is....I now believe them. I no longer want to fight it......as I really believe I want to die.I know my kids will miss me and grieve......but I'm convinced this won't last and then they'll realise that they are better off without me.The urges to do something.....I shouldn't......are strong ......and still gaining strength.I can't see the point in carrying on. (cry2),
2018-08-28 21:56:00,Waverunner,You are stronger than the urges Mami. You have fought through excruciatingly difficult times and come through. You can do this!! Sending you hugs!,
2018-08-28 22:21:00,Mayflower7,"Hi Mami,We are all here to help you thru this, your kids wouldn't be better off without you.Please keep fighting.Take care honey",
2018-08-28 22:44:00,mami5,All my life I've been fighting.....what for?At least before I'd have more better days.....and even some 'highs'. But they've faded away and are very very rare these days.....with no 'highs' at all.They say that things should get better with age......but that's not true......I'm getting worse......I know I am......and there's nothing anyone can do (cry2),
2018-08-28 22:47:00,Mayflower7,"Hi Mami,Your feeling very low, everything will seem bleak. Please don't give up.I know you've had to fight all your life, it isn't fair I know.Please keep talking if it helps.Take care",mami5
2018-08-28 22:51:00,Aurelius,"We never feel better off when we lose someone we love, especially if they take their own life. Very soon we come to feel that we failed them - a feeling that never goes away. Feeling responsible for what we have done/have not done never leaves us - responsiblity is not like guilt, it cannot be absolved.At the moment your thoughts are strong and getting stronger, because I think (I might be wrong in this) that you are losing or maybe have lost contact with the love/feelings of love inside. Otherwise the thought of forever losing your children and your children forever losing you would not be so easily swayed. I know this from your earlier posts - which showed just how hard you have fought for your right to be their mother - your right to share in their lives - and their right to share in yours.I do not know if it is possible to reach this superhuman strength of love that you have shown before. But please, please try to - only this time do it for yourself.Mami you have a right to love yourself. Do not give into your thoughts. On this occasion let love be stronger than death.",mami5
2018-08-28 23:08:00,mami5,I don't love myself......don't think I ever have.I hate me.....so much.I crave the love of others........but don't feel it.My parents never said that they loved me.......my 2 ex husbands did......and they abused me.......all in the name of love.I have no idea what if feels like to be loved......really loved......and probably never will.It breaks my heart.Don't blame others though. After all who would want to love me......when I can't even love myself. (cry2),
2018-08-28 23:27:00,Aurelius,"Some of us have to learn to love ourselves and it is really hard as there are no guides to follow. Can you remember how your children looked at you when they were really, really young? Those moments when their eyes looked into yours - and you were the only person in their world and something inside you melted and smiled. I think that feeling is love.I cannot remember my parents looking at me that way, or feeling love from them. But I remember my grandmother giving me that look and doing things that made me melt and smile inside. I rediscovered this memory through my children, when they were barely beginning their lives. I am desperately hoping, there are memories from the earliest times in your children's lives that will do the same for you Mami.",mami5
2018-08-28 23:42:00,mami5,"I don't remember much about the days when my children were young.....any of them. I suffered a lot with depression back then too.I hate my past.I don't have many good memories from it......and those I have are tarred......as my ex destroyed everything that was remotely good in my life.When my 3 youngest were little......it is all one long blur......of abuse, anger.....and tears.I was very suicidal then as well.Wish I'd done it right at the beginning.......spared all this pain.....and heartache.I know it means that neither my kids nor grandkids would have been born.....but maybe that would have been for the best.",
2018-08-29 00:15:00,Aurelius,That is terribly sad - it sounds like my childhood - but not my time as a parent. Have you had much contact with your grandchildren?,mami5
