,date,username,post content,quoted user
0,2014-10-19 03:00:00,mumdownunder,"Hi all, I have closed the original thread in the chill out cafe and created two ""describe how you feel with a sentence"" threads. A new one in the chillout cafe and another in experiences.The aim of the chill out cafe has always been for some time out from mental health struggles and a bit of light hearted ""banter"" so is therefore not the right place to express mental health struggles/ emotional distress. Everyone needs and deserves support so if you don't want to start your own thread or just need a short vent then this thread can be that place.",
1,2014-10-19 03:14:00,prairiechick,"At this present moment I feel grateful and blessed, and cared for by my therapist.",
2,2014-10-19 03:24:00,burt tomato,"I feel okay. Like John Nash, I accept that my hallucinations are not real. They are not real people. So I can let them disappear in the distance.",
3,2014-10-19 04:23:00,Mark_01,"Did you see this documentary,  John Nash, A Beautiful Mind?",brat tomato
4,2014-10-19 04:43:00,burt tomato,Hi thanks for the link Mark.,Mark_01
5,2014-10-19 14:39:00,BlueBerry,Feeling very intense cravings for chocolate right now...,
6,2014-10-19 15:08:00,shaky,"I feel inspired today - Getting things done - except my mind is a bit flighty, finding it hard to settle on what is the most important thing that I should be getting done.",
7,2014-10-19 15:13:00,Noetic,Me too. Here have one of mine. Quick! Won't last long at the rate I'm scoffing em. lol,BlueBerry
8,2014-10-19 15:39:00,ScaredCat,"Very, very tired. Just cant sleep",
9,2014-10-19 15:59:00,volnash,Aware.,
10,2014-10-19 16:03:00,Helena1,hopeless about the situation i am in and the future.,
11,2014-10-19 16:07:00,Sparklypurplepaws,Alone in a house full of people and a desire to not be here anymore,
12,2014-10-19 16:08:00,ScaredCat,I liked this thread better when it was all together,
13,2014-10-19 16:37:00,MarlieeB,"If this has to happen at least give it a different name like,How do you feel mentally right now?Or something along those lines so the two are shown to be different threads and people won't mistakenly post in the wrong one and then think they have done something wrong it's moved into the right thread.Also I feel it should be stickied as well as the emotion one amathus just posted.",
14,2014-10-19 16:40:00,apple,"I feel achy, tired, stressed and depressed. I wanted to do something today, but then I got caught up with an application for funding towards a course which took a lot longer than expected and which was tiring, and now it's already four thirty five. I have stomach ache and I think its because I ate either cottage cheese or too many olives.",
15,2014-10-20 08:47:00,Helena1,disappointed but relived as the doc who i saw on fri who was very nice and i wanted to see again is not available for weeks. he said to see him in a week. oh well.,
16,2014-10-20 10:21:00,Rowan,"I feel so tired and the talk about chocolate has made me crave some, lucky I have some choc gold coins in the biscuit tin.",
17,2014-10-20 10:35:00,Darkred,Just feeling a bit tired and lonely.,
18,2014-10-20 18:12:00,shaky,Don't spend them all at once ,Rowan
19,2014-10-20 18:50:00,Helena1,i feel even more hopeless today. ,Helena1
20,2014-10-20 18:52:00,MarlieeB,Special Honey Covered 'sxxxxx,
21,2014-10-20 19:07:00,hellokittymad,i feel really nervous,
22,2014-10-20 20:47:00,RainbowHeartz,i feel hungry,
23,2014-10-20 20:49:00,bagpuss,Grab ya coat were off to the chippy for pudding n chips ! heya hope you ok ,Judazz
24,2014-10-20 20:50:00,mami5,Anxious,
25,2014-10-20 20:51:00,bagpuss,"Hey Helena big hugz, one day at a time.I rekon you will be a rich happy girl pretty soon. I can see it in my tea leaves.",Helena1
26,2014-10-20 21:18:00,Helena1,how soon is pretty soon? can i sue you if you and your tea leaves are wrong. then i will be rich and a third there. ,GhostChild2
27,2014-10-20 21:23:00,bagpuss,Well they are PG Tips Tea Leaves and they have never let me down yet Helena.But if you end up sueing me then is it ok if we set up a Payment Plan for £1 a month as I am pretty boracic lint (Skint) I am just an old lady tea leaf reader with very little revenue!,Helena1
28,2014-10-20 21:46:00,ScaredCat,"Tired, falling, sad, hopeless",
29,2014-10-20 21:48:00,sightseer,(((((((((((((no one))))))))))))))))sorry you feel so sad.best wishes sightseer..,
30,2014-10-20 21:49:00,bagpuss,Hugs Some-one xx ,no-one
31,2014-10-20 21:53:00,sightseer,In pain my teeth are fxcking hurting big time...:-(,
32,2014-10-20 21:54:00,bagpuss,Try taking them out and giving them a scrub with some denture wash lol ,sightseer
33,2014-10-20 23:56:00,hellokittymad,i feel like i was brave i feel stressed though too,
34,2014-10-21 00:35:00,Princess Pea,"I feel pent up, scared, sad and happy-ish...all at the same time.",
35,2014-10-21 02:32:00,mumdownunder,Exhausted - am so drained. I thought I slept well last night,
36,2014-10-21 02:50:00,Darkred,"Just a bit empty, realizing I have no reason to get out of bed. ",
37,2014-10-21 03:42:00,Lincoln1990,"How do I feel? I feel horrible, I feel like I'm pregnant but it's a cruel thing. I'm not pregnant. I should be huge pregnant and almost meeting my child. If I didn't know better, I would think I'm pregnant. But I'm not. I can't be.",
38,2014-10-21 04:05:00,Electric,"I feel very strange. The person that I like so much, came to visit me tonight and we sat down and talked. The strange part is, dat I didn't feel that much butterflies as I used to. I wonder why not.",
39,2014-10-21 05:24:00,Gajolene,"Hey Lincoln was just wondering if you've had grief counselling to help you deal with your loss' at all?. I know people think miscarriages are not that big a deal, the grief can be the same as losing anyone else close to you that you love. Glad to here you are going to ask your mum for help with the doctors.",
40,2014-10-21 05:42:00,rubyrose,Not great...but that's nothing new.,
41,2014-10-21 12:10:00,hellokittymad,I feel calm for a change,
42,2014-10-21 13:07:00,burt tomato,I feel okay. As I walked back from the p-doc appt. I could hear some voices. But now it is much quieter. Hoping it will get better.,
43,2014-10-21 14:03:00,aneverson11,"Will pray for you for it to get better, don't know if he listens to me at the moment though. I feel flat, but stable.",
44,2014-10-21 14:16:00,hellokittymad,He always listens (: I feel upset because I don't feel believed in,aneverson11
45,2014-10-21 15:30:00,Helena1,low. life is impossible.,
46,2014-10-21 15:42:00,Darkred,"I feel okay I guess, been avoiding thing's I know will annoy me and doing thing's instead of procrastinating but I'am almost ready for bed. (loving the weather)",
47,2014-10-21 21:31:00,ScaredCat,Feeling better now i been on here for a bit,
48,2014-10-21 21:45:00,mami5,Me too!,no-one
49,2014-10-21 21:47:00,ScaredCat,I really glad,mami5
50,2014-10-21 21:53:00,Electric,Relieved...,
51,2014-10-21 21:56:00,hellokittymad,i feel like i'm worthless,
52,2014-10-21 22:11:00,mami5,I'm sorry you're feeling this way Sending (((((((((((((((HUGS))))))))))))))) your wayxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,hellokittymad
53,2014-10-21 22:14:00,ScaredCat,No you are not,hellokittymad
54,2014-10-22 05:02:00,AliceinWonderland,Welcome to the forum Princess Pea  Sorry you've got such a mix of feelings going on.,Princess Pea
55,2014-10-22 05:34:00,RainbowHeartz,i feel naked.......... o_O,
