post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,Brian01,b'i feel like i should just give up................. ',0.0,0.0,0.0,0.0,0.895415,0.0,0.91961
1,tentgirl,"b""Hey thereIt's so easy to feel like that. How's your day been?Sarah x""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Brian01,"b""hi Sarah,my day been ok ish, but its now.. i feel im useless... :'( i felt this way last night and SH and now i feel like it again x""",0.0,0.0,0.0,0.853976,0.0,0.0,0.0
3,Brian01,"b'my head feels like its gonna explode, i cant sleep as i tried an woke cause i felt i was being suffocated, my chest is very tight, with like stabbing pains, breathing aint good too and in alot of pain, i dont have an appetite no matter wat i buy or try to eat '",0.0,0.0,0.0,0.672946,0.0,0.0,0.70758
4,tentgirl,"b""Oh hun. It's difficult with that urge to SH but I hope that writing can be a way to release. I used to SH so I've been there and I know what it's like. Sometimes, when it's hard to sleep, it can be best to get out of bed, do something and then try again. When you get anxious, is there anything works for you?Sarah x""",0.0,0.623295,0.0,0.0,0.0,0.0,0.956815
5,Brian01,"b'writing does help abit hun but alot of times my mind goes blank and i dont know really wat to write,like now, i feel like crying but i cant..  x'",0.0,0.0,0.0,0.692265,0.646387,0.0,0.845297
6,tentgirl,"b""Tell me a bit about you. We can either chat about any deep issues or stuff going on for you or just day-to-day stuff. Up to you! Are you in the UK? I live in the south east and it's kicking up a storm here. x""",0.0,0.0,0.0,0.527998,0.0,0.0,0.981509
7,Brian01,b'i have pm u sarah x',0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,tentgirl,"b""Cool :-) Seems to be taking a while to reach me! Don't panic that I am not replying straightaway. X""",0.0,0.0,0.832722,0.0,0.0,0.0,0.902459
9,Brian01,"b'thats ok, im not going nowhere yet x'",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Brian01,b'im off now............',0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Brian01,"b'i dont feel i will be around for too much longer, i wish everything to end today  im way too screwed up to cope with anything anymore....i feel like a total let down and a total failure to myself and to others.... totally worthless in everyway'",0.0,0.0,0.0,0.656775,0.0,0.0,0.0
12,Foxjo,b'Hi Brian Im on line now if you want to talk?why do you feel a failure? thats a harsh statement to make about yourself?talk to me Fox',0.0,0.0,0.0,0.0,0.713794,0.0,0.795363
13,jaxie40,"b""I'm around too, Brian """,0.0,0.0,0.0,0.0,0.0,0.0,0.968123
14,Foxjo,b'Jaxie..... ha ha whats your avatar all about!! its hilarious!',0.0,0.0,0.799748,0.0,0.0,0.618451,0.0
