post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
1,tentgirl,"b""Hey thereIt's so easy to feel like that.",0.0,0.0,0.599358,0.0,0.506763,0.0,0.0
1,tentgirl,"How's your day been?Sarah x""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,tentgirl,"b""Oh hun.",0.0,0.647134,0.0,0.0,0.0,0.0,0.0
4,tentgirl,It's difficult with that urge to SH but I hope that writing can be a way to release.,0.0,0.0,0.0,0.0,0.564476,0.0,0.5538
4,tentgirl,I used to SH so I've been there and I know what it's like.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,tentgirl,"Sometimes, when it's hard to sleep, it can be best to get out of bed, do something and then try again.",0.0,0.0,0.0,0.596107,0.579367,0.0,0.88939
4,tentgirl,"When you get anxious, is there anything works for you?Sarah x""",0.0,0.0,0.0,0.0,0.0,0.0,0.75152
6,tentgirl,"b""Tell me a bit about you.",0.0,0.0,0.0,0.0,0.0,0.0,0.681699
6,tentgirl,We can either chat about any deep issues or stuff going on for you or just day-to-day stuff.,0.0,0.0,0.0,0.508543,0.0,0.0,0.984352
6,tentgirl,Up to you! Are you in the UK?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,tentgirl,I live in the south east and it's kicking up a storm here.,0.0,0.0,0.0,0.654985,0.0,0.0,0.0
6,tentgirl,"x""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,tentgirl,"b""Cool :-) Seems to be taking a while to reach me!",0.0,0.0,0.834697,0.0,0.0,0.0,0.786991
8,tentgirl,Don't panic that I am not replying straightaway.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,tentgirl,"X""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Foxjo,b'Hi Brian Im on line now if you want to talk?why do you feel a failure?,0.0,0.0,0.0,0.636291,0.538448,0.0,0.0
12,Foxjo,thats a harsh statement to make about yourself?talk to me Fox',0.0,0.0,0.0,0.0,0.506763,0.0,0.0
16,Foxjo,b'self harmers are so hard on themselves (i know cos i am one).... we all have relapses!urges,0.0,0.0,0.0,0.528845,0.0,0.660207,0.0
16,Foxjo,"are horrific, but you need to get to the root of the urge...what has triggered it off ?",0.0,0.518431,0.0,0.0,0.724236,0.0,0.0
16,Foxjo,(sorry if ive missed another earlier post) maybe we can help with some of those things that are worrying you?',0.0,0.616536,0.0,0.0,0.0,0.0,0.822231
18,Foxjo,b'dont go.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Foxjo,pleasetalk to us you can talk about anythingsorry i didnt meant o pressure you',0.0,0.0,0.0,0.0,0.0,0.0,0.845297
20,merlin12,"b""Hi Brian you say you write a bit but find it hard to know what to say.",0.0,0.0,0.0,0.579591,0.724236,0.0,0.0
20,merlin12,Well i am like that too and i have learned not to try and think of what to write to but just to let the words tumble out onto the paper without thinking.,0.0,0.0,0.0,0.0,0.845102,0.0,0.615352
20,merlin12,Thinking too hard blocks out what is trying to surface.,0.0,0.0,0.0,0.745137,0.882284,0.0,0.0
20,merlin12,And it dosn't matter if the words you have written don't seen to make sense to you.,0.0,0.0,0.0,0.0,0.538448,0.0,0.0
20,merlin12,When we are chaotic in our heads our thoughts and words are chaotic and they just need to come out no matter what the order they are in.,0.0,0.0,0.0,0.0,0.831396,0.0,0.0
20,merlin12,"I find it a great release and i also draw pictures, you don't have to be artistic.",0.0,0.0,0.656666,0.0,0.638807,0.592138,0.0
20,merlin12,Just let your mind free and the shapes/colours just come.,0.0,0.0,0.610032,0.0,0.0,0.0,0.957828
20,merlin12,I hope this is of some help.,0.0,0.0,0.0,0.0,0.0,0.0,0.990161
20,merlin12,"It has helped me when in the darkest of places,places i have not wished to survive from.Sending you good vibes and thinking of you.MERLIN xx""",0.0,0.0,0.689862,0.0,0.0,0.0,0.0
22,Foxjo,"b""brian, if you try and take an od it will be painful and very likely unsuccessful.",0.0,0.0,0.0,0.594345,0.0,0.0,0.0
22,Foxjo,then you have the shame and embarrassement of your family and gp.,0.0,0.0,0.0,0.681691,0.0,0.0,0.0
22,Foxjo,"please i know how you feel, ive been through it, and survived to tell the tale. is there anyone you can contact 'in life'.",0.0,0.0,0.0,0.0,0.0,0.0,0.615352
22,Foxjo,like a mental health team?,0.0,0.0,0.0,0.0,0.0,0.0,0.822231
22,Foxjo,"why do you not want to eat?""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,jezcoleman,"b'Yes we are careing, thats because we all know what your going thro as we go thro it too.",0.0,0.0,0.0,0.0,0.705784,0.638987,0.0
23,jezcoleman,Have you tried starting a journal in the journal section?',0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Foxjo,"b'go to the forum page and scroll down to the ""Our members"" section and there is a sub section for starting your own journal.worth",0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Foxjo,a thought?',0.0,0.0,0.0,0.0,0.982476,0.0,0.984352
29,Brian01,b'basically its like an online dairy then i guess?,0.0,0.0,0.0,0.540784,0.724236,0.0,0.976993
29,Brian01,Jez',0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Foxjo,b'what about a crisis team number you could ring?,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
30,Foxjo,just to chat to someone?',0.0,0.0,0.0,0.0,0.0,0.0,0.997314
35,Foxjo,"b'Brian the only reason they would have got the police involved is because they were concerned you were going to hurt yourself, thing is when you mention your going to self harm, they also may think you will turn on them too.",0.0,0.587867,0.0,0.0,0.620279,0.0,0.0
35,Foxjo,i know thats the wrong idea but i suppose its the way the police are trained?please,0.0,0.0,0.0,0.0,0.765977,0.0,0.58393
35,Foxjo,keep talking',0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Foxjo,"b'from what you said things are starting to change for you, you now are not homeless so that must be one less thing to worry about.",0.0,0.666207,0.0,0.0,0.74948,0.0,0.0
39,Foxjo,so little changes all take time but you are doing themim sorry if talking is making you more stressed.,0.0,0.0,0.0,0.0,0.0,0.638987,0.0
39,Foxjo,what else could you do today?,0.0,0.0,0.0,0.0,0.620279,0.0,0.946222
39,Foxjo,could you get out of the house for a while?',0.0,0.0,0.0,0.0,0.0,0.0,0.822231
45,Foxjo,b'if you take too many please go to A&E. or if your sh gets out of control.,0.0,0.0,0.0,0.0,0.724236,0.0,0.5538
45,Foxjo,"You are worth helping, you can get better it just takes time.'",0.0,0.0,0.595859,0.0,0.0,0.0,0.75152
49,Foxjo,b'then maybe you should ring for a doctor?or,0.0,0.0,0.0,0.0,0.0,0.0,0.976993
49,Foxjo,ring nhs direct to get further advice 0845 4647',0.0,0.0,0.0,0.0,0.724236,0.0,0.0
51,jaxie40,b'I agree with Jez.,0.0,0.0,0.603667,0.0,0.0,0.0,0.0
51,jaxie40,"Please get to a&e, Brian '",0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Tatty,"b""Have you overdosed on anything?",0.0,0.0,0.0,0.0,0.0,0.0,0.946222
54,Tatty,"Or taken anything you shouldn't have ?""",0.0,0.0,0.0,0.0,0.0,0.0,0.994446
60,jaxie40,"b""You're not a let down at all Brian.",0.0,0.0,0.0,0.0,0.0,0.898327,0.0
60,jaxie40,I'm damned sure you didn't choose to have mental health issues.,0.0,0.0,0.0,0.0,0.0,0.825035,0.0
60,jaxie40,"Just keep talking to us """,0.0,0.0,0.0,0.0,0.0,0.0,0.968123
62,jaxie40,"b'If you feel that bad, maybe you should go to your MH team hun.",0.0,0.571587,0.0,0.0,0.560098,0.0,0.845297
62,jaxie40,"It might be the best thing, just to keep yourself safe '",0.0,0.0,0.0,0.0,0.653099,0.0,0.957828
