post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,bulbie,"b""...all of the time.",0.0,0.0,0.0,0.0,0.0,0.961633,0.0
0,bulbie,It's crippling me.,0.0,0.931034,0.0,0.916667,0.0,0.0,0.0
0,bulbie,"(Nod 2)""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,manekineko,"b""Hi bulbie, I share your pain!",0.0,0.0,0.0,0.936368,0.0,0.0,0.0
1,manekineko,"That's why I like forums, they make me feel less lonely and just the kindness of having someone reply with empathy and encouragement is enough to make me feel a little better.",0.0,0.0,0.0,0.0,0.0,0.0,0.851788
1,manekineko,Are you lonely because you're alone?,0.0,0.0,0.0,0.901707,0.0,0.0,0.0
1,manekineko,Or do you feel lonely even when you're around others?,0.0,0.0,0.0,0.862747,0.0,0.0,0.995403
1,manekineko,"I have social anxiety and depression which means meeting people is difficult, and I find that I don't 'play well with others' as my parents like to say.",0.0,0.0,0.0,0.759278,0.0,0.0,0.0
1,manekineko,What's making you feel so lonely?,0.0,0.0,0.0,0.9251,0.0,0.0,0.75152
1,manekineko,"x""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bulbie,"b""I'm completely isolated here, that really doesn't help.",0.0,0.0,0.0,0.0,0.724236,0.874372,0.0
3,bulbie,Been single for over a year whn everyone seems to have someone.,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
3,bulbie,No one wants me.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bulbie,"(Crying)""",0.0,0.0,0.0,0.916667,0.0,0.0,0.0
4,Unloved,b'hiya Bulbie..,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Unloved,You are NOT alone in your feelings..,0.0,0.0,0.0,0.548702,0.0,0.0,0.0
4,Unloved,I Know how hard it can feel.. Admitting you feel alone is half the battle (i think).. Keep talking you can get through this x',0.0,0.0,0.0,0.728888,0.60456,0.0,0.0
5,manekineko,"b""You can talk to your friends here (Smile) AWWWWWWW, I'm sure that's not true!",0.0,0.0,0.894777,0.0,0.0,0.569065,0.0
5,manekineko,You are probably so down at the moment that you don't even realise when someone likes you or are showing an interest/checking you out!,0.0,0.0,0.0,0.0,0.0,0.0,0.939968
5,manekineko,"I know it can suck being single, especially if all your friends have someone, but take solace in the fact that I've been single for five years!",0.0,0.0,0.0,0.510933,0.574477,0.0,0.0
5,manekineko,"Not even a date... Also, if you are single then you can take advantage of that time to do things that you want to do without the responsibility of having another to worry about.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,manekineko,"A year isn't a long time at all if you think about it, because looking for a person that is right for you is more important than being with someone to not be alone, and i'm sure once you have found a person like that, you wont regret holding out for more!",0.0,0.0,0.594743,0.0,0.641954,0.0,0.0
5,manekineko,"x""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Sugarplum,"b""You sound fantastic to me.",0.0,0.0,0.898099,0.0,0.0,0.0,0.0
7,Sugarplum,"I'd go out with you if I wasn't taken(Frown)SPXx""",0.0,0.0,0.0,0.0,0.653099,0.0,0.0
8,bulbie,"b""Thank you so much everyone.I'm hoping a visit home might pick me up, but right now its hard to see that.",0.0,0.0,0.75088,0.0,0.0,0.0,0.769251
8,bulbie,"I've gotten a little flabby too and all that makes me think is who would want me with a body like this? (Frown)""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Foxjo,"b""Morning Bulbie, ive just logged on.",0.0,0.0,0.0,0.517176,0.0,0.0,0.91961
10,Foxjo,all the people above have given you great words of wisdom.,0.0,0.0,0.845236,0.0,0.0,0.825035,0.0
10,Foxjo,"its true, people find each other, fall in love with each other in more ways than just the physical sense.",0.0,0.0,0.784251,0.0,0.0,0.0,0.0
10,Foxjo,"friends too, cannot always be around but on-line there is always someone to talk to.",0.0,0.0,0.0,0.0,0.0,0.0,0.857227
10,Foxjo,thats why i love the forum.,0.0,0.0,0.831752,0.0,0.0,0.0,0.0
10,Foxjo,there is always someone 'here'.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Foxjo,"try and enjoy some of the sunshine this weekend, log on later and let us know how you are?hugs Fox""",0.0,0.0,0.532285,0.0,0.0,0.0,0.681699
11,bulbie,"b""So I'm out at McDonalds then going to get the shopping.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,bulbie,"I feel like everyone is looking at me thinking I look a mess.""",0.0,0.0,0.0,0.542606,0.890188,0.0,0.0
13,bulbie,"b'I feel like I do, feel like my hairs a mess and I look ridiculous in this outfit, and that everyone can see my tummy.",0.0,0.0,0.0,0.545528,0.775384,0.0,0.0
13,bulbie,(Sorry)',0.0,0.0,0.0,0.916667,0.0,0.0,0.0
14,jaxie40,"b""Fox is right, I met and fell in love wih my second husband when I was least expecting to.",0.0,0.0,0.563407,0.0,0.0,0.0,0.0
14,jaxie40,"In fact, I was anti-marriage, vowed I'd never do it again after the first.",0.0,0.0,0.0,0.0,0.0,0.543112,0.0
14,jaxie40,"Anyway, I got to know a lot about my husband through many late night chats.",0.0,0.0,0.0,0.0,0.532616,0.0,0.647986
14,jaxie40,"I fell deeply in love with that person, not what he looks like.",0.0,0.0,0.721806,0.0,0.0,0.0,0.0
14,jaxie40,"If you saw him in the evenings and weekends, you'd mistake him for a layabout, dressed in torn old jeans and tatty t-shirts.",0.0,0.0,0.0,0.0,0.636458,0.0,0.0
14,jaxie40,"That side of him really doesn't bother me, he's comforatble dressed like that, and that's what's important.And",0.0,0.0,0.625201,0.0,0.0,0.0,0.0
14,jaxie40,"I bet you don't look a mess at all! Seeing some of the sights around, I bet you have nothing to worry about, Bulbie(Hug)""",0.0,0.0,0.0,0.0,0.0,0.0,0.915488
