post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,mami5,"b"" Have been really struggling with suicidal thoughts all day.",0.0,0.0,0.0,0.927419,0.882284,0.849827,0.0
0,mami5,Can't get them out of my head.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,mami5,Don't want to live anymore.,0.0,0.0,0.0,0.69752,0.0,0.0,0.0
0,mami5,"""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Mayflower7,"b"" Hi Mami, I'm sorry your struggling and feeling suicidal, I know you don't trust your CPN or cmht.",0.0,0.0,0.0,0.927349,0.0,0.0,0.525007
1,Mayflower7,Think you had problems with the Samaritans as well.,0.0,0.0,0.0,0.511015,0.975783,0.0,0.0
1,Mayflower7,A/E is too far away.,0.0,0.0,0.0,0.653187,0.0,0.0,0.0
1,Mayflower7,I'm here to listen and care.,0.0,0.0,0.615116,0.0,0.0,0.0,0.0
1,Mayflower7,"I'm not surprised your feeling low, you've been thru such a lot.",0.0,0.0,0.0,0.572816,0.0,0.0,0.0
1,Mayflower7,"Can you book to see your GP, not sure how long you have to wait.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Mayflower7,Hope I'm right that you trust her more.,0.0,0.0,0.603531,0.0,0.0,0.0,0.88939
1,Mayflower7,I'm sure your trying to distract yourself.,0.0,0.0,0.0,0.0,0.0,0.751512,0.0
1,Mayflower7,Hope you feel better soon.,0.0,0.0,0.0,0.0,0.0,0.0,0.991756
1,Mayflower7,Keep safe Mami and don't make any rash decisions.,0.0,0.0,0.0,0.0,0.901894,0.0,0.856622
1,Mayflower7,"We care here about you  Take care """,0.0,0.0,0.0,0.0,0.0,0.0,0.681699
2,mami5,"b"" Thank you Mayflower   Seeing my GP in near impossible......or any when it comes to that!",0.0,0.0,0.62144,0.0,0.0,0.0,0.775166
2,mami5,I don't trust her anymore anyway.....she works with CMHT.....and I really don't trust them.,0.0,0.0,0.0,0.818181,0.506763,0.0,0.0
2,mami5,My head is telling me I really want and need to die.,0.0,0.0,0.0,0.806456,0.620279,0.0,0.0
2,mami5,I can't see a way out of this.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mami5,"""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Mayflower7,"b"" Hi Mami, Sorry about your GP, don't listen to your thoughts.",0.0,0.0,0.0,0.567444,0.620279,0.0,0.0
3,Mayflower7,Please believe me.,0.0,0.0,0.0,0.0,0.0,0.0,0.994446
3,Mayflower7,"You don't need to die, I've been suicidal before.",0.0,0.0,0.0,0.975397,0.0,0.0,0.0
3,Mayflower7,"It does pass, it is distressing I know.",0.0,0.0,0.0,0.0,0.762356,0.0,0.0
3,Mayflower7,Here to listen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Mayflower7,"Take care """,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Mayflower7,b' Here is a link to a great article hope it helps.,0.0,0.0,0.0,0.0,0.672469,0.0,0.75152
4,Mayflower7,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mami5,"b"" I keep imagining me dead and what would happen in life without me there.",0.0,0.0,0.0,0.700314,0.532616,0.0,0.0
5,mami5,I'm losing the will to live.,0.0,0.0,0.0,0.834133,0.0,0.0,0.0
5,mami5,"""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Mayflower7,"b"" Hi Mami, Think of all the people who love you and how much they'd miss you.",0.0,0.0,0.0,0.0,0.868982,0.704642,0.0
6,Mayflower7,"Intrusive thoughts are horrible, they will pass.",0.0,0.0,0.0,0.636058,0.801827,0.0,0.0
6,Mayflower7,Hope you can get some sleep Mami.,0.0,0.0,0.0,0.0,0.0,0.0,0.990161
6,Mayflower7,"Take care """,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Aurelius,"b' ""I keep imagining me dead and what would happen in life without me there.""",0.0,0.0,0.0,0.700314,0.532616,0.0,0.0
7,Aurelius,"- On the day one of your children look for you (and at least one of them will), you will not be there.",0.0,0.0,0.0,0.0,0.560098,0.0,0.0
7,Aurelius,"My friend\'s sons, from time to time, still look for him - but all that there is for them, is what is left of him in other people.",0.0,0.0,0.0,0.544456,0.0,0.0,0.0
7,Aurelius,"My mentor used to constantly remind me that \'you can lose the will to live - which may be about reaching the depths of despair, hopelessness, exhaustion and depression - but that that should not be confused with making a conscious decision to die by taking your own life\'.",0.0,0.0,0.0,0.942532,0.576567,0.0,0.0
7,Aurelius,"Mami, please walk away from ending your life and leaving the world an emptier place - especially for those you love.",0.0,0.0,0.0,0.526896,0.0,0.0,0.0
7,Aurelius,You have already had so much taken away from you - if you are not there - what you have lost can never return.,0.0,0.0,0.0,0.800545,0.0,0.0,0.0
7,Aurelius,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,JohnDoe-mk42,"b"" Hey Mami,  I don't know you and you don't know me, like at all, but I've recently had two friends go through similar emotions and a year or two ago I felt the same way, fortunately I held on through those dark times long enough to regain the will to live, my friends on the other hand didn't.",0.0,0.0,0.0,0.0,0.780598,0.0,0.0
8,JohnDoe-mk42,I wasn't particularly close to them and I regret that as I couldn't give them the support they needed.,0.0,0.0,0.0,0.695601,0.0,0.0,0.0
8,JohnDoe-mk42,"So I would request that you do two things for me, 1) please try your very best to just fight through this, one day it'll get better  2)reach out to someone, anyone you know for support don't let someone else make the mistake I made  best wishes to you for the future and all the wonderful things that will come.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,JohnDoe-mk42,"""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,SelfRespect,"b"" I wish I could offer better support.",0.0,0.0,0.0,0.569049,0.0,0.0,0.88939
9,SelfRespect,I took an overdose when things got too much I thought everyone would be better if I wasn't there.,0.0,0.0,0.0,0.0,0.705784,0.0,0.0
9,SelfRespect,"I was found unconscious in the toilet downstairs, I awoke in hospital a couple of days later to realise what my family had gone through.",0.0,0.0,0.0,0.604266,0.687768,0.0,0.0
9,SelfRespect,I still struggle with thoughts but it is those you leave behind who will continue in the struggle.,0.0,0.0,0.0,0.825313,0.809841,0.0,0.0
9,SelfRespect,"Now I think I'm lecturing, sorry.",0.0,0.0,0.0,0.0,0.842108,0.0,0.0
9,SelfRespect,"I try to take every minute at a time, getting through in small steps, not trying to think too far into the future, just trying to keep on swimming so to speak.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,SelfRespect,"Neither of us know each others problems but I try to think, although a real struggle at times, that there are those that do not have my advantages such as NHS and my family, I don't mean brothers and sisters but husband and children in my case, clean water and a good sanitary system, just those little things I'm fortunate to have, sorry I bet loads of people have said that to you, and having thought that I've still self harmed.",0.0,0.0,0.0,0.663673,0.76696,0.0,0.0
9,SelfRespect,"I should tell myself to shut up    Stay strong   AG """,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Aurelius,"b' Mami, how are you today?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Aurelius,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,LoveYourself,b' I`ve been having similar thoughts a lot the last months.,0.0,0.0,0.0,0.569346,0.762356,0.0,0.0
11,LoveYourself,I feel so unstable and unsafe with myself because i just simply cant control my thoughts sometimes.,0.0,0.0,0.0,0.736061,0.825338,0.0,0.925256
