post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,Waverunner,"b""I am feeling so very low. Can't accurately describe in words how bad I feel. It feels though that it is my fate to die. Soon. It feels inevitable now.""",0.0,0.0,0.0,0.76536,0.0,0.0,0.548498
1,Per Ardua Ad Astra,"b""I'm sorry you feel so bad at the moment, WaverunnerPlease stick around and stay with us, and don't go through matters alone. Post here.Sending you a hug """,0.0,0.0,0.0,0.746056,0.0,0.0,0.914329
2,adzesc,b'Hi WaverunnerSorry that you feel this way. Can i ask what kind of support are you getting? Is there anyone close to you that you can turn to. Also when you say that it your fate to die do you mean that you are feeling suicidal? sorry if thats a bit of a blunt question just trying to understand what you mean.',0.0,0.0,0.0,0.876205,0.871232,0.0,0.940913
3,blueflames,b'I know that feeling. Try and hold on as best you can because it probably wont last. Keep talking to us here and if the thoughts become worse then please got yourself to hospital xx',0.0,0.0,0.0,0.633383,0.913969,0.0,0.871674
4,maybe.shes.a.wildflower,b'So good to see you back!!  so sorry that its under such sad circumstances. Much love to you xx',0.0,0.0,0.706506,0.0,0.0,0.0,0.0
5,katya,"b""I'm so sorry you're feeling like this. I know it might seem inevitable - that's part of the nature of illness that is depression - but it's not inevitable. Things can start to look up (I know it's hard to see that right now). You're worth far more than you realise right now. Try not to focus on the future, because your illness will only allow you to see bleakness right now; try to focus on the moment instead, and try to fill your day with little moments that are as enjoyable as possible. Thinking of you. We're here for you.""",0.0,0.0,0.0,0.629553,0.0,0.0,0.889566
6,Waverunner,"b'Currently going through an assessment for psychotherapy and waiting to see what I will be offered. Also due to have a few sessions with a psychologist in relation to my physical health. Not really any support outside of that. And yes, I do feel suicidal.'",0.0,0.0,0.0,0.585942,0.829888,0.0,0.814556
7,MarlieeB,b'((((((((((Waverunner))))))))))',0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,messymoo,"b""I'm sorry to see your struggling too I hope you can keep yourself safe. Thinking of you  xx""",0.0,0.0,0.0,0.0,0.870325,0.0,0.911392
9,braveone,"b""In a similar boat, as so many of seem to be. No magic answer im afraid. You're going through the hardest of times, but it won't last. It can't. You'll either start to see hope or do as you're suggesting and exit. Even though I dont know you and will never meet you, I hope the former is the case. You have worth as do we all. Somewhere, sometime you will cause someone to smile, and somewhere someone will make you smile. Just do your best to keep going until then""",0.0,0.660393,0.654602,0.514128,0.0,0.0,0.981036
10,rubyrose,"b'So sorry to hear it, Waverunner. I truly hope you keep holding on and keep yourself safe. '",0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,SarahD,"b""When I am desperate and very suicidal, and there is no help (which usually there isn't), I try to persuade myself to put it off. I tell myself I can do it if I have to, but I can wait one day more.That bit of time can help sometimes.""",0.0,0.0,0.0,0.785476,0.0,0.0,0.0
12,*autumn*,"b'Hi waverunner, thinking of you xxx'",0.0,0.0,0.0,0.0,0.620279,0.0,0.0
13,Umbria,"b'Hope mate, please have hope, because when you feel so low and lost, there is someone out there who would be devastated if you chose to leave. Out of suffering have emerged the strongest souls; the most massive characters are seared with scars...when the daylight breaks through...and it will, you will so appreciate life and have more to give as you have been to the depths...stay strong bro.'",0.0,0.0,0.0,0.789138,0.0,0.0,0.924421
14,Dissatisfied,"b""Just hold on, I know it's hard when you feel so desperate, I felt suicidal before, and the nights are like the darkest hour, but hold on through it, just stay on this forum and chat to people to get you through.You don't know yet how you're therapy might turn out, it could be a new leaf for you and a brighter future. I know it's hard but there is a part of you that exists within you right now that is a survivor, this part of you has hope, at the moment you are probably in your wounded self, but it's often this part of us that we want to kill off, not the part of us that will survive. If you can try to access this part of you, I know when it's really bad, when we feel our worst it becomes nearly impossible to do this, but it can be done.And one day, if you want it bad enough, your wounded part of you will become more manageable, and the survivor part of you will blossom. That might happen after therapy, so just hold on.""",0.0,0.0,0.0,0.727478,0.0,0.0,0.922932
15,Dissatisfied,"b""this is such a good quote, I think it's worth repeating!""",0.0,0.0,0.836823,0.0,0.620279,0.0,0.0
16,life2live,"b""It's everyone's fate to die no point speeding it along. Life is hard, and the down's seem to last forever. All you can do is survive those times.....somehow. You gotta believe good times follow bad times and if you stay in the game things will turn around.""",0.0,0.0,0.0,0.667001,0.0,0.0,0.782938
17,maybe.shes.a.wildflower,"b""If you ever want to speak to someone about the physical side I'm here for you  I hope the professionals can help you get well soon """,0.0,0.0,0.0,0.0,0.0,0.0,0.698904
18,Waverunner,"b""Thank you all for your replies. I'm not feeling up to writing more now but just wanted to say thanks to all. Wish I could feel hope...""",0.0,0.0,0.0,0.0,0.0,0.0,0.914329
