post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
3,burt tomato,b'Keep strong Lu.,0.0,0.0,0.56862,0.0,0.0,0.0,0.0
3,burt tomato,Love is eternal.',0.0,0.0,0.882382,0.0,0.0,0.0,0.0
6,mumdownunder,b'So sorry to hear that Fairy Lucretia.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,mumdownunder,You have been in our thoughts lately.',0.0,0.0,0.0,0.711439,0.801827,0.0,0.0
14,nonotme,"b'I like others here and really sorry for your pain, and understand how bad you must be feeling right now, I hope our love and wishes serve to bring you and your sister some support.you",0.0,0.0,0.0,0.745953,0.0,0.0,0.5538
14,nonotme,"ask the question, I have no real answer for you sweatheart except it is the circle of life, the pain of losing loved ones is horriable and is hard to carry.please, for today, focus on yourself and your sister, and take care of your feelings.",0.0,0.0,0.0,0.814827,0.775384,0.0,0.0
14,nonotme,"we (and I hope I speak fo others) are here for you, to listen, talk and hurt with you.I know you are loved here, and your pain is ours.we",0.0,0.0,0.0,0.775423,0.0,0.0,0.0
14,nonotme,will be here for you.Me.',0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,SarahD,b'I am so sorry for what you are going through.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,SarahD,I felt the same when I lost my Mum.,0.0,0.0,0.0,0.737602,0.0,0.0,0.5538
19,SarahD,"Whatever happens, in many ways, she will always be with you.",0.0,0.0,0.0,0.0,0.0,0.825035,0.0
19,SarahD,You will find help and strength although you cannot see it now.,0.0,0.0,0.0,0.0,0.842108,0.0,0.0
19,SarahD,You have many friends on here.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,SarahD,Xxxx',0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ScaredCat,b'I am so sorry Lu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ScaredCat,Am thinking of you xxxxx',0.0,0.0,0.0,0.0,0.882284,0.0,0.0
26,Lincoln1990,"b""Lu I'm so sorry to hear this.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Lincoln1990,Please don't kill yourself.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Lincoln1990,"I'm here for you.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,nonotme,"b'I have to go to bed now, may they find help, love and support as a family through this really tough time.",0.0,0.0,0.60129,0.0,0.670204,0.0,0.0
27,nonotme,sending my love.. xx',0.0,0.0,0.858103,0.0,0.0,0.0,0.0
29,Lincoln1990,"b""I love you Lu.",0.0,0.0,0.860032,0.0,0.0,0.0,0.0
29,Lincoln1990,I'm always on here and in email.,0.0,0.0,0.0,0.0,0.0,0.92125,0.0
29,Lincoln1990,"Please reach out.""",0.0,0.0,0.0,0.0,0.620279,0.0,0.0
30,tabbykitten,b'you will get through it Lu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,tabbykitten,It won\xe2\x80\x99t be easy but you will cope - if only because you want your wonderful mother to be proud of you.',0.0,0.0,0.943458,0.0,0.702145,0.0,0.0
