post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,keepsafe,"b""I keep losing chunks of time, I'm scared I will hurt myself.",0.0,0.769116,0.0,0.0,0.0,0.0,0.0
0,keepsafe,I need to hurt myself though anyway as I am a no good person.,0.0,0.0,0.0,0.735554,0.0,0.0,0.0
0,keepsafe,"The past has damaged me incredibly and I deserve to be punished.""",0.0,0.0,0.0,0.557311,0.0,0.543112,0.0
1,fallen,"b""You are a good, kind person KS.",0.0,0.0,0.0,0.0,0.0,0.0,0.88939
1,fallen,"You definitely don't deserve to be punished, even if you have made mistakes.",0.0,0.0,0.0,0.752416,0.890188,0.0,0.556444
1,fallen,You mentioned the past has damaged you-I suspect that others were involved in this damage.,0.0,0.0,0.0,0.0,0.532616,0.0,0.647986
1,fallen,"Don't blame yourself unnecessarily-remember others are responsible for their own behaviour and it is not right you should suffer for that which is not your fault.Take care and stay safe.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,redfraggle,"b'Hey Keepsafe, I am sorry you feel so bad.",0.0,0.0,0.0,0.753579,0.0,0.0,0.5538
2,redfraggle,You are not alone and I wish I could help in some way.,0.0,0.0,0.0,0.648273,0.0,0.0,0.933436
2,redfraggle,Do you have contact with Crisis team or CPN? x',0.0,0.0,0.0,0.0,0.0,0.0,0.822231
4,ranger,b'KeepsafeYou are most certainly a decent person and care about others and are supportive.Sometimes it can be more about the people from our past and those that took advantage and just the fact that they preyed on our vulnerability.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ranger,And these scars can loom large during stressful periods.,0.0,0.89494,0.0,0.0,0.0,0.0,0.0
4,ranger,I hope you can relax a little.,0.0,0.0,0.849395,0.0,0.0,0.0,0.91961
4,ranger,Be your own best friend.,0.0,0.0,0.812783,0.0,0.0,0.0,0.0
4,ranger,You deserve to be happy.,0.0,0.0,0.912434,0.0,0.0,0.0,0.0
4,ranger,If people in the past were unkind or abusive that is about them.,0.0,0.0,0.0,0.622924,0.589295,0.0,0.867767
4,ranger,You have always seemed a kind and supportive person on here.Hope you can relax a little tonight.Hugs your way.,0.0,0.0,0.68041,0.0,0.0,0.0,0.804675
4,ranger,Ranger',0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,keepsafe,"b""Thanks all it means a lot.",0.0,0.0,0.736537,0.0,0.0,0.751512,0.0
5,keepsafe,"I can't seem to relax, my past affects me very much indeed.",0.0,0.0,0.0,0.0,0.0,0.80026,0.0
5,keepsafe,"Sexual abuse is something that is horrendous, how do you ever get over it?I hear voices, suffer flashbacks and dissociate - I hate me I hate this life.""",0.638846,0.0,0.0,0.0,0.0,0.0,0.0
9,keepsafe,"b""I'm going out with a friend, not up to it really but that should keep me occupied, we are going for a meal.",0.0,0.0,0.0,0.502817,0.0,0.0,0.0
9,keepsafe,"I will hopefully just be able to go to bed when I get home, but my mind is playing tricks so who knows.Thanks everyoneKSxx""",0.0,0.0,0.590629,0.0,0.0,0.0,0.733853
10,Taff,"b'KeepsafeIt is so hard, and a lot here will understand.",0.0,0.0,0.0,0.686704,0.0,0.0,0.0
10,Taff,Stay safe and remember that you are here now and nothing ever was your fault.,0.0,0.0,0.0,0.0,0.781949,0.0,0.0
10,Taff,Here too .Safe hugs and love to you xxx',0.0,0.0,0.785031,0.0,0.0,0.0,0.0
