post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,lostgirl19,"b""So recently i've had a few people tell me that it's possible I could have a personality disorder.",0.0,0.0,0.0,0.598603,0.0,0.0,0.839577
0,lostgirl19,I'm not really sure how to feel about it.,0.0,0.0,0.0,0.601869,0.724236,0.0,0.960226
0,lostgirl19,"I sort of don't really want a label, it upsets me.",0.0,0.0,0.0,0.535955,0.731735,0.0,0.786991
0,lostgirl19,But having a label could help as well.,0.0,0.0,0.0,0.0,0.920855,0.0,0.91961
0,lostgirl19,I don't know.,0.0,0.0,0.0,0.0,0.955445,0.0,0.0
0,lostgirl19,I am only 19 and really in a vulnerable state so maybe it's best I don't know for sure at the moment anyway.,0.0,0.0,0.0,0.566612,0.636458,0.0,0.0
0,lostgirl19,I just don't really know how to feel about it at the moment.,0.0,0.0,0.0,0.0,0.821913,0.0,0.933436
0,lostgirl19,"It doesn't feel real.""",0.0,0.0,0.0,0.0,0.0,0.0,0.97202
2,BlueGlass,"b""Got to know what the issue is before you can tackle it.",0.0,0.0,0.0,0.0,0.821913,0.0,0.0
2,BlueGlass,"Labels don't matter, you don't have to wear a tee with it on, unless you want too.""",0.0,0.0,0.0,0.0,0.0,0.592138,0.0
4,Kerome,"b""Getting a label can be an opportunity, it's a chance to look at your story and your symptoms from another direction, and maybe recognise some things that you didn't think of as symptoms.",0.0,0.0,0.0,0.53163,0.908645,0.0,0.798791
4,Kerome,"So I wouldn't dismiss it out of hand, and it can help you get access to therapy.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Kerome,"Maybe it's worth going with it just for that.In the long run, I think it's like a coat, you have to feel comfortable wearing it.",0.0,0.0,0.0,0.0,0.862286,0.0,0.829972
4,Kerome,"If you really don't feel it's you, you can try to get it changed, although as I understand things doctors aren't always helpful with that.",0.0,0.0,0.0,0.0,0.907142,0.0,0.669068
4,Kerome,"Ultimately your story and what happened to you define your condition better than any label could, and there may be some comfort in that.Hugs """,0.0,0.0,0.678467,0.0,0.74948,0.0,0.939968
5,lostgirl19,"b""Thank you all.",0.0,0.0,0.791101,0.0,0.0,0.97759,0.0
5,lostgirl19,"I think you're right that it can helpful but the CMHT Manager/CPN yesterday said that labels aren't that significant, it's about the treatment.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,lostgirl19,As long as they know what the right treatment is for me and I stick with that then a label shouldn't really matter.,0.0,0.0,0.0,0.586265,0.93677,0.0,0.0
5,lostgirl19,But at the same time as Lu said it can help you understand yourself better to why you think and act in certain ways.,0.0,0.0,0.508466,0.0,0.842108,0.598602,0.0
5,lostgirl19,I guess I am young and labels like this can be scary for me and hard for me to take.,0.0,0.753548,0.0,0.0,0.0,0.0,0.704683
5,lostgirl19,"I just feel a bit overwhelmed really xx""",0.0,0.546207,0.0,0.0,0.762356,0.0,0.961411
6,lostgirl19,"b""I feel like I don't belong anywhere.",0.0,0.0,0.0,0.659807,0.895415,0.0,0.91961
6,lostgirl19,Well not in this world anyway  I am guaranteed to kill myself.,0.0,0.0,0.0,0.578935,0.0,0.543112,0.0
6,lostgirl19,"It will happen it's just a matter of when.""",0.0,0.0,0.0,0.0,0.0,0.0,0.856622
7,voyager,"b""I had that feeling that I didn't belong anywhere and didn't know who I was, like being in the wrong body or in a parallel universe.",0.0,0.0,0.0,0.560505,0.0,0.0,0.794075
7,voyager,I feel more grounded now though.,0.0,0.0,0.0,0.553,0.0,0.0,0.75152
7,voyager,Does this sound like you in a way?,0.0,0.0,0.0,0.0,0.0,0.0,0.615352
7,voyager,"xoxo""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,voyager,"b""Well that's me too!",0.0,0.0,0.676762,0.0,0.0,0.0,0.0
9,voyager,I was told that I had some sort of a personality disorder 20 years ago by my psychiatrist.,0.0,0.0,0.0,0.777711,0.0,0.0,0.856622
9,voyager,"I was a little concerned at the time, but it answered a few questions I suppose xx""",0.0,0.633568,0.0,0.0,0.911475,0.0,0.58393
11,Kerome,"b'But the first time you get a significant label attached to you is a confusing and challenging experience for anyone, regardless of age.",0.0,0.0,0.0,0.542288,0.830561,0.0,0.786991
11,Kerome,"They\'re looking at my \'diagnosis\' at the moment as well, although I\'m hearing noises of ""well you\'re definitely not a mood disorder"".",0.0,0.653194,0.0,0.0,0.0,0.543112,0.0
11,Kerome,"Funny, and slightly discomfiting.'",0.0,0.0,0.0,0.0,0.0,0.0,0.88939
12,voyager,"b""In time, it got better for me, but the only med that helped was clomipramine.I also take diazepam when I'm in social stressful situations, I still need lots of sleep and do feel different to people around me.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,voyager,"As I've got older I've just thought what the heck, it doesn't matter what people think about me, that I act the fool when possible!",0.556181,0.0,0.0,0.0,0.0,0.0,0.836129
12,voyager,but am too shy sometimes!,0.0,0.0,0.0,0.825198,0.0,0.0,0.968123
