,post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,2,calypso,"Hey MarkYou say you change moods in the twinkling of an eye, and I would argue that is very rare in bipolar.",0.0,0.0,0.0,0.525945,0.0,0.579436,0.0
1,2,calypso,Have you been formally diagnosed?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,calypso,I am interested that meds don't work at all.,0.0,0.0,0.0,0.603531,0.0,0.874372,0.0
3,2,calypso,"Sometimes this is indicative, not of bipolar, but of borderline personality disorder.",0.0,0.0,0.0,0.52292,0.620279,0.0,0.88939
4,2,calypso,You could look this up on the site on here.,0.0,0.0,0.0,0.0,0.0,0.0,0.822231
5,2,calypso,"I am NOT diagnosing you, I cannot do that, of course, but the sudden swinging up and down as you feel is much more common in borderline.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,calypso,"There is treatment for borderline, a specific therapy called DBT (not CBT).",0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,calypso,"I know very little about it, but others know a lot.",0.0,0.0,0.0,0.0,0.862286,0.0,0.0
8,2,calypso,"It may be an idea to check with your psychiatrist whether you have borderline, or that maybe they could look again at your symptoms.",0.0,0.0,0.0,0.0,0.702145,0.0,0.961411
9,2,calypso,"All of this is just a thought, and meds do not work on people with this disorder.",0.0,0.526909,0.0,0.637425,0.0,0.0,0.0
10,2,calypso,There is hope honey.,0.0,0.0,0.669877,0.0,0.0,0.0,0.984352
11,2,calypso,xx,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,maxitab,Hi madmark.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,maxitab,"Twenty eitght years ago doctors were not very refined in their ability to diagnose, and to be honest, I would agree with mayfair, that this sounds much more like BPD to me than just about anything else.",0.0,0.0,0.0,0.0,0.0,0.0,0.819373
14,4,maxitab,Have you looked at the criteria/symptoms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,maxitab,"Many of us who have BPD do not respond to medication, but there are now a few very effective treatment ( not meds) options.",0.0,0.0,0.0,0.0,0.636458,0.560944,0.0
16,4,maxitab,"If this were me I would go to my GP and ask for a proper assessment with a clinical psychologist and put down the manic depression label, since it is not, IMO true for you.",0.0,0.0,0.0,0.828837,0.620279,0.0,0.0
17,4,maxitab,Once you have a better idea of what is going on you will be able to access help.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,maxitab,"It is out there, why go on suffering?",0.0,0.0,0.0,0.726247,0.0,0.0,0.0
19,6,maxitab,HI again mark.,0.0,0.0,0.0,0.0,0.620279,0.0,0.0
20,6,maxitab,"I am supposing the isolation is due to anxiety, it sounds like it.First,",0.0,0.763459,0.0,0.0,0.73677,0.0,0.716301
21,6,maxitab,"I do need to ask, do you want things to be different?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6,maxitab,Because anxiety is a symptom of something that is going on that is not being addressed.,0.0,0.831254,0.0,0.0,0.506763,0.0,0.615352
23,6,maxitab,"Also, are you in the UK because being given a phone number for counselling does not sound like the UK....There is a service called IAPT which your GP can refer you to - is this it?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6,maxitab,If you are getting no result then you need to insist!,0.0,0.0,0.0,0.0,0.905748,0.0,0.0
25,6,maxitab,Phone again and say you want to speak to the manager of the service and explain that you never get the promised appointment and ask who you can make a complaint with.,0.511454,0.0,0.0,0.0,0.0,0.0,0.0
26,6,maxitab,"It is amazing how people respond when you get a little pushy!In addition, there is some good help on line for anxiety, however, it is no good looking at it and thinkint 'that won't work for me' you have to be prepared to suspend your judgement and actually do it.",0.0,0.0,0.0,0.0,0.526316,0.0,0.0
27,6,maxitab,"If you want to try it, www.anxietycoach.comGood",0.0,0.0,0.0,0.0,0.724236,0.0,0.5538
28,6,maxitab,luck.,0.0,0.0,0.880435,0.0,0.0,0.0,0.99997
29,6,maxitab,Don't suffer in silence.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
