post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,mumdownunder,"b'Hi all, I have closed the original thread in the chill out cafe and created two ""describe how you feel with a sentence"" threads. A new one in the chillout cafe and another in experiences.The aim of the chill out cafe has always been for some time out from mental health struggles and a bit of light hearted ""banter"" so is therefore not the right place to express mental health struggles/ emotional distress. Everyone needs and deserves support so if you don\'t want to start your own thread or just need a short vent then this thread can be that place.'",0.0,0.0,0.0,0.560548,0.506016,0.0,0.501817
1,prairiechick,"b'At this present moment I feel grateful and blessed, and cared for by my therapist.'",0.0,0.0,0.908256,0.0,0.0,0.0,0.0
2,burt,"b'I feel okay. Like John Nash, I accept that my hallucinations are not real. They are not real people. So I can let them disappear in the distance.'",0.0,0.0,0.0,0.554208,0.0,0.0,0.9306
3,Mark_01,"b'Did you see this documentary,   John Nash, A Beautiful Mind ?'",0.0,0.0,0.786139,0.0,0.0,0.0,0.0
4,burt,b'Hi thanks for the link Mark.',0.0,0.0,0.0,0.0,0.890188,0.0,0.0
5,BlueBerry,b'Feeling very intense cravings for chocolate right now...',0.0,0.0,0.561889,0.0,0.0,0.898327,0.0
6,shaky,"b'I feel inspired today - Getting things done - except my mind is a bit flighty, finding it hard to settle on what is the most important thing that I should be getting done.'",0.0,0.0,0.627733,0.0,0.506763,0.0,0.0
7,Noetic,"b""Me too. Here have one of mine. (Smile)  Quick! Won't last long at the rate I'm scoffing em. lol""",0.0,0.0,0.908267,0.0,0.0,0.0,0.0
8,ScaredCat,"b'Very, very tired. Just cant sleep'",0.0,0.0,0.0,0.768361,0.0,0.992758,0.0
9,volnash,b'Aware.',0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Helena1,b'hopeless about the situation i am in and the future.',0.0,0.0,0.0,0.55583,0.0,0.0,0.0
11,Sparklypurplepaws,b'Alone in a house full of people and a desire to not be here anymore',0.0,0.0,0.0,0.607481,0.532616,0.0,0.0
12,ScaredCat,b'I liked this thread better when it was all together',0.0,0.0,0.715802,0.0,0.0,0.849827,0.0
13,MarlieeB,"b""If this has to happen at least give it a different name like,How do you feel mentally right now?Or something along those lines so the two are shown to be different threads and people won't mistakenly post in the wrong one and then think they have done something wrong it's moved into the right thread.Also I feel it should be stickied as well as the emotion one amathus just posted.""",0.0,0.0,0.0,0.600617,0.579367,0.0,0.65676
14,apple,"b""I feel achy, tired, stressed and depressed. I wanted to do something today, but then I got caught up with an application for funding towards a course which took a lot longer than expected and which was tiring, and now it's already four thirty five. I have stomach ache and I think its because I ate either cottage cheese or too many olives.""",0.0,0.0,0.0,0.748744,0.74165,0.0,0.890302
15,Helena1,b'disappointed but relived as the doc who i saw on fri who was very nice and i wanted to see again is not available for weeks. he said to see him in a week. oh well.',0.0,0.0,0.0,0.0,0.0,0.848841,0.0
16,Rowan,"b'I feel so tired and the talk about chocolate has made me crave some, lucky I have some choc gold coins in the biscuit tin.'",0.0,0.0,0.540663,0.0,0.0,0.0,0.939968
17,Darkred,b'Just feeling a bit tired and lonely.',0.0,0.0,0.0,0.934803,0.0,0.0,0.91961
18,shaky,"b""Don't spend them all at once (Naughty!)""",0.0,0.0,0.0,0.0,0.0,0.898327,0.0
19,Helena1,b'i feel even more hopeless today. (Low)',0.0,0.0,0.0,0.769514,0.98445,0.0,0.966403
20,MarlieeB,"b""Special Honey Covered (Hug 2)'sxxxxx""",0.0,0.0,0.80997,0.0,0.0,0.0,0.0
21,hellokittymad,b'i feel really nervous',0.0,0.886216,0.0,0.0,0.920855,0.0,0.88939
22,RainbowHeartz,b'i feel hungry',0.0,0.0,0.0,0.0,0.0,0.0,0.946222
23,bagpuss,b'Grab ya coat were off to the chippy for pudding n chips ! (Wink)heya hope you ok (Hug)',0.0,0.0,0.538549,0.0,0.0,0.0,0.920133
24,mami5,b'Anxious',0.0,0.80244,0.0,0.0,0.0,0.0,0.0
25,bagpuss,"b'Hey Helena big hugz, one day at a time.I rekon you will be a rich happy girl pretty soon. (Wink)I can see it in my tea leaves.'",0.0,0.0,0.894121,0.0,0.0,0.0,0.817737
26,Helena1,b'how soon is pretty soon? can i sue you if you and your tea leaves are wrong. then i will be rich and a third there. (Stick out Tongue)',0.0,0.0,0.0,0.0,0.874714,0.0,0.827288
27,bagpuss,b'Well they are PG Tips Tea Leaves and they have never let me down yet Helena.(Wink)But if you end up sueing me then is it ok if we set up a Payment Plan for \xc2\xa31 a month as I am pretty boracic lint (Skint) (drunk)I am just an old lady tea leaf reader with very little revenue!(Lucky Clover)(Lucky Clover)(Lucky Clover)(Lucky Clover)(Lucky Clover)',0.0,0.0,0.754417,0.0,0.64502,0.0,0.961535
28,ScaredCat,"b'Tired, falling, sad, hopeless'",0.0,0.0,0.0,0.894197,0.0,0.0,0.0
29,sightseer,b'(((((((((((((no one))))))))))))))))sorry you feel so sad.best wishes sightseer..',0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,bagpuss,b'(Hug)Hugs Some-one xx (Hug)',0.0,0.0,0.660443,0.0,0.0,0.0,0.0
31,sightseer,b'In pain my teeth are fxcking hurting big time...:-(',0.0,0.0,0.0,0.92616,0.0,0.0,0.0
32,bagpuss,b'Try taking them out and giving them a scrub with some denture wash lol (Wink)',0.0,0.0,0.0,0.0,0.0,0.0,0.822231
33,hellokittymad,b'i feel like i was brave i feel stressed though too',0.0,0.0,0.0,0.0,0.8152,0.0,0.0
34,Princess,"b'I feel pent up, scared, sad and happy-ish...all at the same time.'",0.0,0.943625,0.0,0.0,0.8152,0.618451,0.0
35,mumdownunder,b'Exhausted - am so drained. I thought I slept well last night',0.0,0.0,0.0,0.679942,0.0,0.0,0.884138
36,Darkred,"b'Just a bit empty, realizing I have no reason to get out of bed. (Curse You)(Curse You)'",0.0,0.0,0.0,0.667793,0.0,0.0,0.920133
37,Lincoln1990,"b""How do I feel? I feel horrible, I feel like I'm pregnant but it's a cruel thing. I'm not pregnant. I  should  be huge pregnant and almost meeting my child. If I didn't know better, I would think I'm pregnant. But I'm not. I can't be.""",0.0,0.0,0.0,0.561233,0.85103,0.0,0.874805
38,Electric,"b""I feel very strange. The person that I like so much, came to visit me tonight and we sat down and talked. The strange part is, dat I didn't feel that much butterflies as I used to. I wonder why not.""",0.0,0.0,0.0,0.0,0.0,0.0,0.827288
39,Gajolene,"b""Hey Lincoln was just wondering if you've had grief counselling to help you deal with your loss' at all?. I know people think miscarriages are not that big a deal, the grief can be the same as losing anyone else close to you that you love. Glad to here you are going to ask your mum for help with the doctors.""",0.0,0.0,0.0,0.868428,0.650819,0.0,0.798695
40,rubyrose,"b""Not great...but that's nothing new.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,hellokittymad,b'I feel calm for a change',0.0,0.0,0.639817,0.0,0.0,0.0,0.75152
42,burt,b'I feel okay. As I walked back from the p-doc appt. I could hear some voices. But now it is much quieter. Hoping it will get better.',0.0,0.0,0.0,0.0,0.0,0.0,0.989071
43,aneverson11,"b""Will pray for you for it to get better, don't know if he listens to me at the moment though. I feel flat, but stable.""",0.0,0.0,0.0,0.0,0.799869,0.0,0.616216
44,hellokittymad,"b""He always listens (: I feel upset because I don't feel believed in""",0.0,0.0,0.0,0.0,0.589295,0.0,0.716301
45,Helena1,b'low. life is impossible.',0.0,0.0,0.0,0.775439,0.98445,0.986725,0.0
46,Darkred,"b""I feel okay I guess, been avoiding thing's I know will annoy me and doing thing's instead of procrastinating but I'am almost ready for bed. (loving the weather)""",0.0,0.0,0.0,0.0,0.611644,0.0,0.968969
47,ScaredCat,b'Feeling better now i been on here for a bit',0.0,0.0,0.696337,0.0,0.0,0.0,0.0
48,mami5,b'Me too!',0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,ScaredCat,b'I really glad(Hug)',0.0,0.0,0.827963,0.0,0.920855,0.0,0.0
50,Electric,b'Relieved...',0.0,0.0,0.704378,0.0,0.0,0.0,0.0
51,hellokittymad,"b""i feel like i'm worthless""",0.0,0.0,0.0,0.903597,0.944551,0.0,0.0
52,mami5,"b""I'm sorry you're feeling this way (Hug)Sending (((((((((((((((HUGS))))))))))))))) your wayxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,ScaredCat,b'No you are not',0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,AliceinWonderland,"b""Welcome to the forum Princess Pea (Welcome) Sorry you've got such a mix of feelings going on.""",0.0,0.0,0.570133,0.0,0.0,0.0,0.0
55,RainbowHeartz,b'i feel naked.......... o_O',0.0,0.0,0.0,0.0,0.0,0.0,0.88939
56,Darkred,b'went from feeling okay and energetic to just bluguhguhguhgugh cant be fucked with anything now just staring at the bloody laptop screen and forum for no reason.',0.0,0.0,0.0,0.76369,0.0,0.0,0.856622
57,Nicola398,"b""Been in a dissasocciative state all morning since I got up and I am clutter sorting in the house which is bringing back repressed trauma memories.Just bringing myself out of it with music sounds, rap like.Periods of foggy vision and lost dangerous emotional states,chaotic internal world,physical exhaustion.I think my real life function will get stronger.How do I feel in a sentence?Lost,lonely and confused, relieved I have this forum and my computer, still in disbelief that I have manage to dump my entire family of origin in 4 days, frightened by what they may try to do to me next, defeated cos my sister will now get all my mum's money.!""",0.0,0.0,0.0,0.673079,0.0,0.0,0.0
58,RainbowHeartz,b'i feel cozy under the duvet',0.0,0.0,0.532631,0.0,0.0,0.0,0.75152
59,ScaredCat,b'Stupid and embarrassed',0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Mister.B,"b'On edge. Reading more scary shit on the net because ""Hey, it\'s nearly halloween!""'",0.0,0.800182,0.0,0.0,0.0,0.0,0.944845
61,BlueBerry,"b""Wondering if I'm actually a psychopath. I can't possibly be because I feel tons of empathy, fear, anxiety and I have devastatingly low self-esteem which all contradict the profile of psychopathy. But still... I feel very cruel, evil and bloodthirsty. (Scratch Head)""",0.0,0.855958,0.0,0.0,0.853848,0.0,0.0
62,Mister.B,b'Suspicious.',0.0,0.0,0.0,0.0,0.0,0.0,0.998976
63,Toasted,"b'You no psychopath (Hug 1)But if you were, join me, and we shall conquer the universe (Evil)'",0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,stella,"b""I feel sad, angry, and wondering if I'm a horrible person""",0.0,0.0,0.0,0.77895,0.620279,0.0,0.88939
65,Fairy,b'like im a monster',0.0,0.0,0.0,0.0,0.0,0.0,0.88939
66,hellokittymad,b'sick and hyper and nervous',0.0,0.90681,0.0,0.0,0.0,0.0,0.0
67,Mister.B,b'Why???',0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,shaky,"b""Sort of calm, sort of 'at a distance' like my emotions have gone somewhere else for a while.""",0.0,0.0,0.0,0.0,0.0,0.0,0.937821
69,BillFish,"b'Happy and contented, slightly tired.Driven 75 miles today to keep the family at work. After pacing around at the clinic and going into one, I went to tescos, ikea, sainburys, and b&q to find something to photograph then finally felt like a middle aged man again and not a disability case, looks like good old ebay is the way to go again for the items I need.'",0.0,0.0,0.567998,0.0,0.0,0.0,0.9218
70,apple,"b""It's 1.30am and I feel alert and I don't feel right. I've been doing more the past few weeks, plus have been thinking lots.""",0.0,0.0,0.0,0.0,0.0,0.0,0.925837
71,Darkred,b'I just woke up at 1:30am and it took me forever to get out of bed cause really cold and lacking motivation (Yuck!)',0.0,0.0,0.0,0.738989,0.842108,0.0,0.0
72,Electric,"b'Darkred, for what do you need motivation at 1:30 am?! Cleaning the house, doing the laundry? Or is it lack on motivation to stay in bed? (Peace)Here it is almost 9 pm and I have planned to be in bed early. I feel kind of empty... I miss some one, that really sucks.'",0.0,0.0,0.508044,0.616001,0.501943,0.0,0.964942
73,Darkred,"b""I thought that while typing it (LOL) I've already cleaned the place the other day I guess I just mean having to use my brain for thing's like making food and trying to entertain myself with no one to speak to and nothing to do (Sleepy2) Good old ground hog day in hospital""",0.0,0.0,0.0,0.0,0.0,0.0,0.633859
