post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,pepecat,"b""So all the literature / people say transference is a good, positive, normal thing as part of therapy.",0.0,0.0,0.749263,0.0,0.0,0.874372,0.0
0,pepecat,My therapist says the same.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,pepecat,"I can kinda see that it is, but what no one tells you is how bloody awful it makes you feel.All those unresolved feelings / emotions / whatever from when you were a kid, all opened up again to be worked through with someone who can't be a parent to you, wont ever be - and that's ok - it's not their job, and frankly it would just be....well....weird.",0.0,0.0,0.0,0.51095,0.0,0.0,0.0
0,pepecat,So what happens while all this is going on ?,0.0,0.0,0.0,0.0,0.0,0.874372,0.0
0,pepecat,You feel like crap and have to sit with all this stuff in between sessions.... 50 minutes a week is nothing.,0.0,0.0,0.0,0.580853,0.0,0.828581,0.0
0,pepecat,"Bloody hell.........""",0.857143,0.0,0.0,0.647059,0.0,0.0,0.0
1,keepsafe,"b'Hi Pepecat,you are right 50 minutes a week is nothing and then to be left with all the raw emotions is terrible.",0.0,0.0,0.0,0.0,0.579367,0.579436,0.0
1,keepsafe,"You have to find your own way to deal with these emotions, be it your own coping mechanisms or ones suggested to you by the therapist.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,keepsafe,"By no means its easy, I still suffer with the raw emotions too and I have been out of therapy for nearly a year and a half.",0.0,0.0,0.0,0.699471,0.0,0.0,0.0
1,keepsafe,"I do have my own coping mechanisms but sometimes do not have the ability to use them.You must stay strong and believe, by no means therapy is the end of it all - I think its a life long battle and we all get it wrong a lot of the time.Please stay safe and wellKSxxxxx'",0.0,0.0,0.0,0.0,0.513989,0.0,0.0
2,starryeyed222,"b""i completely understand where your coming from....i took two weeks off work to give myself a break and to give myself time to really work on coping mechanisms and helping myself and unfortunately that has coincided with 2 weeks of no therapy as my therapist is unable to work these two weeks.",0.0,0.0,0.0,0.727248,0.0,0.0,0.0
2,starryeyed222,Last session was a really tough one and i left with feeling proud of what i'd achieved (a very alien feeling) and overwhelmed with negative thoughts at the same time...since then my time off has gone downhill and i dont have a therapy session til the 23rd now and thats going to be the start of a really tough lot of therapy sessions (even more tough than the others as looking at self hatred) so im not looking forward to that.,0.0,0.0,0.0,0.811966,0.625208,0.0,0.0
2,starryeyed222,"50 mins really is not enough, my sessions nearly always overrun and we have to 'save' something for the following week usually too.",0.0,0.0,0.0,0.0,0.653099,0.0,0.0
2,starryeyed222,"They should be like an hour and a half or something or twice a week would be better maybe.""",0.0,0.0,0.0,0.0,0.0,0.0,0.981271
3,catkin,"b""Think I can relate, altho not in therapy atm but have been doing some work with cpn that has induced huge destructive rage that I can't get rid of.",0.516582,0.0,0.0,0.0,0.833126,0.0,0.0
3,catkin,I know it's related to other stuff/people but am so angry with her! Think it's destroyed that relationship.,0.923252,0.0,0.0,0.0,0.0,0.0,0.0
3,catkin,"It does feeel devastating, wish I knew a way of dealing with it.""",0.0,0.0,0.0,0.0,0.642915,0.0,0.0
4,MissKitty,b'This therapy business isn\'t easy is it.,0.0,0.0,0.703708,0.0,0.0,0.0,0.0
4,MissKitty,"Sometimes I wonder if understanding ""why"" is enough.",0.0,0.0,0.0,0.0,0.920855,0.0,0.984352
4,MissKitty,"It\'s the ""how to cope from now onwards"" bit that is so hard.",0.0,0.554308,0.0,0.58212,0.0,0.0,0.0
4,MissKitty,"What do you do with the feelings of hurt, guilt, shame, regret etc?",0.0,0.0,0.0,0.843923,0.0,0.0,0.0
4,MissKitty,"In really difficult situations where childhood was hell and destroyed you, I can\'t imagine how you manage that bit.",0.0,0.0,0.0,0.595378,0.0,0.0,0.0
4,MissKitty,"Find an inner core of strength I suppose and gradually re-build your self-esteem?I\'m not sure what you mean by ""transference"" Pepecat.",0.0,0.0,0.539887,0.0,0.636458,0.0,0.689503
4,MissKitty,Would you explain in terms of what happens in therapy?,0.0,0.0,0.0,0.507955,0.982476,0.0,0.0
