post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,mumdownunder,"b'Hi all, I have closed the original thread in the chill out cafe and created two ""describe how you feel with a sentence"" threads.",0.0,0.0,0.60614,0.0,0.0,0.0,0.0
0,mumdownunder,"A new one in the chillout cafe and another in experiences.The aim of the chill out cafe has always been for some time out from mental health struggles and a bit of light hearted ""banter"" so is therefore not the right place to express mental health struggles/ emotional distress.",0.0,0.0,0.0,0.531708,0.0,0.0,0.0
0,mumdownunder,Everyone needs and deserves support so if you don\'t want to start your own thread or just need a short vent then this thread can be that place.',0.0,0.0,0.0,0.0,0.0,0.0,0.664718
2,burt tomato,b'I feel okay.,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
2,burt tomato,"Like John Nash, I accept that my hallucinations are not real.",0.0,0.0,0.0,0.0,0.653099,0.0,0.710239
2,burt tomato,They are not real people.,0.0,0.0,0.0,0.0,0.0,0.0,0.650466
2,burt tomato,So I can let them disappear in the distance.',0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Noetic,"b""Me too.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Noetic,Here have one of mine.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Noetic,Quick!,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Noetic,Won't last long at the rate I'm scoffing em.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Noetic,"lol""",0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,ScaredCat,"b'Very, very tired.",0.0,0.0,0.0,0.768754,0.0,0.998838,0.0
8,ScaredCat,Just cant sleep',0.0,0.0,0.0,0.0,0.0,0.0,0.994446
14,apple,"b""I feel achy, tired, stressed and depressed.",0.0,0.0,0.0,0.742696,0.0,0.0,0.615352
14,apple,"I wanted to do something today, but then I got caught up with an application for funding towards a course which took a lot longer than expected and which was tiring, and now it's already four thirty five.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,apple,"I have stomach ache and I think its because I ate either cottage cheese or too many olives.""",0.0,0.0,0.0,0.507108,0.842108,0.0,0.5538
15,Helena1,b'disappointed but relived as the doc who i saw on fri who was very nice and i wanted to see again is not available for weeks.,0.0,0.0,0.0,0.0,0.0,0.509368,0.0
15,Helena1,he said to see him in a week.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Helena1,oh well.',0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Helena1,b'i feel even more hopeless today.,0.0,0.0,0.0,0.673857,0.944551,0.0,0.822231
19,Helena1,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,bagpuss,b'Grab ya coat were off to the chippy for pudding n chips !,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,bagpuss,heya hope you ok ',0.0,0.0,0.0,0.0,0.0,0.0,0.984352
25,bagpuss,"b'Hey Helena big hugz, one day at a time.I rekon you will be a rich happy girl pretty soon.",0.0,0.0,0.839983,0.0,0.0,0.0,0.0
25,bagpuss,I can see it in my tea leaves.',0.0,0.0,0.799081,0.0,0.0,0.0,0.0
26,Helena1,b'how soon is pretty soon?,0.0,0.0,0.0,0.0,0.0,0.0,0.968123
26,Helena1,can i sue you if you and your tea leaves are wrong.,0.0,0.0,0.0,0.0,0.620279,0.0,0.0
26,Helena1,then i will be rich and a third there.,0.0,0.0,0.503514,0.0,0.0,0.0,0.0
26,Helena1,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,mumdownunder,b'Exhausted - am so drained.,0.0,0.0,0.0,0.810518,0.0,0.0,0.0
35,mumdownunder,I thought I slept well last night',0.0,0.0,0.0,0.0,0.801827,0.0,0.681699
36,Darkred,"b'Just a bit empty, realizing I have no reason to get out of bed.",0.0,0.0,0.0,0.772767,0.560098,0.0,0.681699
36,Darkred,',0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lincoln1990,"b""How do I feel?",0.0,0.0,0.0,0.655035,0.0,0.0,0.822231
37,Lincoln1990,"I feel horrible, I feel like I'm pregnant but it's a cruel thing.",0.0,0.0,0.0,0.65805,0.762356,0.0,0.0
37,Lincoln1990,I'm not pregnant.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lincoln1990,I should be huge pregnant and almost meeting my child.,0.0,0.0,0.0,0.0,0.0,0.0,0.822231
37,Lincoln1990,"If I didn't know better, I would think I'm pregnant.",0.0,0.0,0.0,0.0,0.944551,0.0,0.0
37,Lincoln1990,But I'm not.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lincoln1990,"I can't be.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Electric,"b""I feel very strange.",0.0,0.0,0.0,0.0,0.0,0.849827,0.0
38,Electric,"The person that I like so much, came to visit me tonight and we sat down and talked.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Electric,"The strange part is, dat I didn't feel that much butterflies as I used to.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Electric,"I wonder why not.""",0.0,0.0,0.0,0.0,0.0,0.0,0.984352
