post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
2,person1,b'Hearing  my mother tell me hello after her being in a coma for two months.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,person1,I cried like a little girl.',0.0,0.0,0.0,0.894122,0.0,0.0,0.75152
3,person1,b'hearing the girl i liked accepting to be my girlfriend.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,person1,"It didn't work out but i still remember i was the happiest dude alive, on top of the fucking world.",0.0,0.0,0.815852,0.0,0.0,0.520338,0.0
3,person1,Before that i was so self-conscious but knowing that someone liked me enough to want to spend time with me in a relationship made me the happiest man and in general just confident with myself.,0.0,0.0,0.689096,0.0,0.571567,0.0,0.0
3,person1,Thanks to that though the relationship didn't end well i don't worry about self-esteem issues anymore.',0.0,0.0,0.0,0.636842,0.506763,0.0,0.0
4,person1,b'Becoming a dad after 6 years and 3 awful miscarriages.,0.0,0.0,0.0,0.674065,0.0,0.0,0.0
4,person1,"my daughter will never fully understand how much we cherish her, but it's ok with me.",0.0,0.0,0.0,0.0,0.506763,0.0,0.0
4,person1,"she will also never discover the oath i made over her crib to always do my best to keep her happy, no matter what her life choices will be.",0.0,0.0,0.824918,0.0,0.833126,0.645985,0.0
4,person1,as long as i remember these things I don't care if she appreciates it.,0.0,0.0,0.587551,0.0,0.982476,0.0,0.0
4,person1,Other happy moments may seem mundane to others but I still cherish them - mostly teenage moments involving music and weather.,0.0,0.0,0.735585,0.0,0.0,0.0,0.88939
4,person1,favorite music and dramatic weather always gave me a sense of euphoria that I can't really reenact as an adult.',0.0,0.0,0.0,0.0,0.0,0.618451,0.0
5,person1,b'My mom's cancer results came back negative.,0.0,0.0,0.0,0.65982,0.801827,0.0,0.0
5,person1,"Damn, i was so happy.'",0.0,0.0,0.89729,0.0,0.0,0.0,0.0
6,person1,b'The doctor telling us our sister beat cancer.,0.0,0.0,0.0,0.622923,0.0,0.0,0.0
6,person1,So many happy tears were shed.',0.0,0.0,0.535949,0.0,0.0,0.0,0.0
7,person1,b'Two days ago I sold my business for $2.5 million.,0.0,0.0,0.0,0.612259,0.0,0.0,0.0
7,person1,"Was ten years of work to get it to that point, and now I'm starting a new business that I expect will be much bigger.",0.0,0.0,0.0,0.0,0.702145,0.0,0.0
7,person1,"I'm now officially a millionaire, at age 28.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,person1,This also allows me to finally move to another city to live with my boyfriend full-time.,0.0,0.0,0.680346,0.0,0.664451,0.0,0.0
7,person1,"I've been flying back and forth for almost two years to see him, and although I did live out there for six months at one point - this'll be my first time really moving in with someone long-term.",0.0,0.0,0.0,0.60126,0.0,0.0,0.539235
7,person1,The day itself was kinda surreal.,0.0,0.0,0.0,0.0,0.0,0.0,0.946222
7,person1,Had to say farewell to the staff that we've worked with for many years.,0.0,0.0,0.0,0.0,0.0,0.674728,0.0
7,person1,"We gave everyone $2000 for each year they'd worked for us (personal gift so they don't pay tax on it), which I think was well-received.'",0.0,0.0,0.608539,0.0,0.0,0.0,0.0
8,person1,b'The happiest I remember being was when our plane landed coming home from Iraq into Germany.,0.0,0.0,0.75687,0.0,0.506763,0.0,0.0
8,person1,Trees have never looked so green.,0.0,0.0,0.787555,0.0,0.0,0.80026,0.0
8,person1,It was euphoric.',0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,person2,b'I just laid on the lawn next to the train with my head on my backpack.,0.0,0.0,0.0,0.0,0.0,0.0,0.615352
