post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,person1,b'I\'m happy today',0,0,0.911326,0,0,0,0
1,person1,b'Just went to my friend\'s birthday party!',0,0,0.785833,0,0,0,0.88939
3,person1,"b'hearing the girl i liked accepting to be my girlfriend. It didn't work out but i still remember i was the happiest dude alive, on top of the fucking world. Before that i was so self-conscious but knowing that someone liked me enough to want to spend time with me in a relationship made me the happiest man and in general just confident with myself. Thanks to that though the relationship didn't end well i don't worry about self-esteem issues anymore.'",0,0,0.676958,0,0,0,0
5,person1,"b'My mom's cancer results came back negative. Damn, i was so happy.'",0,0,0.754553,0,0,0,0
8,person1,b'The happiest I remember being was when our plane landed coming home from Iraq into Germany. Trees have never looked so green. It was euphoric.',0,0,0.820281,0,0,0.780034,0
9,person2,b'The person ive loved silently for over two years proposed to me out of nowhere.',0,0,0.744401,0,0.781949,0,0
10,person2,b'I just laid on the lawn next to the train with my head on my backpack. The sun was shining and I just felt great.',0,0,0.825243,0,0,0,0.978371
11,person2,b'I'm a competitive swimmer. I broke the 1:00.00 barrier in my 100 yard breaststroke when I was 16 (I swam a 59.19). That's my first Jr. Nationals cut. Man did it feel fucking good. I couldn't stop smiling after that race.',0,0,0.697061,0,0,0,0
12,person2,"b'I had been underemployed for a year and a half before I was offered a full-time job in my field. I'd had plenty have happy moment before this: falling in love, getting engaged, getting married, but those were all over shadowed by hardships (see: underemployed). After they offered me the job, I remember my husband and I half hugging, half jumping up and down. We were both crying out of pure relief. It felt like our lives were finally starting.'",0,0,0.735071,0,0,0,0
13,person2,b'Scored my dream job',0,0,0.675997,0,0,0,0
14,person2,b'It was just a normal weekend with my gf. She had just moved to San Diego and I was visiting her. We walked around the city and went to a few bars. We didn't do anything exciting but it's one of the most fun times I've ever had. We talked and laughed the whole time and it was just one of those close moments between us. It was one of those weekends where no other worries I had seemed important.',0,0,0.67173,0,0,0,0.957292
16,person2,"b'Right now. I'm 50. Life gets better and more interesting all the time. I don't give a shit what people think quite so much, I have more money, I can see the end of my working life on the horizon but I'm still useful and I'm in the best physical shape of my life.'",0,0,0.659461,0,0,0.56543,0
