date,username,post content,quoted user
2014-10-19 04:00:00,mumdownunder,"Hi all, I have closed the original thread in the chill out cafe and created two ""describe how you feel with a sentence"" threads. A new one in the chillout cafe and another in experiences.The aim of the chill out cafe has always been for some time out from mental health struggles and a bit of light hearted ""banter"" so is therefore not the right place to express mental health struggles/ emotional distress. Everyone needs and deserves support so if you don't want to start your own thread or just need a short vent then this thread can be that place.",
2014-10-19 04:14:00,prairiechick,"At this present moment I feel grateful and blessed, and cared for by my therapist.",
2014-10-19 04:24:00,burt,"I feel okay. Like John Nash, I accept that my hallucinations are not real. They are not real people. So I can let them disappear in the distance.",
2014-10-19 05:23:00,Mark_01,"Did you see this documentary,   John Nash, A Beautiful Mind ?",brat tomato
2014-10-19 05:43:00,burt,Hi thanks for the link Mark.,Mark_01
2014-10-19 15:39:00,BlueBerry,Feeling very intense cravings for chocolate right now...,
2014-10-19 16:08:00,shaky,"I feel inspired today - Getting things done - except my mind is a bit flighty, finding it hard to settle on what is the most important thing that I should be getting done.",
2014-10-19 16:13:00,Noetic,Me too. Here have one of mine. (Smile)  Quick! Won't last long at the rate I'm scoffing em. lol,BlueBerry
2014-10-19 16:39:00,ScaredCat,"Very, very tired. Just cant sleep",
2014-10-19 16:59:00,volnash,Aware.,
2014-10-19 17:03:00,Helena1,hopeless about the situation i am in and the future.,
2014-10-19 17:07:00,Sparklypurplepaws,Alone in a house full of people and a desire to not be here anymore,
2014-10-19 17:08:00,ScaredCat,I liked this thread better when it was all together,
2014-10-19 17:37:00,MarlieeB,"If this has to happen at least give it a different name like,How do you feel mentally right now?Or something along those lines so the two are shown to be different threads and people won't mistakenly post in the wrong one and then think they have done something wrong it's moved into the right thread.Also I feel it should be stickied as well as the emotion one amathus just posted.",
2014-10-19 17:40:00,apple,"I feel achy, tired, stressed and depressed. I wanted to do something today, but then I got caught up with an application for funding towards a course which took a lot longer than expected and which was tiring, and now it's already four thirty five. I have stomach ache and I think its because I ate either cottage cheese or too many olives.",
2014-10-20 09:47:00,Helena1,disappointed but relived as the doc who i saw on fri who was very nice and i wanted to see again is not available for weeks. he said to see him in a week. oh well.,
2014-10-20 11:21:00,Rowan,"I feel so tired and the talk about chocolate has made me crave some, lucky I have some choc gold coins in the biscuit tin.",
2014-10-20 11:35:00,Darkred,Just feeling a bit tired and lonely.,
2014-10-20 19:12:00,shaky,Don't spend them all at once (Naughty!),Rowan
2014-10-20 19:50:00,Helena1,i feel even more hopeless today. (Low),Helena1
2014-10-20 19:52:00,MarlieeB,Special Honey Covered (Hug 2)'sxxxxx,
2014-10-20 20:07:00,hellokittymad,i feel really nervous,
2014-10-20 21:47:00,RainbowHeartz,i feel hungry,
2014-10-20 21:49:00,bagpuss,Grab ya coat were off to the chippy for pudding n chips ! (Wink)heya hope you ok (Hug),Judazz
2014-10-20 21:50:00,mami5,Anxious,
2014-10-20 21:51:00,bagpuss,"Hey Helena big hugz, one day at a time.I rekon you will be a rich happy girl pretty soon. (Wink)I can see it in my tea leaves.",Helena1
2014-10-20 22:18:00,Helena1,how soon is pretty soon? can i sue you if you and your tea leaves are wrong. then i will be rich and a third there. (Stick out Tongue),GhostChild2
2014-10-20 22:23:00,bagpuss,Well they are PG Tips Tea Leaves and they have never let me down yet Helena.(Wink)But if you end up sueing me then is it ok if we set up a Payment Plan for £1 a month as I am pretty boracic lint (Skint) (drunk)I am just an old lady tea leaf reader with very little revenue!(Lucky Clover)(Lucky Clover)(Lucky Clover)(Lucky Clover)(Lucky Clover),Helena1
2014-10-20 22:46:00,ScaredCat,"Tired, falling, sad, hopeless",
2014-10-20 22:48:00,sightseer,(((((((((((((no one))))))))))))))))sorry you feel so sad.best wishes sightseer..,
2014-10-20 22:49:00,bagpuss,(Hug)Hugs Some-one xx (Hug),no-one
2014-10-20 22:53:00,sightseer,In pain my teeth are fxcking hurting big time...:-(,
2014-10-20 22:54:00,bagpuss,Try taking them out and giving them a scrub with some denture wash lol (Wink),sightseer
2014-10-21 00:56:00,hellokittymad,i feel like i was brave i feel stressed though too,
2014-10-21 01:35:00,Princess,"I feel pent up, scared, sad and happy-ish...all at the same time.",
2014-10-21 03:32:00,mumdownunder,Exhausted - am so drained. I thought I slept well last night,
2014-10-21 03:50:00,Darkred,"Just a bit empty, realizing I have no reason to get out of bed. (Curse You)(Curse You)",
2014-10-21 04:42:00,Lincoln1990,"How do I feel? I feel horrible, I feel like I'm pregnant but it's a cruel thing. I'm not pregnant. I  should  be huge pregnant and almost meeting my child. If I didn't know better, I would think I'm pregnant. But I'm not. I can't be.",
2014-10-21 05:05:00,Electric,"I feel very strange. The person that I like so much, came to visit me tonight and we sat down and talked. The strange part is, dat I didn't feel that much butterflies as I used to. I wonder why not.",
2014-10-21 06:24:00,Gajolene,"Hey Lincoln was just wondering if you've had grief counselling to help you deal with your loss' at all?. I know people think miscarriages are not that big a deal, the grief can be the same as losing anyone else close to you that you love. Glad to here you are going to ask your mum for help with the doctors.",
2014-10-21 06:42:00,rubyrose,Not great...but that's nothing new.,
2014-10-21 13:10:00,hellokittymad,I feel calm for a change,
2014-10-21 14:07:00,burt,I feel okay. As I walked back from the p-doc appt. I could hear some voices. But now it is much quieter. Hoping it will get better.,
2014-10-21 15:03:00,aneverson11,"Will pray for you for it to get better, don't know if he listens to me at the moment though. I feel flat, but stable.",
2014-10-21 15:16:00,hellokittymad,He always listens (: I feel upset because I don't feel believed in,aneverson11
2014-10-21 16:30:00,Helena1,low. life is impossible.,
2014-10-21 16:42:00,Darkred,"I feel okay I guess, been avoiding thing's I know will annoy me and doing thing's instead of procrastinating but I'am almost ready for bed. (loving the weather)",
2014-10-21 22:31:00,ScaredCat,Feeling better now i been on here for a bit,
2014-10-21 22:45:00,mami5,Me too!,no-one
2014-10-21 22:47:00,ScaredCat,I really glad(Hug),mami5
2014-10-21 22:53:00,Electric,Relieved...,
2014-10-21 22:56:00,hellokittymad,i feel like i'm worthless,
2014-10-21 23:11:00,mami5,I'm sorry you're feeling this way (Hug)Sending (((((((((((((((HUGS))))))))))))))) your wayxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,hellokittymad
2014-10-21 23:14:00,ScaredCat,No you are not,hellokittymad
2014-10-22 06:02:00,AliceinWonderland,Welcome to the forum Princess Pea (Welcome) Sorry you've got such a mix of feelings going on.,Princess Pea
2014-10-22 06:34:00,RainbowHeartz,i feel naked.......... o_O,
2014-10-22 12:54:00,Darkred,went from feeling okay and energetic to just bluguhguhguhgugh cant be fucked with anything now just staring at the bloody laptop screen and forum for no reason.,
