post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,mumdownunder,"b'Hi all, I have closed the original thread in the chill out cafe and created two ""describe how you feel with a sentence"" threads. A new one in the chillout cafe and another in experiences.The aim of the chill out cafe has always been for some time out from mental health struggles and a bit of light hearted ""banter"" so is therefore not the right place to express mental health struggles/ emotional distress. Everyone needs and deserves support so if you don\'t want to start your own thread or just need a short vent then this thread can be that place.'",0.0,0.0,0.0,0.560548,0.506016,0.0,0.501817
1,prairiechick,"b'At this present moment I feel grateful and blessed, and cared for by my therapist.'",0.0,0.0,0.908256,0.0,0.0,0.0,0.0
2,burt tomato,"b'I feel okay. Like John Nash, I accept that my hallucinations are not real. They are not real people. So I can let them disappear in the distance.'",0.0,0.0,0.0,0.554208,0.0,0.0,0.9306
3,Mark_01,"b'Did you see this documentary,  John Nash, A Beautiful Mind?'",0.0,0.0,0.786139,0.0,0.0,0.0,0.0
4,burt tomato,b'Hi thanks for the link Mark.',0.0,0.0,0.0,0.0,0.890188,0.0,0.0
5,BlueBerry,b'Feeling very intense cravings for chocolate right now...',0.0,0.0,0.561889,0.0,0.0,0.898327,0.0
6,shaky,"b'I feel inspired today - Getting things done - except my mind is a bit flighty, finding it hard to settle on what is the most important thing that I should be getting done.'",0.0,0.0,0.627733,0.0,0.506763,0.0,0.0
7,ScaredCat,"b'Very, very tired. Just cant sleep'",0.0,0.0,0.0,0.768361,0.0,0.992758,0.0
8,volnash,b'Aware.',0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Helena1,b'hopeless about the situation i am in and the future.',0.0,0.0,0.0,0.55583,0.0,0.0,0.0
10,Sparklypurplepaws,b'Alone in a house full of people and a desire to not be here anymore',0.0,0.0,0.0,0.607481,0.532616,0.0,0.0
11,ScaredCat,b'I liked this thread better when it was all together',0.0,0.0,0.715802,0.0,0.0,0.849827,0.0
12,MarlieeB,"b""If this has to happen at least give it a different name like,How do you feel mentally right now?Or something along those lines so the two are shown to be different threads and people won't mistakenly post in the wrong one and then think they have done something wrong it's moved into the right thread.Also I feel it should be stickied as well as the emotion one amathus just posted.""",0.0,0.0,0.0,0.600617,0.579367,0.0,0.65676
13,apple,"b""I feel achy, tired, stressed and depressed. I wanted to do something today, but then I got caught up with an application for funding towards a course which took a lot longer than expected and which was tiring, and now it's already four thirty five. I have stomach ache and I think its because I ate either cottage cheese or too many olives.""",0.0,0.0,0.0,0.748744,0.74165,0.0,0.890302
14,Helena1,b'disappointed but relived as the doc who i saw on fri who was very nice and i wanted to see again is not available for weeks. he said to see him in a week. oh well.',0.0,0.0,0.0,0.0,0.0,0.848841,0.0
15,Rowan,"b'I feel so tired and the talk about chocolate has made me crave some, lucky I have some choc gold coins in the biscuit tin.'",0.0,0.0,0.540663,0.0,0.0,0.0,0.939968
16,Darkred,b'Just feeling a bit tired and lonely.',0.0,0.0,0.0,0.934803,0.0,0.0,0.91961
17,shaky,"b""Don't spend them all at once """,0.0,0.0,0.0,0.0,0.0,0.92125,0.0
18,Helena1,b'i feel even more hopeless today. ',0.0,0.0,0.0,0.673857,0.944551,0.0,0.822231
19,MarlieeB,"b""Special Honey Covered 'sxxxxx""",0.0,0.0,0.684325,0.0,0.0,0.0,0.0
20,hellokittymad,b'i feel really nervous',0.0,0.886216,0.0,0.0,0.920855,0.0,0.88939
21,RainbowHeartz,b'i feel hungry',0.0,0.0,0.0,0.0,0.0,0.0,0.946222
22,bagpuss,b'Grab ya coat were off to the chippy for pudding n chips ! heya hope you ok ',0.0,0.0,0.0,0.0,0.0,0.0,0.936899
23,mami5,b'Anxious',0.0,0.80244,0.0,0.0,0.0,0.0,0.0
24,bagpuss,"b'Hey Helena big hugz, one day at a time.I rekon you will be a rich happy girl pretty soon. I can see it in my tea leaves.'",0.0,0.0,0.867123,0.0,0.0,0.0,0.827288
25,Helena1,b'how soon is pretty soon? can i sue you if you and your tea leaves are wrong. then i will be rich and a third there. ',0.0,0.0,0.524749,0.0,0.660331,0.0,0.84639
26,bagpuss,b'Well they are PG Tips Tea Leaves and they have never let me down yet Helena.But if you end up sueing me then is it ok if we set up a Payment Plan for \xc2\xa31 a month as I am pretty boracic lint (Skint) I am just an old lady tea leaf reader with very little revenue!',0.0,0.0,0.787453,0.0,0.536046,0.0,0.0
27,ScaredCat,"b'Tired, falling, sad, hopeless'",0.0,0.0,0.0,0.894197,0.0,0.0,0.0
28,bagpuss,b'Hugs Some-one xx ',0.0,0.0,0.632231,0.0,0.0,0.0,0.0
29,bagpuss,b'Try taking them out and giving them a scrub with some denture wash lol ',0.0,0.0,0.0,0.0,0.0,0.0,0.845297
30,hellokittymad,b'i feel like i was brave i feel stressed though too',0.0,0.0,0.0,0.0,0.8152,0.0,0.0
31,Princess Pea,"b'I feel pent up, scared, sad and happy-ish...all at the same time.'",0.0,0.943625,0.0,0.0,0.8152,0.618451,0.0
32,mumdownunder,b'Exhausted - am so drained. I thought I slept well last night',0.0,0.0,0.0,0.679942,0.0,0.0,0.884138
33,Darkred,"b'Just a bit empty, realizing I have no reason to get out of bed. '",0.0,0.0,0.0,0.772767,0.560098,0.0,0.681699
34,Lincoln1990,"b""How do I feel? I feel horrible, I feel like I'm pregnant but it's a cruel thing. I'm not pregnant. I should be huge pregnant and almost meeting my child. If I didn't know better, I would think I'm pregnant. But I'm not. I can't be.""",0.0,0.0,0.0,0.561233,0.85103,0.0,0.874805
35,Electric,"b""I feel very strange. The person that I like so much, came to visit me tonight and we sat down and talked. The strange part is, dat I didn't feel that much butterflies as I used to. I wonder why not.""",0.0,0.0,0.0,0.0,0.0,0.0,0.827288
36,Gajolene,"b""Hey Lincoln was just wondering if you've had grief counselling to help you deal with your loss' at all?. I know people think miscarriages are not that big a deal, the grief can be the same as losing anyone else close to you that you love. Glad to here you are going to ask your mum for help with the doctors.""",0.0,0.0,0.0,0.868428,0.650819,0.0,0.798695
37,rubyrose,"b""Not great...but that's nothing new.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,hellokittymad,b'I feel calm for a change',0.0,0.0,0.639817,0.0,0.0,0.0,0.75152
39,burt tomato,b'I feel okay. As I walked back from the p-doc appt. I could hear some voices. But now it is much quieter. Hoping it will get better.',0.0,0.0,0.0,0.0,0.0,0.0,0.989071
40,aneverson11,"b""Will pray for you for it to get better, don't know if he listens to me at the moment though. I feel flat, but stable.""",0.0,0.0,0.0,0.0,0.799869,0.0,0.616216
41,hellokittymad,"b""He always listens (: I feel upset because I don't feel believed in""",0.0,0.0,0.0,0.0,0.589295,0.0,0.716301
42,Helena1,b'low. life is impossible. ',0.0,0.0,0.0,0.775439,0.98445,0.986725,0.0
43,Darkred,"b""I feel okay I guess, been avoiding thing's I know will annoy me and doing thing's instead of procrastinating but I'am almost ready for bed. (loving the weather)""",0.0,0.0,0.0,0.0,0.611644,0.0,0.968969
44,ScaredCat,b'Feeling better now i been on here for a bit',0.0,0.0,0.696337,0.0,0.0,0.0,0.0
45,mami5,b'Me too!',0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ScaredCat,b'I really glad',0.0,0.0,0.772591,0.0,0.955445,0.0,0.0
47,Electric,b'Relieved...',0.0,0.0,0.704378,0.0,0.0,0.0,0.0
48,hellokittymad,"b""i feel like i'm worthless""",0.0,0.0,0.0,0.903597,0.944551,0.0,0.0
49,mami5,"b""I'm sorry you're feeling this way Sending (((((((((((((((HUGS))))))))))))))) your wayxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,ScaredCat,b'No you are not',0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,AliceinWonderland,"b""Welcome to the forum Princess Pea  Sorry you've got such a mix of feelings going on.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,RainbowHeartz,b'i feel naked.......... o_O',0.0,0.0,0.0,0.0,0.0,0.0,0.88939
53,Darkred,b'went from feeling okay and energetic to just bluguhguhguhgugh cant be fucked with anything now just staring at the bloody laptop screen and forum for no reason.',0.0,0.0,0.0,0.76369,0.0,0.0,0.856622
54,RainbowHeartz,b'i feel cozy under the duvet ',0.0,0.0,0.532631,0.0,0.0,0.0,0.75152
55,ScaredCat,b'Stupid and embarrassed',0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Mister.B,"b'On edge. Reading more scary shit on the net because ""Hey, it\'s nearly halloween!""'",0.0,0.800182,0.0,0.0,0.0,0.0,0.944845
57,BlueBerry,"b""Wondering if I'm actually a psychopath. I can't possibly be because I feel tons of empathy, fear, anxiety and I have devastatingly low self-esteem which all contradict the profile of psychopathy. But still... I feel very cruel, evil and bloodthirsty. """,0.0,0.844242,0.0,0.0,0.86643,0.0,0.0
58,Mister.B,b'Suspicious.',0.0,0.0,0.0,0.0,0.0,0.0,0.998976
59,Toasted Crumpet,"b'You no psychopath But if you were, join me, and we shall conquer the universe '",0.0,0.0,0.579841,0.0,0.532616,0.0,0.0
60,stella,"b""I feel sad, angry, and wondering if I'm a horrible person""",0.0,0.0,0.0,0.77895,0.620279,0.0,0.88939
61,Fairy Lucretia,b'like im a monster',0.0,0.0,0.0,0.0,0.0,0.0,0.88939
62,hellokittymad,b'sick and hyper and nervous',0.0,0.90681,0.0,0.0,0.0,0.0,0.0
63,Mister.B,b'Why???',0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,shaky,"b""Sort of calm, sort of 'at a distance' like my emotions have gone somewhere else for a while.""",0.0,0.0,0.0,0.0,0.0,0.0,0.937821
65,BillFish,"b'Happy and contented, slightly tired.Driven 75 miles today to keep the family at work. After pacing around at the clinic and going into one, I went to tescos, ikea, sainburys, and b&q to find something to photograph then finally felt like a middle aged man again and not a disability case, looks like good old ebay is the way to go again for the items I need.'",0.0,0.0,0.567998,0.0,0.0,0.0,0.9218
66,apple,"b""It's 1.30am and I feel alert and I don't feel right. I've been doing more the past few weeks, plus have been thinking lots.""",0.0,0.0,0.0,0.0,0.0,0.0,0.925837
67,Darkred,b'I just woke up at 1:30am and it took me forever to get out of bed cause really cold and lacking motivation ',0.0,0.0,0.0,0.746986,0.852209,0.0,0.0
68,Electric,"b'Darkred, for what do you need motivation at 1:30 am?! Cleaning the house, doing the laundry? Or is it lack on motivation to stay in bed? Here it is almost 9 pm and I have planned to be in bed early. I feel kind of empty... I miss some one, that really sucks.'",0.0,0.0,0.0,0.637806,0.51064,0.0,0.966403
69,Darkred,"b""I thought that while typing it  I've already cleaned the place the other day I guess I just mean having to use my brain for thing's like making food and trying to entertain myself with no one to speak to and nothing to do  Good old ground hog day in hospital""",0.0,0.0,0.0,0.0,0.0,0.0,0.65274
70,Lincoln1990,"b""I feel like I'm in  a lot  of pain. I can't rely on anybody. I've ruined so many things. I should ruin myself.""",0.0,0.0,0.0,0.736053,0.530786,0.0,0.942233
71,Darkred,"b""I'm in the middle of reading all my posts I made on a different forum for mental health 5 years ago and it's left me feeling a bit weird and nostalgic as it was just before I ended up in hospital. I find it so strange how I was able to write masssssive posts replying to people and to be sooo helpful and understanding compared to how I am now... It's also left me feeling slightly sad as I was struggling with alcohol at the time so I don't remember writing half of what I did but now reading it I can see how much I struggled.Sorry not one sentence but I'm feeling quite a few things.""",0.0,0.0,0.0,0.746832,0.0,0.0,0.0
72,RainbowHeartz,b'i feel sleepy and ashamed',0.0,0.0,0.0,0.598381,0.0,0.0,0.822231
73,bagpuss,b'why you ashamed judazz ? Xx',0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,RainbowHeartz,b'im too ashamed to type it on here  but i am okay',0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,bagpuss,b'skype ?',0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,BlueBerry,"b""Have to go into Uni for a seminar, but I'm feeling scared and anxious to go, since it'll be crowded at this time.""",0.0,0.907987,0.0,0.0,0.0,0.0,0.0
