,date,username,post content,quoted user,post mood
0,2015-08-01 12:21:00,Fairy Lucretia,b'they dont think she will last out the day',,Angelic
1,2015-08-01 12:25:00,messymoo,"b""Oh no I'm so sorry Lu huge 's Thinking of you xx""",,None
2,2015-08-01 12:29:00,Nikita,"b""I am really sorry to hear that about your mummy Fairy Lu.That's why you have been away so long I expect.I will be thinking and praying for you and your mum.Love and hugs.Nikitax""",,Blah
3,2015-08-01 12:30:00,burt tomato,b'Keep strong Lu. Love is eternal.',,Amazed
4,2015-08-01 12:37:00,MarlieeB,"b""Oh no Lu, I'm so sorry.I have you and your Mum in my heart.xxx""",,Sad
5,2015-08-01 12:38:00,nonotme,b'may your god be with you...sending you all my love Me. xx',,Crappy
6,2015-08-01 12:43:00,mumdownunder,b'So sorry to hear that Fairy Lucretia. You have been in our thoughts lately.',,None
7,2015-08-01 12:52:00,Kerome,"b'So sorry to hear this fairy lu...Thinking of you, sending big hugs '",,Doh
8,2015-08-01 13:00:00,valleygirl,"b""I'm so sorry.""",,Sad
9,2015-08-01 13:09:00,Fairy Lucretia,b'im waiting for my sister to come over they said we should go see her because she hasnt got lont lefti cant go on im going to have to kill myself i cant live without her',,Angelic
10,2015-08-01 13:11:00,nonotme,"b'there are dozens of people here who will offer you their love and support, myself one of them.xx'",Fairy Lucretia,Crappy
11,2015-08-01 13:13:00,TiredTina,"b'Lu, I am so sorry to hear about your mum, my thoughts are with you.Here is a group hug from all of us  We are all here for you Lu.TT xx'",,Tired
12,2015-08-01 13:13:00,MarlieeB,"b""I can't put it any better than that xxx""",nonotme,Sad
13,2015-08-01 13:14:00,Fairy Lucretia,b'i cant go on without mummy i cant she is my world i love her so muchwhy is this happening',,Angelic
14,2015-08-01 13:21:00,nonotme,"b'I like others here and really sorry for your pain, and understand how bad you must be feeling right now, I hope our love and wishes serve to bring you and your sister some support.you ask the question, I have no real answer for you sweatheart except it is the circle of life, the pain of losing loved ones is horriable and is hard to carry.please, for today, focus on yourself and your sister, and take care of your feelings. we (and I hope I speak fo others) are here for you, to listen, talk and hurt with you.I know you are loved here, and your pain is ours.we will be here for you.Me.'",Fairy Lucretia,Crappy
15,2015-08-01 13:26:00,Fairy Lucretia,b'if i kill myself will i be with her',,Angelic
16,2015-08-01 13:32:00,nonotme,"b'but no one would want that for you.we will be here to listen to you and offer help & support, please use us.'",Fairy Lucretia,Crappy
17,2015-08-01 17:16:00,nonotme,"b'if anyone is in touch with Lu could they keep us updated, I am worried for her and she is in my thoughts right now.'",,Crappy
18,2015-08-01 19:07:00,amathus,"b'Dear Lu, my thoughts are with you, amathus x'",,None
19,2015-08-01 19:15:00,SarahD,"b'I am so sorry for what you are going through. I felt the same when I lost my Mum. Whatever happens, in many ways, she will always be with you. You will find help and strength although you cannot see it now. You have many friends on here. Xxxx'",,None
20,2015-08-01 19:23:00,Fairy Lucretia,b'she is on life support and dyalisis her kidneys and liver and heart have failed its just a matter of time nowthank you so much everyone who has replied im so very grateful x',,Angelic
21,2015-08-01 19:26:00,TiredTina,"b'Come here whenever you need to talk Lu, there is lots of love and support for you here TT xx '",,Tired
22,2015-08-01 19:34:00,tabbykitten,"b'thinking of you Lu, so sorry you have to go through this.'",,Doh
23,2015-08-01 19:40:00,echo66,"b'So sorry to hear your sad news FairyLu, my thoughts and love are with you.((hugs))Echo xx'",,Crappy
24,2015-08-01 19:48:00,Unique1,"b""I'm so sorry to hear this news Fairy Lu.Thinking of you.Xxx""",,Amused
25,2015-08-01 19:58:00,ScaredCat,b'I am so sorry Lu. Am thinking of you xxxxx',,None
26,2015-08-01 20:12:00,Lincoln1990,"b""Lu I'm so sorry to hear this. Please don't kill yourself. I'm here for you.""",,None
27,2015-08-01 20:20:00,nonotme,"b'I have to go to bed now, may they find help, love and support as a family through this really tough time. sending my love.. xx'",Lincoln1990,Crappy
28,2015-08-01 21:25:00,Fairy Lucretia,b'i dont think i can get through thisshe was such a special beautiful person i dont know what to do',,Angelic
29,2015-08-01 21:31:00,Lincoln1990,"b""I love you Lu. I'm always on here and in email. Please reach out.""",,None
