,date,username,post content,quoted user,post mood
0,2014-10-19 03:00:00,mumdownunder,"b'Hi all, I have closed the original thread in the chill out cafe and created two ""describe how you feel with a sentence"" threads. A new one in the chillout cafe and another in experiences.The aim of the chill out cafe has always been for some time out from mental health struggles and a bit of light hearted ""banter"" so is therefore not the right place to express mental health struggles/ emotional distress. Everyone needs and deserves support so if you don\'t want to start your own thread or just need a short vent then this thread can be that place.'",,None
1,2014-10-19 03:14:00,prairiechick,"b'At this present moment I feel grateful and blessed, and cared for by my therapist.'",,None
2,2014-10-19 03:24:00,burt tomato,"b'I feel okay. Like John Nash, I accept that my hallucinations are not real. They are not real people. So I can let them disappear in the distance.'",,Amazed
3,2014-10-19 04:23:00,Mark_01,"b'Did you see this documentary,  John Nash, A Beautiful Mind?'",brat tomato,Confused
4,2014-10-19 04:43:00,burt tomato,b'Hi thanks for the link Mark.',Mark_01,Amazed
5,2014-10-19 14:39:00,BlueBerry,b'Feeling very intense cravings for chocolate right now...',,Scared
6,2014-10-19 15:08:00,shaky,"b'I feel inspired today - Getting things done - except my mind is a bit flighty, finding it hard to settle on what is the most important thing that I should be getting done.'",,Worried
7,2014-10-19 15:13:00,Noetic,"b""Me too. Here have one of mine. Quick! Won't last long at the rate I'm scoffing em. lol""",BlueBerry,None
8,2014-10-19 15:39:00,ScaredCat,"b'Very, very tired. Just cant sleep'",,None
9,2014-10-19 15:59:00,volnash,b'Aware.',,None
10,2014-10-19 16:03:00,Helena1,b'hopeless about the situation i am in and the future.',,Cheerful
11,2014-10-19 16:07:00,Sparklypurplepaws,b'Alone in a house full of people and a desire to not be here anymore',,Confused
12,2014-10-19 16:08:00,ScaredCat,b'I liked this thread better when it was all together',,None
13,2014-10-19 16:37:00,MarlieeB,"b""If this has to happen at least give it a different name like,How do you feel mentally right now?Or something along those lines so the two are shown to be different threads and people won't mistakenly post in the wrong one and then think they have done something wrong it's moved into the right thread.Also I feel it should be stickied as well as the emotion one amathus just posted.""",,Sad
