post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,Waverunner,"b""I am feeling so very low.",0.0,0.0,0.0,0.577192,0.0,0.92125,0.0
0,Waverunner,Can't accurately describe in words how bad I feel.,0.0,0.0,0.0,0.659726,0.0,0.0,0.946708
0,Waverunner,It feels though that it is my fate to die.,0.0,0.0,0.0,0.802979,0.0,0.0,0.0
0,Waverunner,Soon.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Waverunner,"It feels inevitable now.""",0.0,0.0,0.0,0.0,0.0,0.898327,0.0
1,Per Ardua Ad Astra,"b""I'm sorry you feel so bad at the moment, WaverunnerPlease stick around and stay with us, and don't go through matters alone.",0.0,0.0,0.0,0.747217,0.0,0.0,0.659112
1,Per Ardua Ad Astra,"Post here.Sending you a hug """,0.0,0.0,0.501304,0.0,0.0,0.0,0.0
2,adzesc,b'Hi WaverunnerSorry that you feel this way.,0.0,0.0,0.0,0.0,0.0,0.0,0.681699
2,adzesc,Can i ask what kind of support are you getting?,0.0,0.0,0.0,0.0,0.0,0.0,0.822231
2,adzesc,Is there anyone close to you that you can turn to.,0.0,0.0,0.0,0.569292,0.0,0.0,0.786991
2,adzesc,Also when you say that it your fate to die do you mean that you are feeling suicidal?,0.0,0.0,0.0,0.938821,0.515576,0.0,0.0
2,adzesc,sorry if thats a bit of a blunt question just trying to understand what you mean.',0.0,0.0,0.0,0.0,0.948998,0.0,0.798791
3,blueflames,b'I know that feeling.,0.0,0.0,0.0,0.0,0.920855,0.0,0.0
3,blueflames,Try and hold on as best you can because it probably wont last.,0.0,0.0,0.0,0.0,0.589295,0.0,0.867767
3,blueflames,Keep talking to us here and if the thoughts become worse then please got yourself to hospital xx',0.0,0.0,0.0,0.606488,0.793846,0.0,0.0
4,maybe.shes.a.wildflower,b'So good to see you back!!  so sorry that its under such sad circumstances.,0.0,0.0,0.0,0.777747,0.0,0.0,0.0
4,maybe.shes.a.wildflower,Much love to you xx',0.0,0.0,0.883569,0.0,0.0,0.0,0.0
5,katya,"b""I'm so sorry you're feeling like this.",0.0,0.0,0.0,0.0,0.0,0.0,0.615352
5,katya,I know it might seem inevitable - that's part of the nature of illness that is depression - but it's not inevitable.,0.0,0.0,0.0,0.893859,0.522484,0.0,0.752368
5,katya,Things can start to look up (I know it's hard to see that right now).,0.0,0.0,0.0,0.0,0.532616,0.0,0.0
