post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,keepsafe,"b""I keep losing chunks of time, I'm scared I will hurt myself. I need to hurt myself though anyway as I am a no good person. The past has damaged me incredibly and I deserve to be punished.""",0.0,0.536679,0.0,0.600068,0.0,0.6633,0.0
1,fallen,"b""You are a good, kind person KS. You definitely don't deserve to be punished, even if you have made mistakes. You mentioned the past has damaged you-I suspect that others were involved in this damage. Don't blame yourself unnecessarily-remember others are responsible for their own behaviour and it is not right you should suffer for that which is not your fault.Take care and stay safe.""",0.0,0.0,0.0,0.529704,0.750518,0.0,0.858578
2,redfraggle,"b'Hey Keepsafe, I am sorry you feel so bad. You are not alone and I wish I could help in some way. Do you have contact with Crisis team or CPN? x'",0.0,0.0,0.0,0.712245,0.0,0.0,0.982785
3,angry butterfly,"b""you do not deserve to be punished, it's other's I suspect that deserve to be punished.""",0.682095,0.0,0.0,0.0,0.0,0.0,0.58393
4,ranger,b'KeepsafeYou are most certainly a decent person and care about others and are supportive.Sometimes it can be more about the people from our past and those that took advantage and just the fact that they preyed on our vulnerability. And these scars can loom large during stressful periods. I hope you can relax a little. Be your own best friend. You deserve to be happy. If people in the past were unkind or abusive that is about them. You have always seemed a kind and supportive person on here.Hope you can relax a little tonight.Hugs your way. Ranger',0.0,0.655197,0.662434,0.508514,0.0,0.0,0.930043
5,keepsafe,"b""Thanks all it means a lot. I can't seem to relax, my past affects me very much indeed. Sexual abuse is something that is horrendous, how do you ever get over it?I hear voices, suffer flashbacks and dissociate - I hate me I hate this life.""",0.566316,0.0,0.0,0.0,0.0,0.794212,0.0
6,keepsafe,"b""I guess I should ring the crisis team, but find them to be unhelpful sometimes and if they are tonight - I just don't think I can take it.""",0.0,0.555081,0.0,0.0,0.699729,0.0,0.833824
7,Fairy Lucretia,"b'sending you all the love I have ,from the deepest parts of my heartx'",0.0,0.0,0.758993,0.0,0.0,0.751512,0.0
8,fallen,"b""Do you have someone who can be with you or do something that will keep your mind and hands active tonight if you're not comfy ringing the crisis team?x""",0.0,0.0,0.0,0.0,0.0,0.0,0.810545
9,keepsafe,"b""I'm going out with a friend, not up to it really but that should keep me occupied, we are going for a meal. I will hopefully just be able to go to bed when I get home, but my mind is playing tricks so who knows.Thanks everyoneKSxx""",0.0,0.0,0.569685,0.0,0.0,0.0,0.860656
10,Taff,"b'KeepsafeIt is so hard, and a lot here will understand. Stay safe and remember that you are here now and nothing ever was your fault. Here too .Safe hugs and love to you xxx'",0.0,0.0,0.578871,0.0,0.758535,0.0,0.709367
11,keepsafe,"b""Thanks Taffy,I went straight to bed when I got in, took my night meds and some zopiclone and diazepam to make sure I was really going to be out for the count.It's awful feeling these emotions - I wish that life was different.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,keepsafe,"b'Doc and social worker same I am a danger to myself right now - being monitored and also have c.t. I am losing the plot. I need to talk, but what about - I need my head to just stop and I am sick of the voices and flashbacks..'",0.0,0.683098,0.0,0.0,0.0,0.0,0.789226
13,redfraggle,"b'Hey KS, how are you today? Sorry not to reply sooner. Do you have support from Crisis team?Be kind to yourself xx'",0.0,0.0,0.0,0.0,0.0,0.0,0.874805
14,keepsafe,b'Ended up in hospital',0.0,0.0,0.0,0.643295,0.0,0.0,0.0
15,Fairy Lucretia,b'sending loads of hugsxx',0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,redfraggle,b'Hope you are doing ok and glad you are safe x',0.0,0.0,0.0,0.0,0.653099,0.0,0.786991
17,keepsafe,b'Safe for now and thanks for the hugs xxxxxxxxx',0.0,0.0,0.655791,0.0,0.724236,0.0,0.0
