post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,bulbie,"b""...all of the time. It's crippling me. """,0.0,0.0,0.0,0.0,0.0,0.986725,0.0
1,manekineko,"b""Hi bulbie, I share your pain! That's why I like forums, they make me feel less lonely and just the kindness of having someone reply with empathy and encouragement is enough to make me feel a little better. Are you lonely because you're alone? Or do you feel lonely even when you're around others? I have social anxiety and depression which means meeting people is difficult, and I find that I don't 'play well with others' as my parents like to say. What's making you feel so lonely? x""",0.0,0.0,0.0,0.748347,0.0,0.0,0.971147
2,Starless,b'',0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bulbie,"b""I'm completely isolated here, that really doesn't help. Been single for over a year whn everyone seems to have someone. No one wants me. """,0.0,0.0,0.0,0.0,0.0,0.0,0.85591
4,Unloved,b'hiya Bulbie.. You are NOT alone in your feelings.. I Know how hard it can feel.. Admitting you feel alone is half the battle (i think).. Keep talking you can get through this x',0.0,0.0,0.0,0.731167,0.668742,0.0,0.50589
5,manekineko,"b""You can talk to your friends here  AWWWWWWW, I'm sure that's not true! You are probably so down at the moment that you don't even realise when someone likes you or are showing an interest/checking you out! I know it can suck being single, especially if all your friends have someone, but take solace in the fact that I've been single for five years! Not even a date... Also, if you are single then you can take advantage of that time to do things that you want to do without the responsibility of having another to worry about. A year isn't a long time at all if you think about it, because looking for a person that is right for you is more important than being with someone to not be alone, and i'm sure once you have found a person like that, you wont regret holding out for more! x""",0.0,0.0,0.52646,0.0,0.61954,0.0,0.667692
6,Allyke,b'Love you Bulbie  xx',0.0,0.0,0.912038,0.0,0.0,0.0,0.0
7,Sugarplum,"b""You sound fantastic to me. I'd go out with you if I wasn't takenSPXx""",0.0,0.0,0.901155,0.0,0.720783,0.0,0.0
8,bulbie,"b""Thank you so much everyone.I'm hoping a visit home might pick me up, but right now its hard to see that. I've gotten a little flabby too and all that makes me think is who would want me with a body like this? """,0.0,0.0,0.581054,0.0,0.0,0.0,0.808202
9,Unloved,"b""morning Bulbie, its nice to hear your going out visiting.. Being able to go bk to your 'roots' can be reassuring.. On your body image,, anyone worth their salt would see past that straight off!,.. judging someone on looks alone is pretty shallow, buts thats how i see it.. Really hope you get out there, and end up having a Cracking day! X""",0.0,0.0,0.610114,0.0,0.0,0.0,0.615352
10,Foxjo,"b""Morning Bulbie, ive just logged on. all the people above have given you great words of wisdom. its true, people find each other, fall in love with each other in more ways than just the physical sense. friends too, cannot always be around but on-line there is always someone to talk to. thats why i love the forum. there is always someone 'here'. try and enjoy some of the sunshine this weekend, log on later and let us know how you are?hugs Fox""",0.0,0.0,0.670131,0.0,0.0,0.0,0.873296
11,bulbie,"b""So I'm out at McDonalds then going to get the shopping. I feel like everyone is looking at me thinking I look a mess.""",0.0,0.0,0.0,0.0,0.802429,0.0,0.0
12,blacktulip,b'You could never look a mess  xx',0.0,0.0,0.0,0.0,0.0,0.0,0.681699
13,bulbie,"b'I feel like I do, feel like my hairs a mess and I look ridiculous in this outfit, and that everyone can see my tummy. '",0.0,0.0,0.0,0.545528,0.775384,0.0,0.0
14,jaxie40,"b""Fox is right, I met and fell in love wih my second husband when I was least expecting to. In fact, I was anti-marriage, vowed I'd never do it again after the first. Anyway, I got to know a lot about my husband through many late night chats. I fell deeply in love with that person, not what he looks like. If you saw him in the evenings and weekends, you'd mistake him for a layabout, dressed in torn old jeans and tatty t-shirts. That side of him really doesn't bother me, he's comforatble dressed like that, and that's what's important.And I bet you don't look a mess at all! Seeing some of the sights around, I bet you have nothing to worry about, Bulbie""",0.0,0.0,0.622596,0.0,0.514415,0.0,0.85591
15,bulbie,"b'Thanks Jaxie. I just wish I could meet someone who values me enough, who loves me enough to want to marry me.'",0.0,0.0,0.822425,0.0,0.0,0.0,0.990508
16,Foxjo,"b'Hi Bulbiei met my husband through on-line dating, i fell in love with him over the internet. talking to him, getting to know him first then meeting up with him, i too was painfully shy at meeting people so i felt for me it was a great way of getting to know someone first before dating them in person. obivously there are some men/women on there only out for one thing and they get it. but you can usually suss that one out pretty quickly!today i went out in the sun, i too have put on a lot of weight with my change in meds, i felt like a white whale out in the sun. but i know thats just me and how im thinking about myself right now. i tried not to let it spoil my dayout but it is hard. yeah i wish i was a size ten with beautiful hair and teeth but it aint gonna happen! acceptance is what is needed- acceptance from ourselves. then once we feel beautiful to ourselves we can portray that to others.'",0.0,0.0,0.678131,0.504821,0.0,0.0,0.878315
17,bulbie,"b""God my teeth are another issue. I'm very scared of the dentist, and am scheduled for oral surgery but its months off... I've met so many people who judge if you have less than perfect teeth even if the rest of you could be deemed perfect.I've been told i'm ugly all my life, so naturally I believe it so strongly now.""",0.0,0.712989,0.0,0.0,0.0,0.874814,0.0
18,jaxie40,"b""Aww how lovely Fox! Very true what you say about acceptance too Bulbie, you will meet someone when you're least expecting it hun """,0.0,0.0,0.686537,0.0,0.0,0.0,0.0
19,bulbie,"b""Let's face it, I'm still in love with J, and I'm nowhere near as gorgeous as the girl he left me for...""",0.0,0.0,0.816541,0.0,0.0,0.0,0.0
20,Starless,b'Nowhere near as stupid either... *cough* .. Who said that? ',0.627331,0.0,0.0,0.0,0.724236,0.0,0.0
21,jaxie40,"b""Aww how awful Bulbie. My dad used to tell me that I was ugly and that no-one would ever want me. I grew up believing him. MY self estemm is still low, though with thanks to psychotherapy, it's better than it was.Anyone who judges on appearance is shallow, and doesn't deserve to be in a decent relationship. We think you're lovely anyway Bulbie, sod those who've called you ugly """,0.0,0.0,0.0,0.65056,0.0,0.0,0.653201
22,jaxie40,b'Who said what? ',0.0,0.0,0.0,0.537145,0.0,0.0,0.0
23,Starless,"b'Exactly Jaxie, exactly! '",0.0,0.0,0.0,0.0,0.0,0.998838,0.0
24,bulbie,"b""See, that's how i know you're my best friend! and of course I know you're right Jaxie, I'm just really struggling to see it right now. """,0.0,0.0,0.525361,0.0,0.0,0.770765,0.0
