post #,username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
0,person2,b'i feel like i should just give up................. ',0,0,0,0,0.895415,0,0.91961
1,person2,"b""hi Sarah,my day been ok ish, but its now.. i feel im useless... :'( i felt this way last night and SH and now i feel like it again x""",0,0,0,0.853976,0,0,0
2,person2,"b'my head feels like its gonna explode, i cant sleep as i tried an woke cause i felt i was being suffocated, my chest is very tight, with like stabbing pains, breathing aint good too and in alot of pain, i dont have an appetite no matter wat i buy or try to eat '",0,0,0,0.672946,0,0,0.70758
3,person2,"b'i want to hurt myself cause, i hate myself i hate life,, my family live in the next town to me, as i was classed as homeless before i got this place offered to me so i had no choice but to except it I getting so really stressed atm, my chest feels like someone is standing on it,so tight n stabbing pain,pain is in my arm too, my head hurts with what feels like pressure build up, i just want it to stop '",0,0,0,0.676935,0,0,0
4,person2,b'i feel like crap.............. sorry everything....... am a let down to all..........',0,0,0,0.564654,0,0.849827,0
5,person2,b'its the thought of eating and the smell of any food is making me feel sick ',0,0,0,0,0.762356,0,0.88939
6,person2,"b'I feel i have lost my battle with eating and depression..i feel i should just totally give up..i feel i have seriously failed, a total let down.i hate myself..'",0,0,0,0.652993,0,0,0.544371
7,person2,"b""Hello everyone,how are you all doing? im truly sorry i havent been online for awhile, i hope you all are well, anyway, i started eating again 30 days... now its been since friday... i feel so dam useless, so depressed, i havent had a good nights sleep in a while, sometimes not sleeping at all and other times only getting between 1 and 3 hours, its all draining me big time that this morning (very early) I've self harmed a lot too""",0,0,0,0.75839,0,0.890603,0
9,person2,"b'i want to cry, i cant work out anything in my f**ked up head, its all over the place, im even shaking...grrrrrr'",0,0,0,0.773724,0.775384,0,0
11,person2,"b""i dont know, maybe i am being too hard on myself, the system hhas failed me, ignored, refused n rejected me, im too alone in life, too weak to keep trying/fighting... im a total wreck fallen ,, im at breaking point, ready to give up, ready to quit.. i try to look into the future but its too dark to see anything :'(""",0,0,0,0.792207,0,0,0.647986
12,person2,"b'too depressed, too lonely and too upset to stay here, so im saying goodbye to everyone, thank you to the ones that have supported me, im grateful.. i hope you all get the help you deserve, get better and have a happy life..take care always.. x'",0,0,0,0.733082,0,0,0
13,person2,"b""hi everyone,unfortantly im still alive, though things just go from bad to worse all the time, with maybe the odd times when im happy, though i not even sure that even at these times i am truly happy or just dam good at faking it just for others, but now things are too hard to handle, im seriously losing the plot, im getting more an more angry and frustrated about everything, alot of people are getting the grunt of it all, i cant help it, i cant go docs about it all cause the only thing i would want to know is assisted suicide, but these thing dont happen, prob will lead to sectioning, i have attempted od a few times lately, im so much of a failure i cant even do that right, i have so many times getting the symtoms of heart problems, sadly though no heart attack has happened though i so want it to.. i want out... i have family problems too now, i feel used by family, well i didnt too badly till my car failed to start awhile ago, since then everything i ask is a f**king no.. yet all family called upon me esp wen weather bad, (snow) as no one wants to drive it, apart from me.. i done it, done all shopping etc for everyone.family members that dont talk to me, apart from when pc's go down and they want em fixed or they want something done n cant get noone else to do, sounds prob stupid to you all but it pisses me off.. whats happening to me? :'( y cant i just f**king die? im too alone too isolated, no one really contacts me or nothing.. i hate life so much now..""",0.57084,0,0,0.732876,0,0,0.823149
