source,date,title,description

Electrek.co,2019-03-05T17:26:00Z,Pininfarina’s Battista is a 1900-horsepower all-electric hypercar - Electrek,Pininfarina unveiled its Battista all-electric hypercar at the Geneva Motor Show — a 1900-horsepower(!!) beast that goes from 0 to 100 km/h in less than two seconds. Will this compete with Tesla&#8…
Ars Technica,2019-03-05T17:25:00Z,"T-Mobile has spent $195,000 at Trump hotel while lobbying for Sprint merger - Ars Technica","Businesses like T-Mobile are ""lin[ing] the president's pockets,"" lawmakers say."
Abc7ny.com,2019-03-05T17:21:48Z,"'Sudden, extreme' gust of wind sends Norwegian cruise ship passengers 'flying' - WABC-TV","Several people were injured when an ""extreme"" gust of wind rocked a cruise ship leaving New York City late Sunday night, sending objects -- and people -- flying to one side of the ship, according to reports."
Marketwatch.com,2019-03-05T17:13:00Z,"Tesla stock slides another 4% as analysts question recent decisions, fret about cash burn - MarketWatch",Barclays and Morgan Stanley join the chorus of Tesla doubters as stock falls for the third straight session.
Associated Press,2019-03-05T16:51:34Z,"After years of promise, battery cars about to go mainstream - Associated Press","GENEVA (AP) — For years, there have been lots of electric cars proudly rolled out at auto shows but few on the streets or at dealers. That could be about to change. The electric cars under..."
Yahoo.com,2019-03-05T16:50:00Z,Papa John's founder Schnatter to exit board in settlement - Yahoo Finance,"The company said in a regulatory filing on Tuesday it would co-operate with Schnatter to find a mutually acceptable independent director who would not be affiliated with Schnatter or hedge fund investor Starboard Value LP, which owns a nearly 10 percent stake…"
Business Insider,2019-03-05T16:46:11Z,Amazon took over the $176 billion market for cloud computing. Now it's using the same playbook in logistics. - Business Insider,A slew of industry experts say Amazon is prepping itself to take over FedEx and UPS.
Fox News,2019-03-05T16:19:02Z,Boy eating McDonald’s finds razor blade in Happy Meal box - Fox News,Not lovin' it.
Fox2now.com,2019-03-05T16:19:00Z,Birth control recalled over incorrect packaging - KTVI Fox 2 St. Louis,"The Food and Drug Administration is advising the public about a nationwide birth control pill recall by Apotex Corp.

Four lots of Drospirenone and Ethinyl Estradiol Tablets, USP may possibly contain defective blisters with incorrect tablet arrangements and/…"
CBS News,2019-03-05T16:13:00Z,Bugatti sells most expensive car ever made for $12.5 million - CBS News,Bugatti sold a new sports car for a record price at the Geneva International Motor Show
Foxbusiness.com,2019-03-05T16:06:38Z,The world's youngest billionaires under 30 - Fox Business,"At 21, reality star Kylie Jenner has become the youngest self-made billionaire ever."
Marketwatch.com,2019-03-05T16:06:00Z,"4 good reasons this small-cap, dividend-paying stock sector could reward contrarian investors - MarketWatch",Jay Kaplan of Royce Fund says the timing is right for investing in shares of community banks.
CNBC,2019-03-05T15:56:17Z,Tesla shares fall 4 percent despite China approval of Model 3 imports - CNBC,"Chinese customs authorities are allowing Tesla to import the company's Model 3 sedans into the country, after reports had said the vehicles were being held due to irregularities, Reuters reported Tuesday, citing sources familiar with the matter."
Fox News,2019-03-05T15:52:00Z,Harley-Davidson will start selling electric motorcycles for 3-year-olds - Fox News,It wasn't kidding about going after a younger audience.
CNBC,2019-03-05T15:41:36Z,"Southwest's maintenance problems are costing it millions a week, CEO says - CNBC","Southwest Airlines' CEO Gary Kelly says the airline is losing millions of dollars a week due to planes grounded amid a dispute with its mechanics. The airline sued its mechanics' union last week, alleging it was encouraging workers to write up minor issues to…"
Axios,2019-03-05T15:37:00Z,AT&T shakes up WarnerMedia amid merger drama - Axios,One of the most dramatic mergers in recent history has finally come to a close.
Daytondailynews.com,2019-03-05T15:19:03Z,Thousands of stores planned to close in 2019: Here’s the list - Dayton Daily News,Thousands of retail locations are already set to shutter.
Marketrealist.com,2019-03-05T15:17:50Z,Cronos Group Got a 'Market Perform' Rating from Cowen - Market Realist,"On March 5, Cowen initiated coverage on Cronos Group (CRON) with a ""market perform"" rating."
CNN,2019-03-05T15:01:00Z,"JetBlue wants you to delete your Instagram photos for free flights, and we have questions - CNN","Have you ever just wanted to delete your social media, forge a new identity, start over and travel the world?"
CNBC,2019-03-05T15:00:59Z,New home sales rise to 7-month high in December - CNBC,"Sales of new U.S. single-family homes rose to a seven-month high in December, but November's outsized jump was revised lower, pointing to continued weakness in the housing market."
CNN,2019-03-05T14:56:00Z,Why Tesla's decision to close hundreds of stores is risky - CNN,"Tesla thinks the future of auto sales is online. That may be true, but the company is taking a big risk by closing its stores."
The Verge,2019-03-05T14:50:59Z,Aston Martin Lagonda All-Terrain Concept at the Geneva Motor Show 2019 - The Verge,"Aston Martin has introduced its second Lagonda concept car. This time, it’s an all-terrain SUV with fully autonomous drive, all-electric powertrain, and lush decorations that include Swarovski crystals. Opulence and excess, yes, but this is also supposed to b…"
Thisisinsider.com,2019-03-05T14:47:59Z,"An explosive exposé on a $9 billion Russian money laundering operation entangles Citigroup, Raiffeisen, and Deutsche Bank - INSIDER",A project detailing 'The Troika Laundromat' outlines a $9 billion money laundering operation with links to politicians and Western banks.
Ars Technica,2019-03-05T14:39:00Z,Mercedes-Benz debuts EQV electric van at the Geneva auto show - Ars Technica,"It seats between six and eight, and will have up to 249 miles of range."
Npr.org,2019-03-05T14:37:00Z,Tokyo Court Grants Bail To Former Nissan CEO Carlos Ghosn - NPR,"The executive could be freed from jail soon after a Tokyo court set his bail at nearly $9 million. Ghosn was arrested in November for alleged financial crimes, including understating his income."
Cheatsheet.com,2019-03-05T14:17:11Z,Is Ariana Grande Debuting Her Own Starbucks Drink? - The Cheat Sheet,"Like many of us Ariana Grande loves Starbucks, but is the pint-sized songstress collaborating with Starbucks for a new drink?"
Newser.com,2019-03-05T13:57:00Z,Google: We Underpaid Thousands of Men - Newser,"After pay equity study, a higher percentage of raises go to male employees"
CNN,2019-03-05T13:47:00Z,Target had its best year since 2005 - CNN,Target capped off its best year in more than a decade with a strong holiday shopping season.
Fox News,2019-03-05T13:37:52Z,"Ocasio-Cortez not ruling out Amazon's return to New York, says communities must be consulted - Fox News","New York Rep. Alexandria Ocasio-Cortez has not totally ruled out the possibility that Amazon could reopen a negotiating process to enter New York City, despite her previous statements slamming the tech giant's plan for a massive second headquarters."
Seekingalpha.com,2019-03-05T13:33:00Z,Timing The Market Is Possible: Here Are Some Lessons Learned - Seeking Alpha,"Can an investor consistently beat the broad market by effectively timing entries and exits into stocks? In this article, I test a couple of hypotheses about how"
Kitco.com,2019-03-05T13:23:00Z,"Gold, Silver Bulls Work To Stabilize Prices - Kitco News",Senior Technical Analyst Jim Wyckoff prepares investors with an overview of how the markets opened and closed. What moved metal prices? How do the technicals look? By looking at important developments
Newser.com,2019-03-05T13:08:00Z,Major Airline Drops Mandatory Makeup Rule - Newser,Virgin Atlantic attendants are also being provided with pants
Seekingalpha.com,2019-03-05T13:00:00Z,Sentiment Speaks: Bonds Setting Up To Skyrocket - Seeking Alpha,We are setting up a sizable rally in bonds. Market sentiment is what is driving bonds at this time. I am looking for much lower rates and higher TLT prices in t
The Wall Street Journal,2019-03-05T12:53:00Z,"L Brands Faces Pressure to Separate Victoria’s Secret, Bath & Body Works - The Wall Street Journal",New York hedge fund Barington Capital wants L Brands to consider splitting its booming Bath & Body Works operation from its struggling lingerie chain.
CNN,2019-03-05T12:46:00Z,Spotify just added a million new users in under a week - CNN,"Spotify may have waited a year to launch in India, but it took less than a week to sign up its first million users in the country."
Fox News,2019-03-05T12:44:02Z,"Amazon, long seen as a threat to malls, is now a hot tenant - Fox News",Shopping center owners have long blasted Amazon.com Inc. as a destroyer of their business. Now some are starting to view Amazon as a potential savior.
The Wall Street Journal,2019-03-05T12:32:00Z,"Chevron, Exxon Mobil Tighten Their Grip on Fracking - The Wall Street Journal","Chevron and Exxon Mobil plan to significantly ramp up production in the oil field at the heart of the U.S. fracking boom, the latest sign that the next era of shale drilling is likely to be led by the major oil companies."
The Wall Street Journal,2019-03-05T12:00:00Z,"Surfing, Schools and Jets: WeWork’s Bets Follow CEO Adam Neumann’s Passions - The Wall Street Journal",The office-space company’s new directions make for an eclectic mix of businesses. Some appear to be built around CEO Adam Neumann’s hobbies and personal interests.
