source,date,title,description

Thedailybeast.com,2019-03-05T17:20:00Z,"Rand Paul: Sure, Vaccines Are OK, But We Shouldn't Trade 'Liberty' for 'False Sense of Security' - The Daily Beast","His own Republican colleague, Sen. Bill Cassidy, was openly appalled by what he said."
Npr.org,2019-03-05T17:19:00Z,HIV Eliminated By Bone Marrow Transplant In Cancer Patient : Shots - Health News - NPR,"British doctors report the apparent eradication of HIV from a patient who was undergoing treatment for cancer. It's only the second time this has been accomplished, despite many attempts."
USA Today,2019-03-05T16:34:00Z,Teen who vaccinated himself says anti-vaxx Mom gets misinformation from Facebook - USA TODAY,"Ethan Lindenberger, 18, says his mother often cites social media groups to refute health officials. ""That’s what they want you to think,"" she says."
Staradvertiser.com,2019-03-05T16:15:00Z,"Few seniors are getting routine memory checkups, report finds - Honolulu Star-Advertiser","WASHINGTON >> Few seniors get their thinking and memory abilities regularly tested during check-ups, according to a new report from the Alzheimers Association that raises questions about how best to find out if a problem is brewing."
Abc13.com,2019-03-05T15:09:41Z,'You saved our daughter's life': Child's dentist finds tumor during routine cleaning - KTRK-TV,A dentist made a life-saving discovery during a 4-year-old's appointment.
The Verge,2019-03-05T15:00:00Z,"Lead contamination goes far beyond Flint, Michigan - The Verge","Nearly five years after the city of Flint, Michigan, confronted a contaminated water supply, lead in water continues to be a problem around the country. For our latest Verge Science video, we looked into the different lead tests that are available to see how …"
Fox News,2019-03-05T14:44:48Z,"Woman claims allergic reaction to vape caused painful rash, required hospital visit - Fox News",A woman in England is calling for a law requiring an allergy test for any first-time vapers after she claims her severe reaction to the e-cigarette landed her in the hospital.
Bbc.com,2019-03-05T12:34:29Z,Brain clue to 'broken heart' syndrome - BBC News,"Your heart can be damaged after a sad event and it may be your brain's doing, experts believe."
Myfox8.com,2019-03-05T12:04:00Z,"Florida woman gets $48,000 medical bill after kitten bite - WGHP FOX 8 Greensboro","HOMESTEAD, Fla. — What was supposed to be a simple, kind gesture for a stray cat turned into a nearly $50,000 medical bill for one Florida woman.

Jeanette Parker is a wildlife biologist, so when she spotted a small, sickly stray kitten outside the Everglade…"
Wfmj.com,2019-03-05T11:29:00Z,FDA expands blood pressure medicine recall - WFMJ,"The Food and Drug Administration has expanded the recall of a blood pressure medication sold at Walmart, Sam's Club, and other retail locations."
