source,date,title,description

Thefalcoholic.com,2019-03-05T17:00:00Z,Can the Falcons afford Justin Houston? - The Falcoholic,The once prolific pass rusher will reportedly be cut and the Falcons desperately need a pass rusher.
Youtube.com,2019-03-05T16:45:00Z,"LeBron and the Lakers are officially done, front office changes to come - Stephen A. | First Take - ESPN","Stephen A. Smith, Jalen Rose and Max Kellerman debate whether LeBron James and the Los Angeles Lakers' season is finished after a crucial loss to the LA Clip..."
Yahoo.com,2019-03-05T16:41:00Z,"Kellen Winslow in jail again, for lewd conduct - Yahoo Sports",Kellen Winslow was arrested after being accused of lewd conduct in a gym.
Espn.com,2019-03-05T16:30:07Z,Trestman hired as coach of Tampa Bay XFL team - ESPN,Marc Trestman was hired as the head coach and general manager of the XFL's franchise in Tampa Bay on Tuesday.
Bigblueview.com,2019-03-05T16:10:18Z,4-round mock draft simulation: New York Giants select Montez Sweat No. 6 - Big Blue View,It’s our first multi-round mock draft simulation of 2019
Deadspin.com,2019-03-05T16:03:00Z,The Unstoppable Bucks Lost Again To The Extremely Stoppable Suns - Deadspin,"Quick: who’s the only team in the NBA to beat the Milwaukee Bucks twice this season? If you watched the Bucks play last night (or if you read the headline to this post), then you already know the answer: the 14-win Phoenix Suns."
Mmajunkie.com,2019-03-05T16:00:00Z,Jon Jones thankful 'real warrior' Anthony Smith didn't take easy way out with DQ at UFC 235 - MMAjunkie,"Anthony Smith may not have won a UFC title or even a round at UFC 235, but he did win Jon Jones’ respect."
Kstp.com,2019-03-05T15:52:12Z,"Former Minneapolis North star Khalid El-Amin detained, released for delinquent child support - KSTP",El-Amin told the Connecticut  judge he intends to pay what he owes ...
Yardbarker.com,2019-03-05T15:46:19Z,Mets hire Jessica Mendoza in front office role - Yardbarker,"It has been more than three years since Jessica Mendoza became the first woman to serve as an analyst for a nationally televised MLB postseason game, and her role within baseball is now expanding even more. The New York Mets announced on Tuesday that they"
Cbssports.com,2019-03-05T15:27:00Z,NFL free agency 2019: Where will Golden Tate play next season? Six potential landing spots - CBS Sports,A look at some of the most likely suitors for the Eagles' impending free agent
Espn.com,2019-03-05T15:24:37Z,Yankees' Sabathia to serve as ESPN analyst - ESPN,"Yankees pitcher CC Sabathia, who will retire after this season, will appear on a number of ESPN shows this year, including SportsCenter and Baseball Tonight."
Yahoo.com,2019-03-05T15:05:00Z,"Patrick Beverley is over LeBron James and the Lakers, says Clippers are - Yahoo Sports","Patrick Beverley says the Clippers are the best team in L.A., and it's hard to argue with him."
Indiewire.com,2019-03-05T15:04:04Z,Will Smith’s Casting as Venus and Serena Williams’ Father Sparks Colorism Backlash - IndieWire,Smith is reportedly going to play Venus and Serena Williams' father in a new project.
Cbssports.com,2019-03-05T14:58:00Z,2019 Arnold Palmer Invitational odds: Surprising picks from proven model that nailed four golf majors - CBS Sports,"SportsLine simulated the 2019 Arnold Palmer Invitational 10,000 times and came up with some surprises"
Radio.com,2019-03-05T14:53:28Z,Report: Bears To Release OLB Sam Acho - 670 The Score,The Bears opened up around $2 million in cap space by releasing Acho.
Youtube.com,2019-03-05T14:36:14Z,"Being an NBA star isn't difficult, it's fantastic! - Jalen Rose to Kyrie Irving | Get Up! - ESPN",Jalen Rose sounds off on Kyrie Irving’s complaints about media scrutiny in the modern NBA. ✔ Subscribe to ESPN on YouTube: http://es.pn/SUBSCRIBEtoYOUTUBE ✔ ...
Bleacher Report,2019-03-05T14:06:15Z,2019 NFL Mock Draft: Matt Miller's Post-Combine Predictions - Bleacher Report,"INDIANAPOLIS — For prospective  NFL  players, the scouting combine is focused on medical evaluations, interviews, on-field positional work and athletic testing..."
