source,date,title,description
CNBC,2019-03-01T01:44:53Z,Elon Musk just sent this memo to employees about the cheaper Model 3 and store closures - CNBC,Tesla CEO Elon Musk sent an email to employees on Thursday night explaining the company's decision to reduce headcount in its sales and marketing divisions.
CNN,2019-03-01T01:00:00Z,HBO chief Richard Plepler leaves network he spent decades building in post-AT&T shakeup - CNN,HBO chief Richard Plepler announced Thursday that he is leaving the company after nearly 28 years.
The New York Times,2019-03-01T00:19:23Z,Gap Plans to Spin Off Old Navy After a Dismal Year - The New York Times,"Old Navy will become its own public company, while Gap will form another public company made up of its namesake label and its other brands like Banana Republic."
Gizmodo.com,2019-02-28T23:47:00Z,"Plagued by Predators, YouTube Is Disabling Comments on Most Videos Featuring Children - Gizmodo","YouTube has a genuine crisis on its hands after it was revealed that comments on its site were being used to organize a child exploitation network. Major advertisers are dropping like flies. In response, YouTube on Thursday announced that it is disabling commâ€_"
Ars Technica,2019-02-28T23:41:00Z,"Amazonâ€™s latest program to curb emissions? One delivery day per house, per week - Ars Technica","Amazon has been testing the program with a few customers, but now it becomes official."
Politico,2019-02-28T23:21:00Z,Lawyer: Adelson's health 'dire' - POLITICO,Adelson last year donated millions to two conservative super PACs ahead of the 2018 election.
Chicagotribune.com,2019-02-28T23:05:00Z,Stranded at Union Station? Uber and Lyft rides to the suburbs are going to cost you. - Chicago Tribune,"An Amtrak signal problem is prompting thousands of Chicago commuters to look for new ways home, and ride-share prices are high."
The Verge,2019-02-28T22:50:39Z,"Open letter from CEOs, politicians, and labor leaders asks Amazon to return to NYC - The Verge","Amazon has said itâ€™s ending plans for a New York City headquarters, but a group of state officials, businesspeople, and union leaders are asking the company to stay. In an open letter set to be published in the New York Times tomorrow, the group will ask Amazâ€_"
The New York Times,2019-02-28T22:50:31Z,Uber and Lyft Said to Offer Drivers a Chance to Participate in I.P.O.s - The New York Times,"The ride-hailing companies intend to set up programs to give cash to some of their drivers, enabling them to buy company stock ahead of an initial public offering."
10tv.com,2019-02-28T22:08:27Z,JC Penney closing more stores after a weak holiday season - 10TV,The department store said Thursday that it would turn the lights out at 18 department stores. It will also close nine home and furniture stores.
Wtae.com,2019-02-28T21:34:00Z,Health officials say Pittsburgh plants must halt pollution - WTAE Pittsburgh,U.S. Steel is being ordered to reduce its use of coke oven gas and cut back on sulfur dioxide emissions at all of the company's facilities in the Mon Valley area of Allegheny County.
Yahoo.com,2019-02-28T21:33:00Z,63% of millennial homeowners regret buying home: survey - Yahoo Finance,63% of millennials have buyer's remorse when it comes to a major purchase they've made: their home.
Kwwl.com,2019-02-28T20:30:11Z,Victoria's Secret plans to close dozens of stores - kwwl.com,Victoria's Secret plans to close dozens of stores this year.Â  Victoria's Secret plans to close dozens of stores this year.
Washingtonexaminer.com,2019-02-28T20:27:00Z,North Korea and China fallout: Trump needs to learn the art of managing expectations - Washington Examiner,"As far as dealmaking goes, itâ€™s been a tough week for President Trump. On Wednesday, U.S. Trade Representative Robert Lighthizer said that a deal with China wasnâ€™t quite as close as Trump had made it out to be. Less then 24 hours later, talks on denuclearizatâ€_"
Sfgate.com,2019-02-28T19:31:00Z,"An 'emotional support' pit bull mauled a 5-year-old girl at Portland airport, lawsuit says - SFGate","She had left for only a moment to buy a coffee while she and her children waited for an Alaska Airlines flight to Texas just before Christmas, on Dec. 18, 2017. Her 5-year-old daughter, Gabriella, was supposed to be sitting at the gate with her older brother."
Huffpost.com,2019-02-28T19:22:00Z,Man Accused Of Dipping Testicles In Salsa As Revenge For Low Tip - HuffPost,"The Tennessee man, who was sitting in a food delivery vehicle, allegedly says on the video, â€œOh, oh, it feels good."""
Dailywire.com,2019-02-28T19:22:00Z,"Oprah's Weight Watchers Stock Plummets, Loses $58 Million - The Daily Wire",Oprah's Winfrey's investment portfolio shrunk a few sizes on Tuesday after she saw that her WW program (formerly Weight Watchers) had dropped somewhere between $39 million and $48 million.
Statnews.com,2019-02-28T19:03:56Z,"Suddenly, the Bristol-Celgene deal is looking shaky. What's next? - STAT",What happens to Celgene if the proposed $74 billion acquisition by Bristol-Myers Squibb dies?
Business Insider,2019-02-28T18:55:26Z,"Inside the 40-year business partnership of Warren Buffett and Charlie Munger, who both started out working in the same grocery store and reportedly haven't had a fight in 60 years - Business Insider","Warren Buffett and Charlie Munger serve as Chairman and Vice Chairman, respectively, at holdings company Berkshire Hathaway."
Marketrealist.com,2019-02-28T18:47:24Z,Spotify Faces Several Challenges in India - Market Realist,
Recode,2019-02-28T18:38:48Z,"Amazon wants to sell ""every genuine product in the world."" That's a mistake. - Recode",The company is risking what it values most â€” customer trust â€” in pursuit of building â€œthe everything store.â€ù
Ars Technica,2019-02-28T18:12:00Z,"After delays, OneWeb launches its first six low-Earth broadband satellites - Ars Technica","OneWeb has big plan for low-latency Internet, but won't meet goal of 2019 rollout."
Yahoo.com,2019-02-28T18:11:00Z,"Kraft Heinz lawsuit targets 3G stock transfer, writedown, SEC probe - Yahoo Finance","The proposed class-action lawsuit made public on Wednesday is among the first accusing Kraft Heinz, whose other controlling shareholder is Warren Buffett's Berkshire Hathaway Inc, of defrauding shareholders about its business prospects.  Kraft Heinz's share pâ€_"
