source,date,title,description
Billboard.com,2019-03-03T20:00:09Z,Lady Gaga & Bradley Cooper's 'A Star Is Born' Soundtrack Back at No. 1 on Billboard 200 Post-Oscars - Billboard,"Plus: Gunna, Offset, Gary Clark Jr., Lil Pump and Kehlani all debut in the top 10."
Buffalonews.com,2019-03-03T19:13:55Z,SNL's 'Weekend Update' takes its shot at Bills - Buffalo News,"The Bills have often been the butt of jokes, and the testimony from Donald Trump's former lawyer, Michael Cohen, that Trump inflated his ..."
Cheatsheet.com,2019-03-03T19:00:18Z,When Are the Jonas Brothers Releasing a New Album? - The Cheat Sheet,"The Jonas Brothers are finally back with a new song. Is a new album coming soon, too?"
Vulture.com,2019-03-03T18:59:17Z,Johnny Depp Is Now Reportedly Suing Amber Heard for Defamation - Vulture,In response to Heardâ€™s op-ed about his alleged domestic abuse.
Mlb.com,2019-03-03T18:51:00Z,A new 'The Sandlot' TV series is in the works - MLB.com,The Official Site of Major League Baseball
Fox News,2019-03-03T18:11:51Z,Chip and Joanna Gaines donate baby Crewâ€™s outgrown bassinet to fan who is â€˜finally expectingâ€™ - Fox News,The â€œFixer Upperâ€ù couple is proving they donâ€™t need a television show to make dreams come true.
Cosmopolitan.com,2019-03-03T18:09:00Z,Travis Scott Subtly Addressed Those Kylie Jenner Cheating Rumors at His Concert Last Night - Cosmopolitan.com,So are things all good with these two?
Newson6.com,2019-03-03T17:47:46Z,'The Voice' Contestant Janice Freeman Dead at 33 - News On 6,
Tmz.com,2019-03-03T17:29:00Z,Roseanne Barr Calls #MeToo Movement Hollywood 'Hos' with No Self-Respect - TMZ,Roseanne Barr calls #MeToo movement Hollywood 'Hos' with no self-respect.
Tasteofcountry.com,2019-03-03T17:14:00Z,Thomas Rhett Gets a Little Help From His Wife on 'SNL' - Taste of Country,"It was Rhett's first time on the famed show, but he had his wife there for support--and a bit of assistance!"
