source,date,title,description
Thetimes.co.uk,2019-03-07T17:00:00Z,You snooze you win: siestas could be answer to high blood pressure - The Times,A lecture about drinking less and eating better is the usual lot of millions of middle-aged Britons on learning they have high blood pressure. Now Greek doctors have some altogether more pleasing...
USA Today,2019-03-07T16:16:00Z,"Seniors walking leashed dogs could increase risk of injury, study says - USA TODAY","Adults 65 and over who walk dogs on leashes could place themselves at a ""significant"" risk of injury, a study published Wednesday said."
Thisisinsider.com,2019-03-07T16:11:23Z,Vitamin d and mental health - INSIDER - INSIDER,"Vitamin D can be very important for your overall health, but especially for your mood. We asked two experts how big that link is."
Abc13.com,2019-03-07T15:56:01Z,Drevon Perkins allegedly confesses to sexually assaulting 3-year-old in San Antonio - KTRK-TV,"Drevon Alexander Perkins, 26, is accused of sexually assaulting a 3-year-old girl and giving her STDs."
10tv.com,2019-03-07T15:54:03Z,Officials: 3-year-old Columbus boy dies from flu - 10TV,This case is the fourth flu-associated pediatric death in Ohio this season.
Fox News,2019-03-07T15:16:16Z,Texas woman has skin burned off to treat rare condition that caused nose to double in size - Fox News,"A Texas woman who had layers of her skin burned off leaving a charred, blackened area on her face said the procedure has helped her regain her confidence and get her life back after a rare condition caused her nose to morph and double in size."
RT,2019-03-07T14:19:00Z,3rd patient reportedly cured of HIV in incredible medical breakthrough - RT,A third patient is said to have been cured of HIV in an amazing medical breakthrough. The news comes on the heels of the revelation that the second person ever is HIV-free following a bone marrow transplant.
CNN,2019-03-07T13:19:00Z,Do skinny people have faster metabolisms? Not really - CNN,"Genes, movement and diet keep some people thin. As for a ""fast"" metabolism, that belongs to more muscular people, not necessarily thinner ones."
Daily Mail,2019-03-07T13:01:00Z,One glass of wine or pint of beer each night DOUBLES the risk of killer high blood pressure - Daily Mail,"Researchers from Wake Forest Baptist Medical Center in North Carolina studied the drinking habits of more than 17,000 people to find any more than seven drinks per week is unhealthy."
Marketwatch.com,2019-03-07T13:00:00Z,Heart-attack risks for Americans under the age of 40 - MarketWatch,"Days after Luke Perry’s death at 52 from a stroke, here is another grim reminder that the young are far from invincible."
Mindbodygreen.com,2019-03-07T12:52:45Z,"HIIT Is Better Than Continuous Exercise For Reducing Belly Fat, According To New Research - mindbodygreen.com",Here's how to get in on these benefits.
Popsugar.com,2019-03-07T12:45:03Z,6 Foods This Dietitian Recommends to Help Burn Fat and Build Muscle — Stock Up STAT - POPSUGAR,"It's no secret that diet is crucial to most fitness goals, whether you're looking to burn fat, gain muscle, or both. ""Abs are made in the kitchen,"""
Citylab.com,2019-03-07T12:45:00Z,Where Mosquitoes Will Multiply Thanks to Climate Change - CityLab,"Over the next 60 years, climate change will enable mosquitoes to thrive in more places around the world, according to a new study."
Newser.com,2019-03-07T12:42:00Z,Wisconsin Man Jeffery Murawski Charged With Breaking Measles Quarantine to Go to Gym - Newser,Wisconsin's Jeffery Murawski allegedly was 'going crazy' during measles mandate
Msf.org,2019-03-07T12:11:15Z,Ebola response failing to gain the upper hand on the epidemic | Democratic Republic of Congo - Médecins Sans Frontières (MSF) International,"MSF International President Dr Joanne Liu highlights contradictions, shortcomings and the need to restore patients’ and communities’ faith in the response to the largest ever Ebola outbreak in the Democratic Republic of Congo."
Abc11.com,2019-03-07T12:05:12Z,"Your genes could increase your chance of dying from stress, Duke professor says - WTVD-TV","One of your genes could increase your chance of dying behind the wheel, according to Duke Professor Dr. Redford Williams."
Ksby.com,2019-03-07T11:33:36Z,Law enforcement saves overdose victim with NARCAN - KSBY San Luis Obispo News,A woman was saved by first responders in Isla Vista shortly after midnight on Thursday.
Ehn.org,2019-03-07T11:30:48Z,"People puffing e-cigs are more likely to have heart attacks, strokes and depression - Environmental Health News","As the electronic cigarette market continues to grow, a new study being presented next week links vaping to heart and mental health impacts"
Wtvm.com,2019-03-07T11:26:00Z,Dentist saves 5-year-old girl by finding tumor during routine cleaning - WTVM,"After noticing several loose teeth, which was unusual for the girl’s age, the dentist asked for a panoramic X-ray and discovered a growing tumor in her jaw."
Phys.org,2019-03-07T10:31:37Z,New optical imaging system could be deployed to find tiny tumors - Phys.org,"Many types of cancer could be more easily treated if they were detected at an earlier stage. MIT researchers have now developed an imaging system, named ""DOLPHIN,"" which could enable them to find tiny tumors, as small as a couple of hundred cells, deep within…"
Wtol.com,2019-03-07T10:22:00Z,Water additive recalled for potentially deadly bacteria - WTOL,"The FDA says drinking the water has the ""remote probability of necessitating medical or surgical intervention."""
CNN,2019-03-07T09:33:00Z,"Anti-vaxers' adult son gets measles; now, he has this message for the world - CNN",Josh Nerius is something of a unicorn: a living adult who experienced measles recently and can describe what it feels like.
Fox News,2019-03-07T08:56:05Z,"Dog-walking may be hazardous to seniors’ health, study suggests - Fox News","Older adults sometimes gets themselves a dog for companionship. But the pets are increasingly sending their owners to the emergency room, according to a study."
Fox17.com,2019-03-07T04:41:15Z,State shells out $400000 to Tenn. Department of Health on vaccine promotions - WZTV,Tennessee is trying a new approach to get parents to vaccinate their children. The Tennessee Department of Health is stepping up its game with a PR campaign to convince parents concerned about side effects and autism. The CDC reports that there have been more…
Sfchronicle.com,2019-03-07T03:33:10Z,Two passengers contract measles from Santa Cruz resident on flight into SFO - San Francisco Chronicle,"Three California residents, including one from San Francisco, have contracted measles, health officials said Wednesday, though they don’t believe the highly contagious disease will spread further"
ABC News,2019-03-07T03:21:00Z,"Man violated measles quarantine to go to the gym, prosecutors say - ABC News",Prosecutors filed charges against Jeffery Murawski and his wife last week.
News3lv.com,2019-03-07T01:49:30Z,HIV-positive Las Vegas comedian reacts to news of potential cure - News3LV,"A huge step forward this week in the fight against HIV and AIDS with scientists announcing that a second person could be cured. Brandon Cox Sanford is a Las Vegas comedian who was born with HIV, his mother died from AIDS when she was 26. Brandon believes she …"
The Washington Post,2019-03-07T01:22:39Z,Health-care providers say CDC’s opioid guidelines are harming pain patients - Washington Post,"In a letter to the government health agency, more than 300 caregivers contend that people in chronic pain are being denied the medication they need."
Bbc.com,2019-03-07T01:20:52Z,HRT: Women told not to be alarmed by Alzheimer's study - BBC News,"The risk is very low and drugs to treat menopause symptoms are safe and effective, doctors say."
Opb.org,2019-03-07T01:08:00Z,US Surgeon General In Vancouver And Portland For Measles Outbreak - OPB News,<p>The U.S. Surgeon General was in the Pacific Northwest Wednesday to highlight the measles outbreak.</p>
Marketplace.org,2019-03-07T00:57:44Z,FDA approves new Johnson & Johnson drug for depression - Marketplace.org,A Marketplace Story
Fox5vegas.com,2019-03-07T00:46:00Z,Active case of tuberculosis found at Durango High School - FOX5 Las Vegas,"An active case of tuberculosis was discovered at Durango High School, health officials confirmed Wednesday."
Lasvegasnow.com,2019-03-07T00:33:00Z,Health officials confirm active case of tuberculosis at Durango High School - KLAS-TV,Health officials have identified a confirmed case of tuberculosis at Durango High School. The school is working closely with the Southern Nevada Health District to determine which students and staff could have been significantly exposed to TB.
Vtdigger.org,2019-03-07T00:13:00Z,"Vermont child dies from flu, state officials say - vtdigger.org",
Abs-cbn.com,2019-03-06T23:29:00Z,"DOH meets half of vaccination target, but measles still booming - ABS-CBN News","The Department of Health on Thursday said it has met nearly half of its target of vaccinating 3.7 million children against measles, but cases of the highly contagious disease were still on the rise."
Kshb.com,2019-03-06T23:14:00Z,Local woman's cancer battle lands her in national spotlight - KSHB,Colorectal cancer is the third most frequently diagnosed cancer and the second leading cause of cancer death in the United States.
Sciencedaily.com,2019-03-06T22:28:09Z,"Potential new therapy for Crohn's, colitis identified: Alternative to anti-inflammatory therapies reduces IBD symptoms in mice - Science Daily",Researchers have found a compound that may treat inflammatory bowel disease without directly targeting inflammation. The compound tamps down the activity of a gene linked to blood clotting. They discovered that the gene was turned on at sites of intestinal in…
Medscape.com,2019-03-06T22:09:33Z,Longer Resident Hours Not Tied to Worse Outcomes - Medscape,"New data can put the question of resident hours to rest, experts said."
Mindbodygreen.com,2019-03-06T21:15:35Z,"This Diet Reduces Your Risk Of Death By 10 Percent, New Study Finds - mindbodygreen.com","New research has shed light on the diet that helps reduce the risk of dying from any cause, and it's never too late to start."
The New York Times,2019-03-06T21:01:50Z,A Heart-Healthy Diet May Be Good for the Brain - The New York Times,"A diet that emphasizes vegetables, fruits and whole grains and minimizes saturated fat may be good for long-term cognitive health."
Livescience.com,2019-03-06T21:00:00Z,There May Be a Link Between Depression and Stroke - Live Science,"Feeling depressed may increase the risk of stroke, at least among older adults, a new study suggests."
Mindbodygreen.com,2019-03-06T20:21:50Z,"This Is How Much Salt You Can Have A Day, According To New Report - mindbodygreen.com",Here are the high-sodium foods to avoid.
Phys.org,2019-03-06T20:17:55Z,Most microbes in hummingbird feeders do not pose health hazard - Phys.org,Many people set up hummingbird feeders in their yards to nurture and watch these high-energy pollinators. But could the sugar water they provide be impacting these tiny feathered friends?
The New York Times,2019-03-06T19:26:49Z,W.H.O. Chief Plans to Reorganize a Vast Bureaucracy - The New York Times,"A fundamental problem — tension between regional offices and the headquarters in Geneva — cannot be fixed by fiat. Still, staffers are set to move around the globe."
Fiercebiotech.com,2019-03-06T19:26:00Z,A CAR-T approach to lupus - FierceBiotech,University of Tennessee scientists have designed a CD19-targeting CAR-T for lupus and have shown encouraging results in a mouse study.
Wilx.com,2019-03-06T19:06:36Z,A low-carb diet may be bad for your heart - WILX-TV,"Study: those who ate low-carb diets were more likely to develop the heart rhythm disorder atrial fibrillation, or a-fib."
Ktla.com,2019-03-06T18:15:00Z,"Children Have Higher Risk of Autism, Depression When Mother Suffers Infection During Pregnancy: Study - KTLA Los Angeles","Children born to women who had a severe infection during pregnancy, such as sepsis, flu or pneumonia, show an increased risk of autism spectrum disorder and depression, new research finds. Yet those exposed to even a relatively minor urinary tract infection i…"
Nature.com,2019-03-06T18:01:09Z,Molecular envoys pave the way for pancreatic cancer to invade the liver - Nature.com,Pancreatic tumour cells spread to the liver with help from IL-6 protein.
Nature.com,2019-03-06T18:01:04Z,Autophagy induction via STING trafficking is a primordial function of the cGAS pathway - Nature.com,The authors report that the cGAS–STING pathway drives a form of autophagy that is independent of interferon induction and distinct from the conventional autophagy.
Nature.com,2019-03-06T18:01:04Z,Effective breast cancer combination therapy targeting BACH1 and mitochondrial metabolism - Nature.com,"The transcription factor BACH1, which targets mitochondrial metabolism, is expressed at high levels in several types of cancer; reducing its expression in tumours makes them more susceptible to treatment with mitochondrial inhibitors."
Newsmax.com,2019-03-06T15:36:00Z,Study Reveals the Factor That Most Impacts Seniors' Longevity - Newsmax,"Can you tell how long you'll live? For seniors, how fit you are may offer a clearer forecast of life span than traditional markers such as high blood pressure, high cholesterol, diabetes and smoking, a new study suggests."
Medicaldialogues.in,2019-03-06T15:20:19Z,"Regular High Energy Breakfast, TV time reduction decreases heart attack risk - Specialty Medical Dialogues",heart health
13abc.com,2019-03-06T12:48:20Z,Deaths from suicides and substance abuse hit a record high in 2017 - 13abc Action News,The number of Americans dying due to substance misuse and suicide is at an all-time high.
Kwch.com,2019-03-06T11:58:35Z,Teen tells Senate why he defied his mom to get vaccinated - KWCH,An Ohio teen defied his mother's anti-vaccine beliefs and started getting his shots when he turned 18 — and told Congress on Tuesday that it's crucial to counter fraudulent claims on social media that scare parents.
Medicalxpress.com,2019-03-06T10:51:37Z,Bedtime protein for bigger gains? Here's the scoop - Medical Xpress,"Drinking a casein shake just before overnight sleep increases gains in muscle mass and strength in response to resistance exercise. But to date, no study has directly addressed whether this effect is due to increased total protein intake only, or if a bedtime…"
Khn.org,2019-03-06T10:00:00Z,Patients Experiment With Prescription Drugs To Fight Aging - Kaiser Health News,Doctors and patients say they’re compelled to use off-label meds as research goes unfunded.
Woodtv.com,2019-03-06T09:41:00Z,FDA allows treatment of depression with club drug's cousin - WOODTV.com,A mind-altering medication related to the club drug Special K won U.S. approval Tuesday for patients with hard-to-treat depression.
Medicalxpress.com,2019-03-06T06:48:47Z,Diabetes' sworn enemy could ultimately be a valuable ally - Medical Xpress,"When people talk about diabetes, they usually also talk about insulin. Diabetes is a disease that affects millions of people around the world; insulin is a hormone that helps control this disease. Now a third term could soon be joining the conversation: gluca…"
Ksl.com,2019-03-06T03:44:29Z,"Every senior needs cognitive screening, Alzheimer's Association says - KSL.com","At first, she just forgot a name or two. Then, a few meetings on her schedule. A few months later, LuPita Gutierrez-Parker found herself struggling at work to use computer software she knew intimately."
Marketwatch.com,2019-03-06T02:30:00Z,How social-media influencers are making your kids fat - MarketWatch,"YouTube influencers can drive kids to consume unhealthy foods, according to a new study."
Localnews8.com,2019-03-06T01:54:00Z,"Signs, prevention of a stroke - LocalNews8.com","According to the Centers for Disease Control and Prevention, strokes will kill about 140,000 Americans each year. So, what exactly is a stroke?"
Sfexaminer.com,2019-03-06T00:13:00Z,First case of measles in more than five years confirmed in SF - San Francisco Examiner,"The first case of measles in San Francisco since 2013 was confirmed Tuesday by the Department of Public Health. A health advisory was sent out to doctors, clinics, and nurses »"
Kcrg.com,2019-03-05T23:57:05Z,HPV vaccination rate in Iowa below 50 percent - KCRG,"More and more Iowans are being diagnosed with cancers related to Human Papillomavirus, or HPV, according to the 2019 Cancer in Iowa report"
Healthline.com,2019-03-05T23:14:13Z,A Second Person Is in HIV Remission. What This Means for a Cure - Healthline,"The patient — who’s been named “the London patient” — received a bone marrow transplant from a donor who carried a genetic mutation that’s resistant to HIV. Now, nearly 18 months after coming off antiretroviral therapy (ARV), doctors claim that recent highly …"
Fox4kc.com,2019-03-05T22:21:00Z,Officials: Man infected with measles violated his quarantine with help from wife to get to gym - WDAF FOX4 Kansas City,
Fox News,2019-03-05T21:08:13Z,"'Broken heart' syndrome linked to brain's reaction to stress, research finds - Fox News","“Broken heart"" syndrome, a disease that causes the heart to temporarily weaken, has been linked to the brain’s reaction to stress, new research has found."
Kgun9.com,2019-03-05T20:57:00Z,Two cases of mumps confirmed in Arizona - KGUN,"Two cases of mumps have been confirmed, including one student at Hamilton High School in Phoenix, the Maricopa County Department of Public Health said Monday."
Hollywoodlife.com,2019-03-05T20:35:00Z,Al Roker's Weight Loss: 'Today' Show Star Dropped 40 lbs. Keto Diet - Hollywood Life,"Looking good, Al Roker! The ‘Today’ weatherman and co-host has slimmed down since switching to the keto diet, and claims that he’s lost forty pounds in about six months!"
Nypost.com,2019-03-05T19:36:00Z,"Record number of Americans died from alcohol, drugs and suicide in 2017 - New York Post ","More than 150,000 Americans – a record number — died due to alcohol, drugs and suicide in 2017, according to a troubling new analysis. The figure, 151,845, is more than twice as many as in 19…"
CNN,2019-03-05T18:17:00Z,"Progress on deadly staph infections slows, CDC calls for increased prevention - CNN","More than 119,000 people were diagnosed with bloodstream Staphylococcus aureus infections in the United States in 2017, and almost 20,000 died -- a significant slowing in the previously declining rates of infections with the bacteria."
