source,date,title,description
Spaceflightnow.com,2019-03-07T16:56:13Z,"SpaceX, ULA win military contracts, Air Force renames EELV program - Spaceflight Now",
Phys.org,2019-03-07T16:46:23Z,Hubble and Gaia accurately weigh the Milky Way - Phys.org,"In a striking example of multi-mission astronomy, measurements from the NASA/ESA Hubble Space Telescope and the ESA Gaia mission have been combined to improve the estimate of the mass of our home galaxy the Milky Way: 1.5 trillion solar masses."
Vox.com,2019-03-07T16:10:00Z,What would it take to destroy an asteroid? The force of 10 million atomic weapons. - Vox.com,An engineer explains what it would take to pulverize an asteroid.
Gizmodo.com,2019-03-07T16:01:00Z,The First All-Women Spacewalk Is Finally Happening - Gizmodo,"NASA astronauts Anne McClain and Christina Koch will make history on March 29 by becoming the first all-women team to perform a spacewalk, which they’ll do outside the International Space Station."
Fox News,2019-03-07T15:37:54Z,NASA captures first-ever images of intersecting shock waves from two supersonic jets - Fox News,"NASA captured a stunning, first-of-its-kind image showing the colliding shockwaves from two jets flying at supersonic speeds."
Gizmodo.com,2019-03-07T15:30:00Z,Earth's Low Orbit Needs Legal Protection Before It Becomes a Cosmic Junkyard - Gizmodo,"The area immediately above our planet where most of our satellites live might seem like an inexhaustible place, but it’s not. Low Earth orbit is quickly filling up with all sorts of junk, and the potential for a disaster has never been greater. Here’s how law…"
Phys.org,2019-03-07T15:20:29Z,"When semiconductors stick together, materials go quantum - Phys.org",A team of researchers led by the Department of Energy's Lawrence Berkeley National Laboratory (Berkeley Lab) has developed a simple method that could turn ordinary semiconducting materials into quantum machines—superthin devices marked by extraordinary electr…
The Jerusalem Post,2019-03-07T15:14:46Z,Beresheet completes another successful maneuver en route to Moon - The Jerusalem Post,SpaceIL and Israel Aerospace Industries engineers completed the maneuver at 3:11 p.m. local time.
Sci-news.com,2019-03-07T15:05:48Z,Physicists Use Seven-Qubit Quantum Computer to Simulate Scrambling inside Black Holes | Physics - Sci-News.com,"A team of physicists from the Joint Quantum Institute, the University of Maryland, the University of California Berkeley and Perimeter Institute for Theoretical Physics has implemented a test for quantum scrambling, a chaotic shuffling of the information stor…"
Phys.org,2019-03-07T15:01:39Z,Gamma ray telescopes could detect starships powered by black hole - Phys.Org,"In the course of looking for possible signs of extra-terrestrial intelligence (ETI), scientists have had to do some really outside-of-the-box thinking. Since it is a foregone conclusion that many ETIs would be older and more technologically advanced than huma…"
Phys.org,2019-03-07T14:51:26Z,Researchers turn liquid metal into a plasma - Phys.org,"Most laypersons are familiar with the three states of matter as solids, liquids, and gases. But there are other forms that exist. Plasmas, for example, are the most abundant form of matter in the universe, found throughout our solar system in the sun and othe…"
Bbc.com,2019-03-07T14:32:33Z,Treasure trove of new insects discovered on island - BBC News,"Meet Yoda, one of 103 new insect species discovered in remote forests on the island of Sulawesi."
Bbc.com,2019-03-07T14:03:33Z,Climate change: Rain melting Greenland ice sheet 'even in winter' - BBC News,The sheer volume of ice covering Greenland means its fate has global repercussions.
Ars Technica,2019-03-07T13:53:00Z,Russia's passive-aggressive reaction to SpaceX may mask a deeper truth - Ars Technica,"""Elon Musk has built the ship of the future."""
Physicsworld.com,2019-03-07T12:14:15Z,Disappointment as Japan fails to commit to hosting the International Linear Collider - physicsworld.com,"While the Japanese government says it ""expresses an interest"" in the $7.5bn International Linear Collider it does not say whether it would host the machine"
Haaretz.com,2019-03-07T11:13:00Z,"Neanderthals and early humans ate ‘fast food,’ archaeologists shocked to discover - Haaretz",***
Spaceflightnow.com,2019-03-07T10:40:16Z,Hayabusa 2's asteroid touch-and-go comes to life in dramatic new video - Spaceflight Now,
Phys.org,2019-03-07T09:07:09Z,Engineered microbe may be key to producing plastic from plants - Phys.org,"With a few genetic tweaks, a type of soil bacteria with an appetite for hydrocarbons shows promise as a biological factory for converting a renewable—but frustratingly untapped—bounty into a replacement for ubiquitous plastics."
Cnet.com,2019-03-07T04:22:20Z,"NASA teams with Google to create huge, stunning visual universe - CNET","The ""Once Upon A Try"" project celebrates the inventions of humankind and explores NASA's extensive image archives."
Cnet.com,2019-03-07T03:13:22Z,Asteroids are much harder to destroy than scientists originally thought - CNET,Armageddon worried now.
Care2.com,2019-03-07T01:34:05Z,"Balloons Are Now the Biggest Killer of Seabirds, Study Finds - Care2.com","While concerns continue to be raised about how plastic waste is affecting marine life, a new study has found that for seabirds balloons are particularly deadly."
Bbc.com,2019-03-07T01:02:28Z,Would you want to stay in a space hotel? - BBC News,Aurora Station plans to become the first hotel in space. But how likely is it we’ll be able to holiday in orbit around the Earth?
Phys.org,2019-03-07T00:00:11Z,Chances for life expand when passing stars push binaries together - Phys.org,"Planetary systems can be harsh environments in their early history. The young worlds orbit suns in stellar nurseries, clusters of stars where violent encounters are commonplace. None of this makes it easy for life to get going, but now astronomers at the Univ…"
Bgr.com,2019-03-06T23:04:00Z,One of the earliest exoplanet discoveries was just confirmed after a decade - BGR,"When it comes to searching for objects outside of our own solar system, sometimes things aren’t always as they first appear. NASA’s Kepler space telescope spent its almost-decade in spa…"
Bbc.com,2019-03-06T22:29:49Z,Nasa InSight probe: Mars 'mole' hits blockage in its burrow - BBC News,The Insight probe's efforts to drill down below the surface of Mars appear to have hit some stony obstructions.
