,source,date,title,description
0,Electrek.co,2019-03-03T19:30:00Z,Tesla is closing a first wave of stores starting today - Electrek,"Following the announcement that it is gradually taking all sales online, Tesla is now starting to close a first wave of stores today – more will follow in the coming weeks."
1,The Washington Post,2019-03-03T19:00:07Z,American Airlines apologizes for booting a mother and baby with a dry skin condition - Washington Post,A South Carolinian mother and baby didn't have a doctor's note vouching for a shared genetic skin condition. The airline kicked them off the flight.
2,Crypto Coins News,2019-03-03T17:19:27Z,Are Teslas Death Traps? Failing Brakes and Violent Fires Spark Major Fears - CCN,"Telsa faces another barrage of scrutiny over its safety.    Tesla and media outrage go hand in hand these days. It is usually because of something that Elon Musk has tweeted about the SEC, but occasionally it"
3,Reuters,2019-03-03T17:15:00Z,Wall Street weekahead: U.S. stock reign may not last over other regions - Reuters,"U.S. stock prices are outpacing those in most other regions to start 2019, but the gap is narrow and some investors are eyeing potential catalysts to tip the scales to the rest of the world."
4,Seekingalpha.com,2019-03-03T16:57:00Z,Canopy Growth's Big Brand Development Strategy - Seeking Alpha,The management team at Canopy Growth announced a major strategic move that allows the firm to partner up with Martha Stewart. This move is logical for Canopy as
5,CNN,2019-03-03T16:52:00Z,What Old Navy's spinoff says about America's cheap clothing addiction - CNN,"When Old Navy stepped onto the scene in 1994, it seemed certain to shake up retailing. And it did just that."
6,Fool.com,2019-03-03T16:34:00Z,3 Top Stocks That Are Cash Cows - Motley Fool,These three companies generate tons of free cash flow and could power your portfolio's performance for years to come.
7,Bitcoinist.com,2019-03-03T16:02:30Z,Major US Retailer Ditches Visa - Now Considering Bitcoin's Lightning Network - Bitcoinist,"US retail giant, Kroger, is no longer accepting Visa credit cards at its chain of Smith's food and drug stores. So Anthony Pompliano tweeted an offer to US retail giant, Kroger, is no longer accepting Visa credit cards at its chain of Smith's food and drug st…"
8,The New York Times,2019-03-03T14:38:47Z,"Bigger, Saltier, Heavier: Fast Food Since 1986 in 3 Simple Charts - The New York Times","Adding lighter fare like salads to the usual burgers and fries has meant more options for time-pressed diners. But the meals are largely less healthy now, a new study finds."
9,Detroitnews.com,2019-03-03T14:33:00Z,"Cutting-edge EVs, best-selling SUVS share stage at Geneva auto show - The Detroit News",Automakers roll out new electric cars and try to re-energize an industry facing serious challenges
10,The Wall Street Journal,2019-03-03T14:30:00Z,AT&T Plans to Revamp CNN’s Digital Arm - The Wall Street Journal,"John Stankey, the AT&T executive at the helm of newly-acquired WarnerMedia, is planning to revamp CNN’s digital operation, which he believes requires more investment in product development and data analytics."
11,Business Insider,2019-03-03T14:09:18Z,Harley-Davidson's electric motorcycle has a sleek new rival that has a 200-mile range and can track everything about your rides online - Business Insider,Buying an electric bike doesn't have to mean sacrificing on power any more.
12,Thedrive.com,2019-03-03T13:36:02Z,Subaru Will Recall 2.3 Million Cars Over Brake Light Switch-Induced Ignition Issue - The Drive,It looks to be the biggest Subaru recall ever.
13,Yahoo.com,2019-03-03T13:29:00Z,"Autoworker upheaval: Families split, children left behind - Yahoo Finance","Hundreds of workers at four General Motors plants slated to close this year are facing a painful choice: Take the company's offer to work at another factory — possibly hundreds of miles away — even if that means leaving behind their families, their homes and …"
14,Npr.org,2019-03-03T13:25:00Z,"Even In 2019, A Faithful Few Still Heat Their Homes With Coal - NPR","Nearly 130,000 homes in the U.S. still burn coal for heat. Despite decades of decline and concerns about climate change, companies in the coal home-heating business are optimistic about the future."
15,Reuters,2019-03-03T13:25:00Z,French tax on internet giants could yield 500 million euros per year: Le Maire - Reuters,"A three percent tax on the French revenue of large internet companies could yield 500 million euros (568.5 million pounds) per year, French Finance Minister Bruno Le Maire said on Sunday."
16,Fool.com,2019-03-03T13:02:00Z,3 Awful Reasons to Take Social Security Benefits at 62 - The Motley Fool,Not understanding how Social Security works is one of those reasons.
17,Azcentral.com,2019-03-03T13:00:00Z,10 years after stocks hit bottom: What we learned and what we still don't get - AZCentral,"The stock market hit its lowest point 10 years ago this week, on March 9, 2009, based on the Standard & Poor's 500 index."
18,Wfla.com,2019-03-03T12:46:00Z,Firm behind Miami bridge that collapsed announces bankruptcy - WFLA,The contractor that built a pedestrian bridge that collapsed and killed six people last year in Miami is filing for bankruptcy protection.
19,Forbes.com,2019-03-03T12:42:00Z,12 Reasons Not To Roll Your 401(k) Into An IRA - Forbes,An IRA rollover may be costly for many workers.
20,CNN,2019-03-03T12:42:00Z,The 10-year anniversary of the bull market is coming - CNN,The bull market is about to celebrate its tenth anniversary. Can stocks keep climbing or is the party about to end on Wall Street?
21,Reuters,2019-03-03T11:40:00Z,Porsche says it is dealing with tax investigation issues - Reuters,Volkswagen's Porsche unit on Sunday said it was cooperating with state prosecutors to clear up investigations into alleged tax debts related to early retirees and taxable benefits enjoyed by former top executives.
22,Digitaltrends.com,2019-03-03T11:30:20Z,Amazon said to be planning an all-new grocery chain separate from Whole Foods - Digital Trends,"Amazon may be about to bolster its retail presence even further, with a new report suggesting it’s planning to launch a new grocery chain separate from its Whole Foods business. The new store would offer a broader range of items at cheaper prices, and could o…"
23,Seekingalpha.com,2019-03-03T11:28:00Z,Weighing The Week Ahead: What Is Baked Into Current Market Prices? - Seeking Alpha,"The upcoming economic calendar is important, featuring employment and housing data. Progress on a US/China trade agreement might be reported. Given the YTD mark"
24,Al.com,2019-03-03T07:00:00Z,Alabama Power customers to pay $740 million after coal plant closes - AL.com,"Recent investments, including a $375 million air filtration system finished in 2015, will leave Alabama Power customers a heavy tab for a coal plant that is set to close in April."
25,Oilprice.com,2019-03-03T05:59:00Z,Rebound Rally In Oil Is Still Gaining Momentum | OilPrice.com - OilPrice.com,"The ongoing rally in oil goes to show that buyers are still in control of the markets, and the next major catalyst for crude will be the imminent trade deal between the U.S. and China"
26,Masslive.com,2019-03-03T04:18:00Z,Powerball numbers: Did you win Saturday's $348 million lottery jackpot? - MassLive.com,Here are the winning numbers in Saturday's Powerball drawing.
27,Bemidjipioneer.com,2019-03-03T04:04:59Z,Enbridge announces year delay on Line 3 completion - Bemidji Pioneer,"DULUTH — Enbridge announced on Friday, March 1, that its Line 3 pipeline project is being delayed a year.Last month, company officials said they hoped to have the line up and running by the end of 2019, but now say that won’t happen until late 2020."
28,Thetimes.co.uk,2019-03-03T00:01:00Z,Uncertainty over China's Huawei 'could delay 5G' | Business - The Times,"Uncertainty surrounding the Chinese telecoms supplier Huawei could threaten investment in the UK’s mobile phone networks, an industry body has warned. Mobile UK, which represents Vodafone, Three..."
29,Stltoday.com,2019-03-02T23:53:00Z,Gallery: 2019 Soulard Mardi Gras parade | Hot List - STLtoday.com,"The 40th anniversary of the Soulard Mardi Gras parade runs from Busch Stadium into the Soulard neighborhood on Saturday, March 2, 2019."
30,Seekingalpha.com,2019-03-02T23:04:00Z,"Trump swipes Powell, says dollar too strong - Seeking Alpha","The U.S. economy is doing well in spite of the actions of the central bank, President Trump said during a wide-ranging speech at CPAC 2019.&#34;We have a gentleman that likes raising interest rates in"
