source,date,title,description

Cnet.com,2019-03-05T17:46:00Z,Captain Marvel review: A soaring tale of self-discovery with a '90s riff - CNET,The first female-led Marvel movie subverts superhero tropes in the best possible way.
Npr.org,2019-03-05T17:19:00Z,HIV Eliminated By Bone Marrow Transplant In Cancer Patient : Shots - Health News - NPR,"British doctors report the apparent eradication of HIV from a patient who was undergoing treatment for cancer. It's only the second time this has been accomplished, despite many attempts."
Yahoo.com,2019-03-05T16:50:00Z,Papa John's founder Schnatter to exit board in settlement - Yahoo Finance,"The company said in a regulatory filing on Tuesday it would co-operate with Schnatter to find a mutually acceptable independent director who would not be affiliated with Schnatter or hedge fund investor Starboard Value LP, which owns a nearly 10 percent stake…"
USA Today,2019-03-05T16:34:00Z,Teen who vaccinated himself says anti-vaxx Mom gets misinformation from Facebook - USA TODAY,"Ethan Lindenberger, 18, says his mother often cites social media groups to refute health officials. ""That’s what they want you to think,"" she says."
Fox News,2019-03-05T16:29:05Z,Moderate Dems fume over Ocasio-Cortez 'list' threat - Fox News,"Moderate Democrats are fuming over New York Democratic Rep. Alexandria Ocasio-Cortez’s closed-door warning last week that Democrats who vote with Republicans are ""putting themselves on a list"" – a comment interpreted as a primary challenge threat."
Youtube.com,2019-03-05T16:28:50Z,GAME OF THRONES Season 8 Official Trailer #2 (2019) HBO Series HD - JoBlo Movie Trailers,"GAME OF THRONES Season 8 Official Trailer #2 (2019) HBO Series HD The final season of GAME OF THRONES premieres April 2019! CAST: Emilia Clarke, Peter Dinkla..."
CNN,2019-03-05T16:05:00Z,Corey Feldman defends Michael Jackson - CNN,"Corey Feldman, who has said he was molested as a child, has slammed the documentary alleging that Michael Jackson was a child sexual predator as ""one-sided."""
CNBC,2019-03-05T15:56:17Z,Tesla shares fall 4 percent despite China approval of Model 3 imports - CNBC,"Chinese customs authorities are allowing Tesla to import the company's Model 3 sedans into the country, after reports had said the vehicles were being held due to irregularities, Reuters reported Tuesday, citing sources familiar with the matter."
Vox.com,2019-03-05T15:50:00Z,White House responds to House oversight with statement demonizing Democrats - Vox.com,"Hey, look over there!"
USA Today,2019-03-05T15:39:00Z,Storm-battered Alabama could see more severe weather – and possible tornadoes – this weekend - USA TODAY,Authorities released the names of the 23 people killed in Sunday's tornado while forecasters warned more severe weather may be coming.
NBC News,2019-03-05T15:31:00Z,Packages with IEDs found near two London airports and rail hub - NBC News,Police were called to investigate suspicious packages near three major transport hubs in London on Tuesday: Heathrow and City airports and Waterloo rail station.
Engadget,2019-03-05T14:58:11Z,August's new battery-powered smart doorbell has a 1440p camera - Engadget,The slimline device will fit in most entryways.
Npr.org,2019-03-05T14:37:00Z,Tokyo Court Grants Bail To Former Nissan CEO Carlos Ghosn - NPR,"The executive could be freed from jail soon after a Tokyo court set his bail at nearly $9 million. Ghosn was arrested in November for alleged financial crimes, including understating his income."
Cheatsheet.com,2019-03-05T14:17:11Z,Is Ariana Grande Debuting Her Own Starbucks Drink? - The Cheat Sheet,"Like many of us Ariana Grande loves Starbucks, but is the pint-sized songstress collaborating with Starbucks for a new drink?"
Phys.org,2019-03-05T14:12:35Z,"Astronomers detect deep, long asymmetric occultation in a newly found low-mass star - Phys.org","An international team of astronomers has observed a deep, day-long asymmetric occultation in a recently detected low-mass star known as EPIC 204376071. In a research paper published February 21 on arXiv.org, the scientists detail their finding and ponder vari…"
Bleacher Report,2019-03-05T14:06:15Z,2019 NFL Mock Draft: Matt Miller's Post-Combine Predictions - Bleacher Report,"INDIANAPOLIS — For prospective  NFL  players, the scouting combine is focused on medical evaluations, interviews, on-field positional work and athletic testing..."
The Verge,2019-03-05T14:00:00Z,You can now control your Roku with an Amazon Echo - The Verge,"After announcing support for Google Assistant last fall, Roku is now doing the same for Amazon’s Alexa voice assistant. After installing the new Roku skill, you’ll be able to control the company’s streaming devices and Roku TVs with voice commands."
Youtube.com,2019-03-05T13:44:47Z,Samsung Galaxy S10 Plus review: Almost apex - Android Authority,"The Samsung Galaxy S10 is peak Samsung, but it's also peak price. Is it good enough for your money? | Read more: http://andauth.co/GalaxyS10Plus Download the..."
Cbssports.com,2019-03-05T13:34:00Z,"2019 NFL Mock Draft: Cardinals trade Josh Rosen to Redskins and take Kyler Murray, Giants grab falling QB - CBS Sports","Arizona ends up with two top-15 picks, while the Giants make a trade and get both Quinnen Williams and Drew Lock"
Fortune,2019-03-05T12:43:43Z,Understanding the Scandal That's Tarnished Justin Trudeau's Glowing Image - Fortune,The Canadian PM has lost two Cabinet members over a case involving engineering firm SNC-Lavalin — and put his re-election at risk.
CNN,2019-03-05T11:45:00Z,"A father, a charismatic leader, an entrepreneur. These are the Americans killed in the Kenya helicopter crash - CNN","Hope Forti says her husband was many things -- but most importantly, a father."
Fudzilla.com,2019-03-05T11:17:32Z,Microsoft is making a Chrome OS-like version of Windows - Fudzilla,Windows Lite Software king of the world Microsoft is writing a cut-down version of Windows for dual-screen devices and Chromebook competitors. Vole wa...
ABC News,2019-03-05T10:33:33Z,UK minister says Brexit talks yield 'positive' signals - ABC News,
Npr.org,2019-03-05T10:00:00Z,Arizona Considers Expanding Exemptions For School Vaccines : Shots - Health News - NPR,"Against the advice and pleas from doctors and medical associations, some Arizona lawmakers are pushing bills that would make it easier for parents to get exemptions for their kids from vaccinations."
Fox News,2019-03-05T08:46:38Z,Alabama man charged with capital murder after 11-year-old’s body discovered - Fox News,A suspect was charged in the strangulation death of an Alabama girl who was found dead Saturday after vanishing from her aunt’s home.
Yahoo.com,2019-03-05T07:20:41Z,Colton Underwood disappears from 'The Bachelor' [Video] - Yahoo Entertainment,"After Cassie left the show, fans finally got the moment they'd been waiting for all season: Colton jumping the gate and disappearing into the night."
The New York Times,2019-03-05T01:29:22Z,"As Tornadoes Roared Across Alabama, ‘There Wasn’t Even Time to Be Afraid’ - The New York Times","A warning, and then winds of about 170 miles per hour cut a swath of destruction across Alabama, killing at least 23 and injuring dozens of others."
Thespacereview.com,2019-03-05T01:22:43Z,Commercial crew's time approaches - The Space Review,
Awfulannouncing.com,2019-03-05T00:54:00Z,"The idea of making NFL Network a ""33rd team"" for the combine is interesting - Awful Announcing","There's apparently talk of making NFL Network a 33rd team for the combine. That might raise privacy concerns, but could boost the ratings."
NBC News,2019-03-05T00:07:11Z,Tornado victims in Alabama include the 'sweetest little boy' and a 'perfect' daughter - NBC News,"These are the victims of the two tornadoes that cut through eastern Alabama on Sunday, killing at least 23 people, including multiple children."
Cosmosmagazine.com,2019-03-04T22:01:00Z,One more time with feeling: no link found between measles vax - Cosmos,"A study of 650,000 children finds immunisation has no influence on the condition. Andrew Masterson reports."
Washingtonexaminer.com,2019-03-04T21:56:00Z,The professional wrestling Congress - Washington Examiner,"Michael Cohen came prepared to play the part the far-left needed him to play, and his hearing before the House Oversight and Reform Committee quickly devolved into a professional wrestling atmosphere."
Washingtonexaminer.com,2019-03-04T20:02:00Z,The solution for Trump's impending Senate showdown: End the national emergency - Washington Examiner,"By declaring a national emergency to build his promised wall at the southern border, President Trump has pitted his presidency against the Constitution's principles of separation of powers, legislative control of funds, and limited government among others. An…"
Nbcsports.com,2019-03-04T19:25:12Z,"Raiders make most sense for Antonio Brown, Peter King says - NBCSports.com",NBC Sports' Peter King believes the Raiders should part with one of their first-round picks
Investors.com,2019-03-04T06:33:05Z,"SpaceX Launch Succesful, Crew Dragon Capsule Docks With Space Station - Investor's Business Daily","After a successful SpaceX launch Saturday, the unmanned Crew Dragon capsule docked with the International Space Station early Sunday."
Sputniknews.com,2019-03-04T03:07:00Z,"ISS Astronauts Meet SpaceX Ship Crew After Historic Docking (PHOTO, VIDEO) - Sputnik International",The ship successfully docked in autonomous mode and the astronauts tweeted pictures with the ship’s inhabitants.
