,source,date,title,description
0,CNN,2019-03-03T19:53:00Z,Rand Paul will vote to oppose national emergency declaration - CNN,The Senate likely now has enough votes to pass a measure blocking President Donald Trump's national emergency declaration after Sen. Rand Paul signaled his support for the resolution of disapproval.
1,Abc13.com,2019-03-03T19:52:42Z,Missing 5-year-old and 8-year-old sisters found alive - KTRK-TV,"Two young sisters have been found alive after wandering away from their home and spending two cold nights in the forest, according to their mother."
2,Cnet.com,2019-03-03T19:34:00Z,Galaxy Fold vs S10: How do they compare? - CNET,"The Galaxy S10 is familiar and reliable, but the Fold is bold and exciting. So how do they really compare to one another?"
3,The Wall Street Journal,2019-03-03T19:32:00Z,"U.S., China Close In on Trade Deal - The Wall Street Journal","China and the U.S. are in the final stage of completing a trade deal, with Beijing offering to lower tariffs and other restrictions on American farm, chemical, auto and other products and Washington considering removing most, if not all, sanctions levied agai…"
4,Electrek.co,2019-03-03T19:30:00Z,Tesla is closing a first wave of stores starting today - Electrek,"Following the announcement that it is gradually taking all sales online, Tesla is now starting to close a first wave of stores today – more will follow in the coming weeks."
5,Lvms.com,2019-03-03T19:07:30Z,Pennzoil 400 Race Day Blog | News | Media - lvms.com,Live updates from the track.
6,Mmafighting.com,2019-03-03T19:00:00Z,Dana White would ‘love’ to see Thiago Santos challenge Jon Jones next - MMA Fighting,"Now that he has defended his light heavyweight title against Anthony Smith at UFC 235, Dana White thinks the Brazilian Santos could bring the very best out of Jon Jones."
7,Independent,2019-03-03T18:21:00Z,US demands to know if Pakistan used F-16 jet to shoot down Indian warplane over Kashmir - The Independent,Comes as tensions ease in disputed region of Kashmir
8,Reuters,2019-03-03T18:14:00Z,Islamic State deploys car bombs in defense of last enclave - Reuters,"Islamic State unleashed car bombs against the Syrian Democratic Forces (SDF) assaulting Baghouz, in a last-ditch effort to stave off defeat in its final patch of territory, fighters from the U.S.-backed force said on Sunday."
9,Fox News,2019-03-03T18:09:23Z,Schiff says there is 'direct evidence' of collusion between Trump campaign and Russia - Fox News,"House Intelligence Committee Chairman Adam Schiff, D-Calif., said on Sunday that he thinks a 2016 offer for dirt on Hillary Clinton by a Russian lawyer to members of the Trump campaign and the subsequent meeting is “direct evidence” of collusion on the part o…"
10,Inforum.com,2019-03-03T18:00:00Z,"A teen got vaccinated against his parents' wishes - now, he'll testify before Congress - INFORUM",Ethan Lindenberger will appear before a Senate committee devoted to preventing disease outbreaks.
11,Androidpolice.com,2019-03-03T17:55:00Z,"[Update: Sale is live, sort of] Nokia 9 PureView will drop to $600 ($100 off) on March 3 - Android Police","One of the more interesting new phones shown off at Mobile World Congress was the Nokia 9 PureView, a five-camera flagship intended to trade blows with the Pixel 3 and Galaxy S10. The entry price of $699 is a bit steep, considering it's using last year's Snap…"
12,Fox4kc.com,2019-03-03T17:48:00Z,Blood pressure medication recall expands again to include losartan - WDAF FOX4 Kansas City,"A widespread recall of common blood pressure and heart failure medications has been expanded to include more drugs containing losartan. The recall is due to an ""impurity"" that is classified as a potential human carcinogen.

The impurity, N-Nitroso-N-methyl-4…"
13,Newson6.com,2019-03-03T17:47:46Z,'The Voice' Contestant Janice Freeman Dead at 33 - News On 6,
14,Tmz.com,2019-03-03T17:29:00Z,Roseanne Barr Calls #MeToo Movement Hollywood 'Hos' with No Self-Respect - TMZ,Roseanne Barr calls #MeToo movement Hollywood 'Hos' with no self-respect.
15,Reuters,2019-03-03T17:15:00Z,Wall Street weekahead: U.S. stock reign may not last over other regions - Reuters,"U.S. stock prices are outpacing those in most other regions to start 2019, but the gap is narrow and some investors are eyeing potential catalysts to tip the scales to the rest of the world."
16,Boxofficemojo.com,2019-03-03T17:09:31Z,'How to Train Your Dragon 3' Holds off Madea's 'Family Funeral' at Box Office - Box Office Mojo,'How to Train Your Dragon 3' Holds off Madea's 'Family Funeral' at Box Office
17,Npr.org,2019-03-03T16:55:00Z,Eating Disorders Like Bulimia And Binge-Eating Affect People Of All Races : Shots - Health News - NPR,"People with eating disorders are too often portrayed as white, skinny young women. One group is trying to spread the word that eating disorders affect people of every race, gender and body size."
18,Aol.com,2019-03-03T15:56:51Z,US House panel begins probe of possible Trump obstruction - AOL,The head of the U.S. House Judiciary Committee said on Sunday the panel would seek documents from more than 60 people and entities
19,Fox News,2019-03-03T15:52:55Z,Venezuela's Guaido urges supporters to protest on Monday - Fox News,Venezuelan opposition leader Juan Guaido is calling for nationwide demonstrations on Monday to coincide with his planned return to the country.
20,Aol.com,2019-03-03T15:22:11Z,Trump on Otto Warmbier during CPAC address: 'I'm in such a horrible position' - AOL,President Trump on Saturday delivered remarks at the Conservative Political Action Conference.
21,Cosmopolitan.com,2019-03-03T15:22:00Z,"Kylie Jenner Is ""Still Devastated"" About the Whole Jordyn Woods Situation - Cosmopolitan.com",She's dealing with a lot right now...
22,Thinkprogress.org,2019-03-03T14:48:00Z,"As Ilhan Omar endures anti-Muslim racism, most lawmakers in Congress remain silent - ThinkProgress",An Islamophobic display at the West Virginia statehouse Friday has drawn little outrage from her fellow House members.
23,The Wall Street Journal,2019-03-03T14:30:00Z,AT&T Plans to Revamp CNN’s Digital Arm - The Wall Street Journal,"John Stankey, the AT&T executive at the helm of newly-acquired WarnerMedia, is planning to revamp CNN’s digital operation, which he believes requires more investment in product development and data analytics."
