,source,date,title,description
0,Inforum.com,2019-03-03T18:00:00Z,"A teen got vaccinated against his parents' wishes - now, he'll testify before Congress - INFORUM",Ethan Lindenberger will appear before a Senate committee devoted to preventing disease outbreaks.
1,Npr.org,2019-03-03T16:55:00Z,Eating Disorders Like Bulimia And Binge-Eating Affect People Of All Races : Shots - Health News - NPR,"People with eating disorders are too often portrayed as white, skinny young women. One group is trying to spread the word that eating disorders affect people of every race, gender and body size."
2,Fox News,2019-03-03T16:31:58Z,'Keto Crotch' called out as stinky side effect of popular diet - Fox News,"Sure, eating sizzling steaks or cheese-drenched eggs with a side of tender-crisp bacon may sound tasty — but how does it smell?"
3,Fox News,2019-03-03T16:20:30Z,Passenger sparks debate online after charging obese passenger $150 to sit next to him on flight - Fox News,A man has split the internet over an admission that he charged an obese plane passenger $150 for a five-hour flight because he was allegedly “taking up quite a bit” of space.
4,Menshealth.com,2019-03-03T14:00:00Z,"Pack on Muscle, Torch Calories, And Burn Fat By Using Sled Training In Your Workouts - menshealth.com","The sled just may be the best-kept secret for building muscle and burning fat, pain-free"
5,The Washington Post,2019-03-03T13:00:11Z,Unwise and unnecessary: Opioids for wisdom teeth extractions - Washington Post,Dentists are overprescribing these painkillers. Recent studies show youths are at risk of addiction.
6,Buzz.ie,2019-03-03T12:52:00Z,Ireland warned about 'zombie deer' disease that has potential to spread to humans - Buzz.ie,Ireland as been warned that a deadly 'zombie deer' disease could enter the country after cases we...
7,Popsugar.com,2019-03-03T12:45:03Z,We Asked an Expert If Intermittent Fasting Slows Down Your Metabolism — Here's What He Said - POPSUGAR,"People often generalize and oversimplify metabolism, but it's actually an extremely complex process. As a quick refresher, metabolism relates to how your body"
8,Wgntv.com,2019-03-03T12:40:00Z,Blood pressure medication recall expands again to include losartan - WGN TV Chicago,"A widespread recall of common blood pressure and heart failure medications has been expanded to include more drugs containing losartan. The recall is due to an ""impurity"" that is classified as a potential human carcinogen.

The impurity, N-Nitroso-N-methyl-4…"
9,Fox News,2019-03-03T12:10:12Z,"App stalkers, robocall defenses and more: Tech Q&A - Fox News",Is it true that all GPS systems will stop working on April 6? This is big news no one is talking about!
10,Politico,2019-03-03T12:05:00Z,State lawmakers pushing for laxer vaccine rules despite measles outbreaks - POLITICO,"'We still get messages that say these diseases are good for you,' says one Oregon lawmaker who opposes efforts to let more parents opt out."
11,Madison.com,2019-03-03T12:05:00Z,Wisconsin has highest rate of deadly falls among older adults - Madison.com,Experts cite a few possibilities: icy winters; excessive drinking; the population is older and whiter than the U.S. average; and officials here might report falls better.
12,Marketwatch.com,2019-03-03T11:47:00Z,Yale researchers have pinpointed what happy couples have in common - MarketWatch,A study looked at Cupid’s chemistry.
13,Express.co.uk,2019-03-03T11:40:00Z,High blood pressure symptoms: The one sign your headache could be linked to a high reading - Express,"HIGH blood pressure is a common condition which can lead to life-threatening health complications. Symptoms don’t always show, but some experts believe a headache is a sign. How can you tell if your headache is linked to the condition?"
14,Express.co.uk,2019-03-03T11:17:00Z,Type 2 diabetes: One food to always eat with your meals to lower your blood sugar levels - Express,TYPE 2 diabetes is a common condition in the UK which can lead to a number of serious health problems if left untreated. Avoiding certain foods and eating more of others can help lower your blood sugar levels - one food recommended by experts you eat is garli…
15,Medical News Today,2019-03-03T11:03:46Z,"The key to weight loss: 'Log often, lose more' - Medical News Today","Contrary to popular opinion, dietary self-monitoring, which is one of the most effective ways to lose weight, takes less than quarter of an hour each day."
16,Thisisinsider.com,2019-03-03T11:01:40Z,The psychological reasons why being single is good for your self-esteem and makes your future relationships stronger - INSIDER,"Being single allows you to learn what you really want and need from future relationships, and not settle for people who are wrong for you."
17,Suntimes.com,2019-03-03T11:01:06Z,Dear Abby: Pet turtle does pose a threat to new baby — and it’s not biting - Chicago Sun-Times,Someone with an undeveloped immune system — like an infant — risks infection from the bacteria carried by reptiles.
18,Ndtv.com,2019-03-03T10:25:00Z,Indian-American Teen Awarded For Invention To Improve Brain Cancer Treat - NDTV News,"Kavya Kopparapu has been conferred with the 2019 National STEM (Science, Technology, Engineering and Math) Education Award for her ground-breaking invention designed to improve treatments for glioblastoma, the deadliest form of brain cancer."
19,Apnlive.com,2019-03-03T06:10:01Z,Don't ignore heart attack symptoms while travelling - APN Live,A study presented at Acute Cardiovascular Care 20191 a European Society of Cardiology (ESC) congress reiterated the importance of not ignoring heart attack symptoms while travelling and keeping emergency numbers at hand.
20,Newvision.co.ug,2019-03-03T05:59:00Z,Dr Congo Faces Fresh Ebola Risk After Attacks On Health Centres - New Vision,"Attacks have severely hampered efforts to fight Ebola in recent days, the Congolese health ministry said this week."
21,Cbslocal.com,2019-03-03T04:19:00Z,Feds Come Down Hard On New Jersey Nursing Home Where 11 Children Died - CBS Philly,"The federal government has imposed a large fine against a New Jersey nursing home, where more than 10 children died during a virus outbreak."
22,Guacamoley.com,2019-03-03T03:55:00Z,Texas Lawmaker Gets Dragged For Saying Antibiotics Can Treat The Measles So Vaccines Are Unnecessary - Guacamoley,Texas Republicab lawmaker Bill Zedler is under fire after downplaying the seriousness of measles outbreaks in the United States.
