,source,date,title,description
0,Kotaku.com,2019-03-03T20:30:00Z,What Your Favorite Apex Legends Character Says About You - Kotaku,"Apex Legends is a game where players choose from a selection of different heroes. Each of these characters has different abilities and outfits. While you can choose a different hero each match, many players choose to main one or two characters. So what does y…"
1,Cnet.com,2019-03-03T19:34:00Z,Galaxy Fold vs S10: How do they compare? - CNET,"The Galaxy S10 is familiar and reliable, but the Fold is bold and exciting. So how do they really compare to one another?"
2,The Hill,2019-03-03T19:30:47Z,JetBlue offers free flights to people who delete their Instagram posts | TheHill - The Hill,Airline company JetBlue is offering customers a chance to fly for free for a full year if they delete all of their Instagram posts.
3,Androidpolice.com,2019-03-03T18:21:00Z,"Microsoft Band support ends May 31, some owners eligible for refunds - Android Police","Microsoft entered the health device market in 2014, with the release of the original Microsoft Band. It had a 1.4-inch color display and 10 sensors — including heart rate, gyrometer, GPS, ambient light, UV, and others. A sequel was released the following year…"
4,The Verge,2019-03-03T18:00:00Z,"The attention economy is dead, but Fortnite might hold the key to an answer - The Verge","The problem is attention doesn’t scale. There is only so much time in the day to be advertised to; ads themselves are becoming less effective, too, because they’re now everywhere. When was the last time you consumed something that wasn’t trying to sell you so…"
5,Androidpolice.com,2019-03-03T17:55:00Z,"[Update: Sale is live, sort of] Nokia 9 PureView will drop to $600 ($100 off) on March 3 - Android Police","One of the more interesting new phones shown off at Mobile World Congress was the Nokia 9 PureView, a five-camera flagship intended to trade blows with the Pixel 3 and Galaxy S10. The entry price of $699 is a bit steep, considering it's using last year's Snap…"
6,Polygon,2019-03-03T17:53:20Z,Front Mission spinoff Left Alive appears to have rough Japan launch - Polygon,"Left Alive, the survival-action shooter followup to 2010’s Front Mission Evolved, launched Feb. 28 in Japan and already is bargain binned at 44 percent off there. Players report they are no longer able to stream the game from their PlayStation 4, too."
7,Bloody-disgusting.com,2019-03-03T17:42:44Z,Thomas The Tank Engine Takes Mr. X's Place in This 'Resident Evil 2' Mod - Bloody Disgusting,"Okay, this is getting ridiculous. I say that after modders have already replaced dragons in Skyrim with Thomas, and Nergigante in Monster Hunter World. But now, in addition to having Mr. X in a thong, replacing him with Nemesis from Resident Evil 3, or giving…"
8,Altpress.com,2019-03-03T17:38:56Z,"Here's how to enable ""Dark Mode"" on Facebook Messenger - Alternative Press","Facebook Messenger is slowly rolling out its new ""Dark Mode"" for Messenger, AKA emo mode, and here's how you enable this hidden gem!"
9,Bleepingcomputer.com,2019-03-03T17:36:34Z,Windows 10 Update KB4482887 Released With Performance Fix for Spectre Bug - BleepingComputer,"Microsoft has released the Windows 10 KB4482887 cumulative update for build 1809 that includes numerous fixes including Retpoline Spectre mitigation, a fix for an annoying Action Center bug, and numerous other bug fixes."
