source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
CNN,Rand Paul will vote to oppose national emergency declaration - CNN,0,0,0,0,0.949832,0,0
Abc13.com,Missing 5-year-old and 8-year-old sisters found alive - KTRK-TV,0,0,0,0.695716,0.762356,0,0
Cnet.com,Galaxy Fold vs S10: How do they compare? - CNET,0,0,0,0,0.883404,0,0
The Wall Street Journal,"U.S., China Close In on Trade Deal - The Wall Street Journal",0,0,0,0,0,0,0
Electrek.co,Tesla is closing a first wave of stores starting today - Electrek,0,0,0,0,0,0,0
Lvms.com,Pennzoil 400 Race Day Blog | News | Media - lvms.com,0,0,0.54432,0,0,0,0
Mmafighting.com,Dana White would ‰Û÷love‰Ûª to see Thiago Santos challenge Jon Jones next - MMA Fighting,0,0,0.594745,0,0,0,0
Independent,US demands to know if Pakistan used F-16 jet to shoot down Indian warplane over Kashmir - The Independent,0,0,0,0.544188,0.842108,0,0
Reuters,Islamic State deploys car bombs in defense of last enclave - Reuters,0,0,0,0.527008,0,0,0
Fox News,Schiff says there is 'direct evidence' of collusion between Trump campaign and Russia - Fox News,0,0,0,0,0,0,0
Inforum.com,"A teen got vaccinated against his parents' wishes - now, he'll testify before Congress - INFORUM",0,0,0,0.629186,0,0,0
Androidpolice.com,"[Update: Sale is live, sort of] Nokia 9 PureView will drop to $600 ($100 off) on March 3 - Android Police",0,0,0,0,0,0,0
Fox4kc.com,Blood pressure medication recall expands again to include losartan - WDAF FOX4 Kansas City,0,0.811115,0,0,0.890188,0,0
Newson6.com,'The Voice' Contestant Janice Freeman Dead at 33 - News On 6,0,0,0,0.676496,0,0,0
Tmz.com,Roseanne Barr Calls #MeToo Movement Hollywood 'Hos' with No Self-Respect - TMZ,0,0,0.548082,0,0,0,0
Reuters,Wall Street weekahead: U.S. stock reign may not last over other regions - Reuters,0,0,0,0,0,0,0.681699
Boxofficemojo.com,'How to Train Your Dragon 3' Holds off Madea's 'Family Funeral' at Box Office - Box Office Mojo,0,0,0,0.574881,0,0,0
Npr.org,Eating Disorders Like Bulimia And Binge-Eating Affect People Of All Races : Shots - Health News - NPR,0,0,0,0,0,0,0
Aol.com,US House panel begins probe of possible Trump obstruction - AOL,0,0,0,0,0,0,0.822231
Fox News,Venezuela's Guaido urges supporters to protest on Monday - Fox News,0,0,0,0,0,0,0
Aol.com,Trump on Otto Warmbier during CPAC address: 'I'm in such a horrible position' - AOL,0,0,0,0,0,0,0
Cosmopolitan.com,"Kylie Jenner Is ""Still Devastated"" About the Whole Jordyn Woods Situation - Cosmopolitan.com",0,0,0,0.56588,0,0,0
Thinkprogress.org,"As Ilhan Omar endures anti-Muslim racism, most lawmakers in Congress remain silent - ThinkProgress",0,0,0,0,0,0,0
The Wall Street Journal,AT&T Plans to Revamp CNN‰Ûªs Digital Arm - The Wall Street Journal,0,0,0,0,0,0,0
Notebookcheck.net,The Samsung Galaxy S10+ costs just US$420 to build - Notebookcheck.net,0,0,0,0,0,0,0.75152
Independent,US police officers who fatally shot unarmed black man will not be charged - The Independent,0,0,0,0,0.635197,0,0
The Washington Post,Unwise and unnecessary: Opioids for wisdom teeth extractions - Washington Post,0,0,0.687872,0,0,0,0
Azcentral.com,10 years after stocks hit bottom: What we learned and what we still don't get - AZCentral,0,0,0,0,0.506763,0,0
Bgr.com,"Sunday‰Ûªs best deals: $8 Alexa smart plugs, $19 headphones, $15 Echo Dot rival, $79 sound bar, more - BGR",0,0,0.545884,0,0,0,0
Lex18.com,SpaceX's New Crew Capsule Acxes Space Station Docking - LEX18 Lexington KY News,0,0,0,0,0,0,0
Ktvn.com,Tensions Run High After Wolf Pack Loss - KTVN,0,0,0,0.69153,0,0,0
The Hill,Lawmakers discussed possible pardon talks with Cohen: report | TheHill - The Hill,0,0,0,0,0,0,0
Vikings.com,news Media Roundup: Highlights from Linebackers Sessions - Vikings.com,0,0,0,0,0,0,0
Independent,Ancient planet-wide water system discovered on Mars hints at past alien life - The Independent,0,0,0.517383,0,0.904038,0,0
CBS News,SpaceX launch today: SpaceX launches Crew Dragon test flight to space station - CBS News,0,0,0,0,0.801827,0,0
Associated Press,"Mars lander starts digging on red planet, hits snags - The Associated Press",0,0,0,0,0,0,0
Ex-Nissan chief Carlos Ghosn is granted bail after months in Japanese jail - CNN,0,0,0,0,0.589295,0,0,
