source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Inforum.com,"A teen got vaccinated against his parents' wishes - now, he'll testify before Congress - INFORUM",0,0,0,0.629186,0,0,0
Npr.org,Eating Disorders Like Bulimia And Binge-Eating Affect People Of All Races : Shots - Health News - NPR,0,0,0,0,0,0,0
Fox News,'Keto Crotch' called out as stinky side effect of popular diet - Fox News,0,0,0,0,0.702145,0,0
Fox News,Passenger sparks debate online after charging obese passenger $150 to sit next to him on flight - Fox News,0,0,0,0,0,0,0
Menshealth.com,"Pack on Muscle, Torch Calories, And Burn Fat By Using Sled Training In Your Workouts - menshealth.com",0,0,0,0,0.538448,0,0
The Washington Post,Unwise and unnecessary: Opioids for wisdom teeth extractions - Washington Post,0,0,0.687872,0,0,0,0
Buzz.ie,Ireland warned about 'zombie deer' disease that has potential to spread to humans - Buzz.ie,0,0,0,0,0,0,0
Popsugar.com,We Asked an Expert If Intermittent Fasting Slows Down Your Metabolism ‰ÛÓ Here's What He Said - POPSUGAR,0,0,0,0,0.506763,0,0
Wgntv.com,Blood pressure medication recall expands again to include losartan - WGN TV Chicago,0,0.784759,0,0,0.905748,0,0
Fox News,"App stalkers, robocall defenses and more: Tech Q&A - Fox News",0,0,0,0.583134,0,0,0
Politico,State lawmakers pushing for laxer vaccine rules despite measles outbreaks - POLITICO,0,0,0,0,0.8152,0,0
Madison.com,Wisconsin has highest rate of deadly falls among older adults - Madison.com,0,0,0,0,0,0,0
Marketwatch.com,Yale researchers have pinpointed what happy couples have in common - MarketWatch,0,0,0.818079,0,0,0,0
Express.co.uk,High blood pressure symptoms: The one sign your headache could be linked to a high reading - Express,0,0.777849,0,0,0.899126,0,0.615352
Express.co.uk,Type 2 diabetes: One food to always eat with your meals to lower your blood sugar levels - Express,0,0,0,0,0,0.660207,0
Medical News Today,"The key to weight loss: 'Log often, lose more' - Medical News Today",0,0,0,0.885504,0,0,0
Thisisinsider.com,The psychological reasons why being single is good for your self-esteem and makes your future relationships stronger - INSIDER,0,0,0.711429,0,0.724236,0,0
Suntimes.com,Dear Abby: Pet turtle does pose a threat to new baby ‰ÛÓ and it‰Ûªs not biting - Chicago Sun-Times,0,0,0,0,0,0,0
Ndtv.com,Indian-American Teen Awarded For Invention To Improve Brain Cancer Treat - NDTV News,0,0,0,0.570524,0,0,0
Apnlive.com,Don't ignore heart attack symptoms while travelling - APN Live,0,0.71571,0,0,0,0,0
Newvision.co.ug,Dr Congo Faces Fresh Ebola Risk After Attacks On Health Centres - New Vision,0,0.753682,0,0,0,0,0
Cbslocal.com,Feds Come Down Hard On New Jersey Nursing Home Where 11 Children Died - CBS Philly,0,0,0,0.703348,0,0,0
Guacamoley.com,Texas Lawmaker Gets Dragged For Saying Antibiotics Can Treat The Measles So Vaccines Are Unnecessary - Guacamoley,0,0,0,0,0,0,0
Gizmodo.com,UK Health Service Chief Says 'Fake News' on Social Media Contributes to Increase in Measles Cases - Gizmodo,0,0,0,0.504696,0,0,0
Kktv.com,"New, more powerful strain of flu has just hit Colorado - KKTV 11 News",0,0,0,0,0,0,0.716301
Fox News,New Texas bill would create easier path for vaccine exemptions in public schools - Fox News,0,0,0.680819,0,0,0,0
Newschannel9.com,Greater Chattanooga Rump Run for Colon Cancer Awareness happens March 9 - WTVC,0,0,0,0,0,0,0
Goodnewsnetwork.org,Bedside Bioprinter May Soon Use Burn Patients' Cells to Print Out New Skin Directly on Wounds - Good News Network,0,0,0.763485,0,0,0,0
Fortune,Why Sex-Related Infections Are Spreading Again - Fortune,0,0,0,0,0,0,0
Chicagotribune.com,"Evanston addiction counselor creates smartphone app to thwart overdoses ‰ÛÓ 'a foolproof way to stay alive,' he says - Chicago Tribune",0,0,0.680686,0,0,0,0
Newsweek,'Vaccine Hesitancy' Blamed For 'Alarming' Surge In Measles Cases - Newsweek,0,0,0,0,0,0,0
CNN,"Vaccination deniers gaining 'traction' on social media, health chief warns - CNN",0,0,0,0,0.862286,0,0
ABC News,Extra sleep on weekends may not reverse health effects of lost sleep during the week - ABC News,0,0,0,0.811134,0.765977,0,0.542747
The-star.co.ke,"Medical marijuana is safe and effective for elderly people - study - The Star, Kenya",0,0,0,0,0.931276,0,0
Thedailybeast.com,Anti-Vaxxers Are Cozying Up to the Far Right Online - The Daily Beast,0,0,0.504351,0,0,0,0
Wcvb.com,"Castle Island favorite Sullivan's opens for business, hours before snowstorm - WCVB Boston",0,0,0.684852,0,0,0,0
Boston.com,Boston health officials warn of possible measles exposure - Boston.com,0,0,0,0,0,0,0.822231
The Jerusalem Post,"NYC issues Israel travel warning, urging Orthodox Jews to vaccinate - The Jerusalem Post",0,0,0,0,0,0,0
Courier-journal.com,Official warned high-ranking Kentucky officials of raging hep A outbreak. Nobody listened. - Courier Journal,0.700695,0,0,0,0,0,0
Triblive.com,Debating how best to confront chronic wasting disease in Pennsylvania - Tarentum Valley News Dispatch,0,0,0,0,0,0,0
Sciencedaily.com,How sensitivity to emotions changes across the lifespan: Researchers gain a deeper understanding into differences in emotion processing - Science Daily,0,0,0.63202,0,0,0,0
Yahoo.com,New cancer-causing toxin found in recalled blood pressure pills - Yahoo News,0,0.71372,0,0,0.959869,0,0
CBS News,"Amid measles concerns, debate rages in Texas over vaccination requirements - CBS News",0,0,0,0,0.702145,0,0
Sciencedaily.com,High-fat diet and age alter microflora and cause inflammation in heart failure: Experiments with mice show involvement of gut bacteria and spleen in this heart pathology - Science Daily,0,0,0,0,0.560098,0,0
Lohud.com,Measles case confirmed in Westchester - The Journal News | LoHud.com,0,0,0,0,0.920855,0,0
Bbc.com,Capital - Who's making money from your DNA? - BBC News,0,0,0,0,0.724236,0,0
CBS News,"More millennials are getting plastic surgery, driven by social media and jobs - CBS News",0,0,0,0,0,0,0
News12.com,Doctors warn flu season is at its peak - News 12 Long Island,0,0,0,0,0,0,0
Gizmodo.com,New Wireless Sensors Let Premature Infants Get More Cuddles - Gizmodo,0,0,0.641983,0,0,0,0
Mindbodygreen.com,This Is What We Can Learn From The World's Healthiest Countries - mindbodygreen.com,0,0,0.90768,0,0.589295,0,0
Cbsaustin.com,Nearly 200 immigrants in Texas detention facilities have mumps - KEYE TV CBS Austin,0,0,0,0,0,0,0.716301
Gizmodo.com,Time Now for Some Gnarly Photos of Spiders Eating Other Animals - Gizmodo,0,0,0,0,0,0,0.75152
Futurism.com,DNA Ancestry Startups Have a New Target Market: The Long-Dead - Futurism,0,0,0,0,0,0,0
Medicalxpress.com,Researchers discover clues to brain differences between males and females - Medical Xpress,0,0,0,0,0.842108,0,0
Boingboing.net,"FDA warns against robotic surgery for breast cancer, cervical cancer, & other women's cancers - Boing Boing",0,0,0,0.595035,0,0,0
Healthline.com,Why Queen Latifah Is Urging Women to ‰ÛÏTake Control‰Ûù of Their Health - Healthline,0,0,0.598966,0,0,0,0
Forward.com,De Blasio Urges Orthodox To Vaccinate For Measles - Forward,0,0,0,0,0,0,0
Brownsvilleherald.com,County concludes food poisoning investigation - Brownsville Herald,0,0,0,0,0.93884,0,0
CBC News,"ADHD is the most common mental health disorder in kids but can 'ravage' adult life, says reporter - CBC.ca",0,0.545038,0,0,0,0,0
Mit.edu,Spider silk could be used as robotic muscle - MIT News,0,0.655819,0,0,0,0,0.822231
Inverse.com,Vaping Health: New Study Links E-Cigarette Smoking to Wheezing - Inverse,0,0,0.526223,0,0.687768,0,0
Sciencemag.org,NIH letters asking about undisclosed foreign ties rattle U.S. universities - Science Magazine,0,0,0,0,0,0,0
The New York Times,"Theodore Bayless, Pathbreaker on Dairy Intolerance, Dies at 87 - The New York Times",0,0,0,0.723976,0,0,0
Fox News,Flu at Illinois middle school causes hundreds of students to call out sick: report - Fox News,0,0,0,0,0,0,0
Fox News,"Baby in Ohio beats rare, aggressive cancer - Fox News",0,0,0,0,0,0,0
Wellandgood.com,"Here‰Ûªs how to eat at Olive Garden on keto, Whole30, or the Mediterranean diet - Well+Good",0,0,0.798962,0,0,0,0.615352
6abc.com,Temple University on alert after students test positive for mumps - WPVI-TV,0,0,0.534308,0,0,0.825035,0
Capitolfax.com,Your Illinois News Radar åÈ Vaccinate your kids! - The Capitol Fax Blog,0,0,0,0,0,0,0
CNN,Newly discovered Alzheimer's genes further hope for future treatments - CNN,0,0,0,0,0.882284,0,0.822231
Fox2detroit.com,"Jessica Starr's husband opens up about her suicide, eye surgery complications - Fox 2 Detroit",0,0,0,0.705367,0,0,0
The Hill,Texas lawmaker says he‰Ûªs not concerned about measles outbreak because of antibiotics | TheHill - The Hill,0,0,0,0,0.904038,0,0
Morningchalkup.com,CrossFit Open 19.2 Workout Description and Strategies - Morning Chalk Up,0,0,0.633956,0,0,0,0
Bbc.com,Should you go vegan for the sake of your gut? - BBC News,0,0,0,0,0,0,0
CNN,"Measles cases at 'alarmingly' high levels around the world, UNICEF says - CNN",0,0,0,0,0,0,0.75152
Nypost.com,Single yeshiva accounted for 21 new measles cases this month - New York Post ,0,0,0,0,0,0,0
Daily Mail,Medical marijuana is safe and effective for elderly people - Daily Mail,0,0,0,0,0.932977,0,0
Capitolfax.com,Your Illinois News Radar åÈ Vaccinate your kids! - The Capitol Fax Blog,0,0,0,0,0,0,0
Axios,"World Health Organization ""deeply concerned"" over attacks on Ebola clinics - Axios",0,0.789797,0,0,0,0,0
Consumerreports.org,Catching Up on Sleep on the Weekend Doesn't Work - ConsumerReports.org,0,0,0,0.617873,0,0,0
Wsfa.com,Alabama health officials warn against using CBD products - WSFA,0,0,0,0,0.901894,0,0
The New York Times,"States Consider Longer School Recess, and the Adults Aren‰Ûªt Complaining - The New York Times",0,0,0,0,0.560098,0,0
Fox News,Ohio mom diagnosed with colon cancer 6 months after giving birth - Fox News,0,0,0,0.741986,0,0,0
The Verge,How measles snuck into California despite strict vaccine legislation - The Verge,0,0,0,0,0.653099,0,0
Marketwatch.com,Here‰Ûªs the science behind the secret of a good marriage - MarketWatch,0,0,0.869798,0,0,0,0
The New York Times,How the Icefish Got Its Transparent Blood and See-Through Skull - The New York Times,0,0,0,0,0,0,0
NBC News,"Nursing home leadership faulted for adenovirus outbreak that killed 11 children, federal report says - NBC News",0,0,0,0,0.506763,0,0
Bloomberg,Why Sex-Related Infections Are Spreading Again: QuickTake - Bloomberg,0,0,0,0,0,0,0
Channel3000.com,"After near decapitation in trying to seek shelter from cold, Henry the kitty needs your help - Channel3000.com - WISC-TV3",0,0,0,0.521882,0,0,0
Fox News,Doctors on Facebook face harassment from anti-vaxxers - Fox News,0,0,0,0,0,0,0
NBC News,"Buttock implants linked to deadly cancer for the first time, study finds - NBCNews.com",0,0,0,0.533514,0.801827,0,0
Nih.gov,Data sharing uncovers five new risk genes for Alzheimer's disease - National Institutes of Health,0,0,0.502369,0,0,0,0
Abc11.com,"Health department confirms 98 flu deaths in North Carolina so far in the 2018-19 season, including a 5-17 year old - WTVD-TV",0,0,0,0,0.85365,0,0
Wsbtv.com,Active tuberculosis cases confirmed in two Floyd County elementary schools - WSB Atlanta,0,0,0,0,0.842108,0,0
Fox News,Rare 'semi-identical' twins discovered during Australian woman's pregnancy - Fox News,0,0,0,0,0.85365,0,0
Nypost.com,Florida woman bitten by stray kitten billed by hospital for $48G: ‰Û÷My funeral would have been cheaper‰Ûª - New York Post ,0,0,0,0.518346,0,0,0
