source,date,title,description
Dallascowboys.com,2019-03-01T00:43:56Z,Broaddus: Learning The New Rules Of The Draft - DallasCowboys.com,This is my 27th NFL Combine. I have seen it go from the old Hoosier Dome to the RCA Dome now to Lucas Oil Stadium.
6abc.com,2019-03-01T00:03:00Z,Winners and losers from Harper's $330 million Phillies deal - WPVI-TV,"Who gets the most out of the slugger's huge contract, and who should start saving for World Series tickets first -- fans in Philly or Manny Machado's new backers?"
Mmafighting.com,2019-02-28T23:35:58Z,"Anthony Smith: Jon Jones has â€˜used PEDs,â€™ but heâ€™s now a clean athlete - MMA Fighting",Anthony Smith says he doesnâ€™t want to make the same mistake that he believes Daniel Cormier and Alexander Gustafsson made before fighting Jon Jones.
Chelseafc.com,2019-02-28T23:15:30Z,Former Blues Scott Parker and Damien Duff back in the spotlight | Official Site - Chelsea FC,"When we line up against Fulham on Sunday, former Chelsea midfielder Scott Parker will be in the opposition dugout as caretaker manager, and he isnâ€™t the only member of our first Premier League-winning side taking some big steps in his coaching career."
Boxingscene.com,2019-02-28T22:10:15Z,Hearn: Jacobs Won't Make Mistakes Fielding Did With Canelo - BoxingScene.com,"Daniel Jacobs can succeed where Rocky Fielding fell short by making use of his size advantage against Saul 'Canelo' Alvarez, according to Eddie Hearn. IBF champion Jacobs takes on Alvarez - who holds the WBA and WBC belts - in a mouth-watering middleweight unâ€_"
USA Today,2019-02-28T21:44:00Z,"Johnny Manziel offered workout by AAF following ban from CFL, league chairman says - USA TODAY","As he looks for his next opportunity in football, Johnny Manziel has the chance to work out for AAF teams after being barred from the CFL."
Nba.com,2019-02-28T21:32:19Z,Marvin Bagley III Medical Update | Sacramento Kings - Kings.com,An MRI conducted this morning on Kings forward Marvin Bagley III revealed a left knee sprain. He will be reevaluated in approximately 1-2 weeks.The sprain occurred during waning moments of third quarter play yesterday evening as Sacramento hosted the Milwaukeâ€_
CNN,2019-02-28T20:34:00Z,Pop Warner football bans traditional three-point stance - CNN,"In a first for any national football organization, the Pop Warner youth league announced Thursday that it will ban the traditional three-point stance."
Youtube.com,2019-02-28T20:33:59Z,02/27/19 Condensed Game: Blackhawks @ Ducks - NHL,"Extended highlights of the Chicago Blackhawks at the Anaheim Ducks For the latest, exclusive hockey action, subscribe to our channel by clicking the big, red..."
Manchestereveningnews.co.uk,2019-02-28T19:59:00Z,How Manchester United fans reacted to Diogo Dalot's performance on right wing vs Crystal Palace - Manchester Evening News,Man Utd's young full-back Diogo Dalot was deployed out of position against Roy Hodgson's men as the visitors cruised to a 3-1 victory.
