source,date,title,description
Snopes.com,2019-03-07T17:34:38Z,"After DC Rally, Kentucky Could Make 'Doxing' Minors a Crime - Snopes.com","“There are no brakes on Twitter,” said Todd McMurtry, an attorney for 16-year-old Nick Sandmann, whose interaction with Native American protester Nathan Phillips went viral in January."
The Wall Street Journal,2019-03-07T17:34:00Z,Kroger Shares Fall as Online Investments Dent Profit - The Wall Street Journal,"The supermarket chain reported lower revenue and profit as it struggles in a more competitive grocery market, sending shares lower."
The Verge,2019-03-07T17:21:28Z,The messy details behind Facebook’s messaging plans - The Verge,"On Wednesday, Mark Zuckerberg described his plan to bring together Facebook Messenger, Instagram and Whatsapp into a single messaging platform, integrated with protocols like SMS."
Abc11.com,2019-03-07T17:01:19Z,"Chris Watts: Prison interview audio reveals chilling new details about how he killed wife, daughters - WTVD-TV","New audio tapes were released Thursday, revealing what Chris Watts told investigators behind bars about the murders of his wife and two young daughters in August of last year."
Cnet.com,2019-03-07T17:01:00Z,AirPods vs. Galaxy Buds: The best wireless earbuds are... - CNET,"We tested out Samsung's new wireless headphones against the AirPods to find out which ones have the best sound, most comfortable fit and best features."
Youtube.com,2019-03-07T17:00:03Z,LeBron surpassing Jordan in points cements him as one of the greatest ever - Stephen A. | First Take - ESPN,"Stephen A. Smith, Jalen Rose and Max Kellerman of First Take share the significance of LeBron James passing Michael Jordan into fourth place on the NBA's all..."
Buzzfeednews.com,2019-03-07T16:57:00Z,The Two Women Living With R. Kelly Said They Love Him And Accused Their Parents Of Blackmailing The Singer - BuzzFeed News,"Azriel Clary and Jocelyn Savage defended R. Kelly in an interview with Gayle King and said their parents were liars who were trying to ""scam"" the singer."
Eonline.com,2019-03-07T16:41:00Z,Jason Priestley Pays Tribute to 90210 Co-Star Luke Perry - E! NEWS,The actors were longtime co-stars on the famed Fox series.
Fox News,2019-03-07T16:40:11Z,Ilhan Omar's experience 'more personal' than Jews whose parents survived the Holocaust: Dem congressman - Fox News,"Congressman James Clyburn, D-S.C., outrageously defended freshman Rep. Ilhan Omar, D-Minn., Wednesday saying her experience was ""more personal"" than Jews whose parents survived the Holocaust."
CNBC,2019-03-07T16:30:17Z,"Tesla's Elon Musk could be suspended as CEO in latest SEC scuffle, securities lawyers say - CNBC","Securities lawyers, some of whom worked at the SEC, said Elon Musk's tweets about Tesla production look like a clear violation of his agreement with the agency, and that he could face a suspension or further consequences."
NBC News,2019-03-07T16:18:00Z,"Paul Manafort, Trump's onetime campaign chairman, to be sentenced on fraud charges - NBC News","Paul Manafort, the longtime political operative who steered President Donald Trump's presidential campaign during its early days, is expected to be sentenced Thursday in Virginia federal court on tax and bank fraud charges."
Toucharcade.com,2019-03-07T16:15:00Z,"SwitchArcade Round-Up: Nintendo Goes VR with 'Nintendo Labo VR Kit', Another Batch of Williams Pinball Tables is Coming Soon, Today's New Releases, the Latest Sales Information, and More - Touch Arcade","Hello gentle readers, and welcome to the SwitchArcade Round-Up for March 7th, 2019. It's suspiciously quiet for a Thursday, perhaps the slowest of the year thus far. Nevertheless, there are still several new releases to look at. We've also got some news about…"
Ajc.com,2019-03-07T16:10:03Z,Georgia lawmakers clash in a high-stakes debate over abortion - Atlanta Journal Constitution,Pay attention to an uncertain debate to be settled tonight in the House: the fight over abortion leg...
Al Jazeera English,2019-03-07T16:03:00Z,EU rebukes Saudi Arabia over human rights at UN forum - Aljazeera.com,Statement calls on Saudi to release held activists and cooperate with UN-led probe into murder of Jamal Khashoggi.
Gizmodo.com,2019-03-07T16:01:00Z,The First All-Women Spacewalk Is Finally Happening - Gizmodo,"NASA astronauts Anne McClain and Christina Koch will make history on March 29 by becoming the first all-women team to perform a spacewalk, which they’ll do outside the International Space Station."
Fox News,2019-03-07T15:37:54Z,NASA captures first-ever images of intersecting shock waves from two supersonic jets - Fox News,"NASA captured a stunning, first-of-its-kind image showing the colliding shockwaves from two jets flying at supersonic speeds."
Npr.org,2019-03-07T14:55:00Z,"French Cardinal Covered Up Pedophile Accusations Against Priest, Court Says - NPR",Cardinal Philippe Barbarin — one of France's most prominent Catholic officials — says he will offer his resignation to Pope Francis in a few days.
Kitco.com,2019-03-07T14:53:00Z,Gold Weighed Down As ECB Loosens Monetary Policy To Combat Uncertainty - Kitco News,(Kitco News) - Gold prices remain under pressure following dovish comments from European Central Bank President Mario Draghi after the central bank loosened its monetary policy Thursday to protect the region’s economy from pervasive uncertainty.
Washingtonexaminer.com,2019-03-07T14:35:00Z,Michael Cohen can't wait for prison so he's rejecting pardons he was never offered - Washington Examiner,That Michael Cohen is proudly declaring he doesn’t want a pardon from federal prison time doesn’t make him the hero he thinks it does.
Mspoweruser.com,2019-03-07T14:00:00Z,Google urges users to download and install the latest Chrome update ASAP - MSPoweruser,"Google has urged all its users to immediately update to the latest version of Google Chrome after a critical vulnerability was discovered. The vulnerability exploits CVE-2019-5786, a security flaw and the only patch included in the Chrome 72.0.3626.121 versio…"
Ars Technica,2019-03-07T13:53:00Z,Russia's passive-aggressive reaction to SpaceX may mask a deeper truth - Ars Technica,"""Elon Musk has built the ship of the future."""
Cosmopolitan.com,2019-03-07T13:45:00Z,"There's a Chance Kylie Jenner Will Forgive Jordyn Woods, But It Depends on ONE Thing - Cosmopolitan.com",I'M LISTENING.
Wptv.com,2019-03-07T13:24:00Z,Raja guilty of manslaughter and attempted first-degree murder - WPTV.com,Raja is the fired Palm Beach Gardens police officer charged with killing a stranded black driver.
Msf.org,2019-03-07T12:11:15Z,Ebola response failing to gain the upper hand on the epidemic | Democratic Republic of Congo - Médecins Sans Frontières (MSF) International,"MSF International President Dr Joanne Liu highlights contradictions, shortcomings and the need to restore patients’ and communities’ faith in the response to the largest ever Ebola outbreak in the Democratic Republic of Congo."
Reuters,2019-03-07T09:53:00Z,"Far-rightists cleared for Israel election, Arab party blocked - Reuters",Israel's election board has approved far-right Jewish candidates accused by rivals of racism for next month's election while disqualifying an Arab party that Prime Minister Benjamin Netanyahu said supported terrorism.
Dexerto.com,2019-03-07T09:52:44Z,"Apex Legends balance update patch notes - Wingman and Peacekeeper nerfs, Hitbox updates, Season 1 news - Dexerto.com",The full patch notes for the March 6 Apex Legends update have been released.
CNN,2019-03-07T09:33:00Z,"Anti-vaxers' adult son gets measles; now, he has this message for the world - CNN",Josh Nerius is something of a unicorn: a living adult who experienced measles recently and can describe what it feels like.
Micechat.com,2019-03-07T05:08:00Z,Disneyland Resort Update: The Calm Before The Storm - MiceChat,
Yahoo.com,2019-03-07T04:27:00Z,Charles Barkley: Kyrie Irving is 'one of the most miserable people I’ve ever seen' - Yahoo Sports,"Charles Barkley chastised Kyrie Irving for being ""miserable"" during a discussion about mental health."
Fox17.com,2019-03-07T03:57:26Z,State shells out $400000 to Tenn. Department of Health on vaccine promotions - WZTV,Tennessee is trying a new approach to get parents to vaccinate their children. The Tennessee Department of Health is stepping up its game with a PR campaign to convince parents concerned about side effects and autism. The CDC reports that there have been more…
CBS News,2019-03-07T01:28:00Z,U.S. journalist Cody Weddle working in Venezuela for WPLG-TV detained then freed hours later - CBS News,ABC affiliate WPLG-TV reporter Cody Weddle was seen leaving from his residence with five men wearing black uniforms early Wednesday
The Washington Post,2019-03-07T01:22:39Z,Health-care providers say CDC’s opioid guidelines are harming pain patients - Washington Post,"In a letter to the government health agency, more than 300 caregivers contend that people in chronic pain are being denied the medication they need."
Iheart.com,2019-03-06T22:42:19Z,Charley Casserly Explains His Harsh Report on Kyler Murray - Fox Sports Radio,Listen to Charley Casserly comment on his viral reports of Kyler Murray supposedly receiving some of the worst interview grades he's ever seen.
Sciencemag.org,2019-03-06T22:23:19Z,"Rain is melting Greenland's ice, even in winter, raising fears about sea level rise - Science Magazine","Earth’s warming climate is causing clouds to drop rain instead of snow, study says"
Washingtonexaminer.com,2019-03-06T20:37:00Z,"On North Korea, Trump needs to go back to the drawing board - Washington Examiner","In the days since President Trump and North Korean leader Kim Jong Un ended their talks in Hanoi, Vietnam, the after-action reports and commentary have fallen back on the lack of a nuclear agreement between Washington and Pyongyang. Trump administration offic…"
Golfchannel.com,2019-03-06T15:03:00Z,McIlroy inspired to keep chasing Grand Slam by ... Honest Abe? - Golf Channel,"As he gets set for another shot at rounding out the career Grand Slam, Rory McIlroy is seeking inspiration from any source he can find – even if it means delving into the U.S. history books."
