source,date,title,description
Komonews.com,2019-03-06T20:35:00Z,"Infection while pregnant increases child's risk for autism, depression, UW study says - KOMO News","SEATTLE -- A study led by University of Washington researchers found that children whose mothers were hospitalized with any kind of infection during pregnancy had a 79 percent higher risk for autism and a 24 percent higher risk of depression later in life, ac…"
Komonews.com,2019-03-06T18:47:00Z,Clark County health officials investigate three new suspected measles cases - KOMO News,"VANCOUVER, Wash. &ndash; Clark County health officials are investigating three new suspected measles cases Wednesday. They have not confirmed any new cases, which means the number of confirmed cases connected to the outbreak remains at 70. Officials have not …"
Dailywire.com,2019-03-06T18:21:00Z,British Man Claims New Lease On Life From Adding This To His Diet - The Daily Wire,A British interior designer boasts that an addition to his diet has him feeling like a new man: fermenting and then drinking his own urine.
Huffpost.com,2019-03-06T17:44:00Z,Man Charged After Allegedly Breaking Measles Quarantine To Go To Gym - HuffPost,"The Wisconsin man allegedly said he was ""going crazy"" after several days in his house. It's not clear whether he was infected or just recently exposed."
USA Today,2019-03-06T17:43:00Z,'It saved my life': Relative of party drug 'Special K' could revolutionize depression treatment - USA TODAY,A new depression medication related to the party drug Special K could revolutionize treatment of the condition affecting 16 million Americans.
Futurism.com,2019-03-06T16:58:09Z,A Third Patient Is Now Reportedly Cured of HIV - Futurism,And a fourth and fifth might be following soon behind.
Independent,2019-03-06T16:58:00Z,"Low-carb diets could increase risk of heart rhythm disorders, research suggests - The Independent",'Considering the potential influence on arrhythmia... this popular weight control method should be recommended cautiously'
Medicalxpress.com,2019-03-06T16:45:17Z,Study: Mediterranean diet boosts endurance exercise within days - Medical Xpress,Researchers at Saint Louis University have found that eating a Mediterranean diet can improve athletes' endurance exercise performance after just four days.
The Washington Post,2019-03-06T16:27:20Z,"Dog-walking can be hazardous for seniors, study suggests - Washington Post","Reports of fractures among dog-walkers 65 and older more than doubled over a 13-year period, researchers found."
Daily Mail,2019-03-06T16:21:00Z,Patients taking statins face a higher risk of type 2 diabetes - Daily Mail,Roughly six million people in Britain are thought to take statins and it is estimated that up to 30million people take the pills in the US.
Womenshealthmag.com,2019-03-06T15:36:00Z,"Elly Mayday, Body Positive Model, Dies At 30 From Ovarian Cancer - Women's Health",Her Instagram is truly heartbreaking.
Medical News Today,2019-03-06T15:01:36Z,Can supplements help keep depression at bay? - Medical News Today,A new randomized clinical trial investigates whether different dietary interventions could help overweight people and people with obesity avoid depression.
Daily Mail,2019-03-06T14:14:00Z,Eat a 400-calorie breakfast ‘may stop plaque from building up in your arteries’ - Daily Mail,"Researchers at Kapodistrian University of Athens, assessed nearly 2,000 people - with average age of 63 - from Corinthia, Greece, for the data."
The Washington Post,2019-03-06T14:02:28Z,"Long overlooked by science, pregnancy is finally getting attention it deserves - Washington Post","Pregnancy is essential to the future of humanity, and it’s way too mysterious."
News5cleveland.com,2019-03-06T13:38:00Z,'Zombie-like' raccoons reported in Northeast Ohio could put your beloved pets at risk - News 5 Cleveland,Raccoons with canine distemper have recently been reported in Northeast Ohio could put your pets at risk.
Ksat.com,2019-03-06T13:00:44Z,First measles case confirmed in San Antonio - KSAT 12,"San Antonio has its first confirmed case of the measles, a spokesperson for University Health System said Wednesday."
Axios,2019-03-06T13:00:00Z,"Deaths by suicide, drugs and alcohol reached an all-time high last year - Axios",The three epidemics are on track to kill 1.6 million Americans by 2025.
Iflscience.com,2019-03-06T12:55:00Z,A Good Night's Sleep Helps Your Brain Fix Damaged DNA - IFLScience,"It seems strange that animals, us included, spend so much time vulnerably curled up with their eyes shut, totally unaware of our surroundings. While we mig"
Newser.com,2019-03-06T12:21:00Z,Nasal Spray Derived From Party Drug Approved for Depression - Newser,"Esketamine, for treatment-resistant depression, to be administered by experts"
Theconversation.com,2019-03-06T11:39:00Z,How to distinguish a psychopath from a 'shy-chopath' - The Conversation - US,"Psychologists are debating whether the presence of one trait – boldness – is the key to determining if someone is a psychopath, or just a garden-variety criminal."
Khn.org,2019-03-06T10:00:00Z,Patients Experiment With Prescription Drugs To Fight Aging - Kaiser Health News,Doctors and patients say they’re compelled to use off-label meds as research goes unfunded.
Fox News,2019-03-06T06:36:54Z,"'Broken heart' syndrome linked to brain's reaction to stress, research finds - Fox News","“Broken heart"" syndrome, a disease that causes the heart to temporarily weaken, has been linked to the brain’s reaction to stress, new research has found."
Nbcmontana.com,2019-03-06T06:11:51Z,Flu case numbers continue to rise in Montana - NBC Montana,"Flu season isn&rsquo;t over, and according to the most recent data from the Montana Department of Health and Human Services, cases are on the rise. DPHHS reported 1,756 new cases of the flu from Feb. 17-23; 194 of them were in Flathead County. That brings the…"
Wpsdlocal6.com,2019-03-06T04:59:10Z,Blood pressure medication recall expands yet again - WPSD Local 6,A widespread recall of common blood pressure and heart failure medications has been expanded to include more drugs containing losartan.
Ksl.com,2019-03-06T03:44:29Z,"Every senior needs cognitive screening, Alzheimer's Association says - KSL.com","At first, she just forgot a name or two. Then, a few meetings on her schedule. A few months later, LuPita Gutierrez-Parker found herself struggling at work to use computer software she knew intimately."
Mysanantonio.com,2019-03-06T02:25:43Z,Measles case diagnosed in San Antonio - mySA,The confirmed case comes amid reports of the highly contagious disease in the Houston area and 11 states.
