source,date,title,description
Espn.com,2019-03-06T20:53:23Z,Royals' Perez undergoes successful TJ surgery - ESPN,"Salvador Perez, who had 27 homers and drove in 80 runs while providing a solid and calming presence behind the plate for the Royals, underwent reconstructive surgery on his right elbow."
Espn.com,2019-03-06T20:39:22Z,McIlroy -- History makes Grand Slam difficult - ESPN,Rory McIlroy can complete the career Grand Slam with a win at next month's Masters Tournament.
Packers.com,2019-03-06T19:58:59Z,FB John Kuhn retires as a Packer - Packers.com,Kuhn played nine seasons in Green Bay
Sbnation.com,2019-03-06T19:56:10Z,Jill Ellis’ USWNT is still a mess heading towards the World Cup - SB Nation,The USWNT is barreling towards the World Cup with no idea what it should look like. It’s concerning ... and yet they can still win it all.
Profootballfocus.com,2019-03-06T19:44:12Z,Landon Collins is the best off-ball linebacker entering free agency | NFL Analysis - Pro Football Focus,"Senior Analyst Mike Renner takes a look at free agent safety Landon Collins, and his potential that can be tapped by his next team."
Bleedinggreennation.com,2019-03-06T19:37:43Z,Eagles cap space update: Philadelpha has freed up over $19 million so far this week - Bleeding Green Nation,It’s Howie season.
Yahoo.com,2019-03-06T19:30:00Z,"Jamie Collins, who the Patriots traded to the Browns, cut by Cleveland - Yahoo Sports","The Browns acquired linebacker Jamie Collins in a 2016 midseason trade with New England, and cut him Wednesday."
Cbssports.com,2019-03-06T19:28:00Z,Raiders deal to stay in Oakland could apparently fall apart over one 'significant' issue - CBS Sports,The Raiders might need to find another city to play in for the 2019 season
Bleacher Report,2019-03-06T19:22:12Z,Russell Westbrook to KAT: 'Get to the F--king Playoffs' Before Speaking to Me - Bleacher Report,Russell Westbrook  unsuccessfully attempted to get under the skin of Karl-Anthony Towns and Dario Saric during the Oklahoma City Thunder's 131-120 loss to the Minnesota Timberwolves on Tuesday night...
Triblive.com,2019-03-06T19:18:02Z,Rickie Fowler paying tribute to Arnold Palmer at Bay Hill - Tarentum Valley News Dispatch,"PGA Tour player Rickie Fowler once again will personally honor the late, great Arnold Palmer this week at The King’s signature event, the Arnold Palmer Invitational at Bay Hill Club and Lodge in Orlando, Fla. Fowler will team with his sponsor, Puma, and the A…"
