username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
The Washington Post,American Airlines apologizes for booting a mother and baby with a dry skin condition - Washington Post,0,0,0,0,0,0,0
Crypto Coins News,Are Teslas Death Traps? Failing Brakes and Violent Fires Spark Major Fears - CCN,0,0.830633,0,0,0.77494,0,0
Seekingalpha.com,Canopy Growth's Big Brand Development Strategy - Seeking Alpha,0,0,0.525583,0,0,0,0
CNN,What Old Navy's spinoff says about America's cheap clothing addiction - CNN,0,0,0,0.534075,0,0,0
Cointelegraph.com,"Scammers, Satoshi and Tesla Miners: Elon Musk‰Ûªs Complex Relationship With Crypto - Cointelegraph",0,0,0,0,0.842108,0,0
Bitcoinist.com,Major US Retailer Ditches Visa - Now Considering Bitcoin's Lightning Network - Bitcoinist,0,0,0,0,0.653099,0,0
The Wall Street Journal,Why Chinese Shares Rebounded: News That‰Ûªs Less Bad Than Expected - The Wall Street Journal,0,0,0,0.508003,0.560098,0,0
The New York Times,"Bigger, Saltier, Heavier: Fast Food Since 1986 in 3 Simple Charts - The New York Times",0,0,0.554121,0,0,0,0
The Wall Street Journal,AT&T Plans to Revamp CNN‰Ûªs Digital Arm - The Wall Street Journal,0,0,0,0,0,0,0
Business Insider,Harley-Davidson's electric motorcycle has a sleek new rival that has a 200-mile range and can track everything about your rides online - Business Insider,0,0,0.525307,0,0,0,0
Thedrive.com,Subaru Will Recall 2.3 Million Cars Over Brake Light Switch-Induced Ignition Issue - The Drive,0,0,0,0,0.882284,0,0
Npr.org,"Even In 2019, A Faithful Few Still Heat Their Homes With Coal - NPR",0,0,0,0,0,0,0
Reuters,French tax on internet giants could yield 500 million euros per year: Le Maire - Reuters,0,0,0,0,0.532616,0,0.647986
Wane.com,"Autoworker upheaval: Families split, children left behind - WANE",0,0,0,0,0,0,0
Motor1.com,"Ford Taurus, Chevrolet Cruze Officially End Production - Motor1.com",0,0,0,0,0.724236,0,0
Fool.com,3 Awful Reasons to Take Social Security Benefits at 62 - The Motley Fool,0,0,0,0,0.589295,0,0
Azcentral.com,10 years after stocks hit bottom: What we learned and what we still don't get - AZCentral,0,0,0,0,0.506763,0,0
Wfla.com,Firm behind Miami bridge that collapsed announces bankruptcy - WFLA,0,0,0,0,0,0.874372,0
CNN,The 10-year anniversary of the bull market is coming - CNN,0,0,0,0,0,0,0
Reuters,Porsche says it is dealing with tax investigation issues - Reuters,0,0,0,0,0,0,0
Digitaltrends.com,Amazon said to be planning an all-new grocery chain separate from Whole Foods - Digital Trends,0,0,0,0,0,0,0
Seekingalpha.com,Weighing The Week Ahead: What Is Baked Into Current Market Prices? - Seeking Alpha,0,0,0,0,0,0,0
Business Insider,Carpocalypse now: Lyft's founders are right ‰ÛÓ we're in the endgame for cars - Business Insider,0,0,0,0,0,0,0
Al.com,Alabama Power customers to pay $740 million after coal plant closes - AL.com,0,0,0,0,0,0,0
Oilprice.com,Rebound Rally In Oil Is Still Gaining Momentum | OilPrice.com - OilPrice.com,0,0,0,0,0,0,0
Masslive.com,Powerball numbers: Did you win Saturday's $348 million lottery jackpot? - MassLive.com,0,0,0.667287,0,0,0,0
Bemidjipioneer.com,Enbridge announces year delay on Line 3 completion - Bemidji Pioneer,0,0,0,0.555351,0.522484,0,0
Thetimes.co.uk,Uncertainty over China's Huawei 'could delay 5G' | Business - The Times,0,0,0,0.649566,0,0,0.928936
Seekingalpha.com,"Trump swipes Powell, says dollar too strong - Seeking Alpha",0,0,0,0,0,0,0
Fox2now.com,St. Louis program offers vacant single-family homes for $1 - KTVI Fox 2 St. Louis,0,0,0,0,0,0,0
Nbcmontana.com,Squabble over sale of Montana mansion owned by Wyoming firm - NBC Montana,0,0,0,0,0,0.80026,0
Kutv.com,Train-tanker collision spills diesel fuel on Nevada highway - KUTV 2News,0,0,0,0,0,0,0
Fox17.com,Parked plane bound for Nashville grazed by another at Newark airport - WZTV,0,0,0,0,0.620279,0,0
Fool.com,Why Old Navy Is Going Solo - Motley Fool,0,0,0,0,0,0,0
Nbc-2.com,NTSB sending investigators to fatal Tesla-semitrailer crash in Miami - NBC2 News,0,0,0,0.745588,0,0,0
Kolotv.com,Elko mayor opposes Barrick-Newmont mining merger - KOLO,0,0,0,0,0.801827,0,0
Wwlp.com,"2 unclaimed $100,000 lottery prizes about to expire - WWLP.com",0,0,0,0,0,0,0
Kstp.com,University of Minnesota cuts ties with tech giant Huawei - KSTP,0,0,0,0,0,0,0
Youtube.com,8 injured in emergency at London's Stansted Airport - ABC News,0,0,0,0.655218,0,0,0
Licpost.com,90 Community Groups Write Joint Letter Critical of Cuomo's Plea to Lure Amazon Back - Long Island City Post,0,0,0,0,0,0,0
CNN,A noose was found at a Boeing plant in South Carolina - CNN,0,0,0,0,0.672469,0,0
The Wall Street Journal,"EBay Settles, More or Less - The Wall Street Journal",0,0,0,0,0,0,0.856622
Fool.ca,Whet Your Appetite for Dividends With These 3 Generous-Yielding Food Stocks - The Motley Fool Canada,0,0,0,0,0,0,0
The Hill,Amazon reportedly pulls anti-vaccine documentaries | TheHill - The Hill,0,0,0,0,0,0,0
Dailyitem.com,Catlin takes new position at Walmart - Sunbury Daily Item,0,0,0,0,0,0,0
Business Insider,Andreessen Horowitz Partner Frank Chen on AI: Presentation - Business Insider,0,0,0,0,0,0,0
Yahoo.com,Amazon to open non-Whole Foods grocery chain - Yahoo News,0,0,0,0,0,0,0
Heraldnet.com,"So far, airport earns Everett no respect - The Daily Herald",0,0,0,0,0.842108,0,0
Theregister.co.uk,"Sniff the love: Subaru's SUVs overwhelmed by scent of hair shampoo, recalls 2.2 million cars - The Register",0,0,0.657604,0,0,0,0
Seekingalpha.com,Home Depot Nails Down A 32% Dividend Increase And Strong Growth - Seeking Alpha,0,0,0.788562,0,0,0,0
Staradvertiser.com,Las Vegas Sands said in 'good hands' as CEO battles cancer - Honolulu Star-Advertiser,0,0,0,0,0,0,0
Japantimes.co.jp,"Japan Tobacco, British American Tobacco and Philip Morris lose appeal in $13 billion Quebec lawsuits - The Japan Times",0,0,0,0.584593,0,0,0
Cleantechnica.com,"Hyundai Will Introduce New Battery-Only Chassis In 2020, Working With Aurora On Autonomous Cars - CleanTechnica",0,0,0,0,0,0,0
Kutv.com,"Consumers may benefit from Smith's cutting ties with Visa credit, economist says - KUTV 2News",0,0,0,0,0,0,0.681699
Barrons.com,"Vanguard, SoFi Lead the Latest Charge to Cut Fund Fees - Barron's",0,0,0,0,0.731735,0,0
Barrons.com,L Brands Stock Is Still Not a Buy Despite Promises of Change - Barron's,0,0,0,0,0.589295,0,0
Wgntv.com,Retailers suffer during Illinois Lottery system upgrade - WGN TV Chicago,0,0,0,0.662647,0,0,0
Electrek.co,Tesla launches new live service status update through mobile app - Electrek,0,0,0,0,0.703409,0,0
Ktnv.com,"Local News City of Las Vegas leaving NV Energy? Bryan Callahan 5:31 PM, Mar 01 - KTNV Las Vegas",0,0,0,0.50102,0,0,0
Kfoxtv.com,Entire staffs at 3 Sonic locations quit after wages cut to '$4/hour plus tips' - KFOX El Paso,0,0,0,0,0,0,0
Thewrap.com,Hollywood Worries: Will HBO Still Be the Home of Prestige Television After Richard Plepler‰Ûªs Departure? - TheWrap,0,0,0,0,0,0,0
Foxbusiness.com,Amazon has a '50-50' chance of returning to New York City: Rep. Meeks - Fox Business,0,0,0,0,0,0,0.647986
Mauinow.com,Southwest to Challenge Hawaiian's Interisland Service - Maui Now,0,0,0,0,0,0,0
CBS News,Wells Fargo reaches $240 million settlement for phony accounts - CBS News,0,0,0,0,0,0,0
CBS News,"Southwest Airlines sues mechanics, claims frivolous ""safety"" write-ups are grounding dozens of planes - CBS News",0,0,0,0,0.532616,0,0
Abc7.com,Los Angeles City Council approves ordinance to ban restaurants from automatically providing plastic straws - KABC-TV,0,0,0,0,0.532616,0,0
Crypto Coins News,Donald Trump Just Set the Stage for a Meteoric Dow Recovery - CCN,0,0,0,0,0,0,0.75152
Schaeffersresearch.com,Big Money Volatility Trader Targets Bristol-Myers Squibb Stock - Schaeffers Research,0,0,0,0,0,0,0
Ajc.com,Federal flight deck officer leaves gun in Delta cockpit - Atlanta Journal Constitution,0,0,0,0.569538,0,0,0
Capitolfax.com,Your Illinois News Radar åÈ Amtrak malfunction causes another Metra meltdown - The Capitol Fax Blog,0,0,0,0,0.560098,0,0
CNBC,Elon Musk just sent this memo to employees about the cheaper Model 3 and store closures - CNBC,0,0,0,0,0,0,0.775166
CNN,HBO chief Richard Plepler leaves network he spent decades building in post-AT&T shakeup - CNN,0,0,0,0.7486,0.587989,0,0
The New York Times,Gap Plans to Spin Off Old Navy After a Dismal Year - The New York Times,0,0,0,0,0,0,0
Gizmodo.com,"Plagued by Predators, YouTube Is Disabling Comments on Most Videos Featuring Children - Gizmodo",0,0,0,0,0,0,0
Ars Technica,"Amazon‰Ûªs latest program to curb emissions? One delivery day per house, per week - Ars Technica",0,0,0,0,0.720783,0,0
Politico,Lawyer: Adelson's health 'dire' - POLITICO,0,0,0.554464,0,0,0,0
