source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Cnet.com,Captain Marvel review: A soaring tale of self-discovery with a '90s riff - CNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,GAME OF THRONES Season 8 Official Trailer #2 (2019) HBO Series HD - JoBlo Movie Trailers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consequenceofsound.net,"The National announce new album, I Am Easy to Find, and Mike Mills-directed film - Consequence of Sound",0.0,0.0,0.772436,0.0,0.855572,0.0,0.0
Jambase.com,Willie Nelson Announces Outlaw Music Festival Summer Tour 2019 - JamBase,0.0,0.0,0.719666,0.0,0.0,0.0,0.0
CNN,Corey Feldman defends Michael Jackson - CNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polygon,Feminist Frequency returns with gaming YouTube series Queer Tropes - Polygon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,'School of Rock' Kid Arrested Four Times for Stealing Guitars - Loudwire,0.511735,0.0,0.0,0.0,0.0,0.0,0.0
Eonline.com,Jersey Shore's Sammi ''Sweetheart'' Giancola Is Engaged - E! NEWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheatsheet.com,Are the Jonas Brothers Going on Tour in 2019? - The Cheat Sheet,0.0,0.0,0.0,0.559701,0.0,0.0,0.0
CNN,Wrestling star King Kong Bundy dies at 61 - CNN,0.0,0.0,0.0,0.745541,0.0,0.0,0.0
Brooklynvegan.com,Mac DeMarco insists similarities to Mitski album/song titles are coincidental (is he trolling?) - Brooklyn Vegan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aol.com,Palace gala marks 50 years since Prince Charles' investiture as Prince of Wales - AOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harpersbazaar.com,"Kate Middleton, Meghan Markle, Prince William, and Prince Harry Gather in Buckingham Palace - HarpersBAZAAR.com",0.0,0.0,0.0,0.0,0.532616,0.0,0.0
Polygon,Midsommar trailer: Hereditary director returns with creepy cult horror - Polygon,0.0,0.82582,0.0,0.0,0.0,0.0,0.0
Tmz.com,"Kylie Jenner is Now World's Youngest Billionaire, Officially - TMZ",0.0,0.0,0.612538,0.0,0.0,0.0,0.0
The New York Times,"Pritzker Prize Goes to Arata Isozaki, Designer for a Postwar World - The New York Times",0.0,0.0,0.731099,0.0,0.0,0.0,0.0
Fox News,"Luke Perry's 'Beverly Hills, 90210' co-stars Shannen Doherty, Tori Spelling 'heartbroken' over star's death - Fox News",0.0,0.0,0.0,0.832327,0.0,0.0,0.0
Pagesix.com,Queen Latifah stands by Jussie Smollett after alleged hoax - Page Six,0.0,0.0,0.522988,0.0,0.0,0.0,0.0
Cosmopolitan.com,Update: Stormi Webster Has Her Own Custom Lamborghini and She's Literally a Baby - Cosmopolitan.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The New York Times,Karl Lagerfeld’s Final Chanel Show - The New York Times,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportskeeda.com,4 WrestleMania 35 matches the WWE can set up at Fastlane - Sportskeeda,0.0,0.0,0.0,0.0,0.788547,0.0,0.0
Eonline.com,Why Kate Beckinsale Was Ready for a Guy Like Pete Davidson - E! NEWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,Khloé Kardashian Backpedals the Blame | Nightly Pop | E! News - E! News,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yahoo.com,Colton Underwood disappears from 'The Bachelor' [Video] - Yahoo Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,Video Surfaces Of Tekashi 6ix9ine's Baby Mama In Bed With His Alleged Associate - HipHopDX,0.0,0.0,0.594046,0.0,0.0,0.0,0.0
Youtube.com,Shaun's Breakdown – The Good Doctor - ABC,0.0,0.0,0.0,0.0,0.620279,0.0,0.0
Wpxi.com,LUKE PERRY: Actor Luke Perry dies at 52 - WPXI Pittsburgh,0.0,0.0,0.0,0.785123,0.0,0.0,0.0
Prowrestlingsheet.com,Roman Reigns Reveals Type of Leukemia He Had on WWE Chronicle - Pro Wrestling Sheet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forbes.com,"WWE Raw Results: News And Notes After Another Shield Reunion, Apparent Ronda Rousey Heel Turn - Forbes",0.0,0.0,0.0,0.0,0.562568,0.0,0.0
Justjared.com,Anna Wintour Speaks Out About Kim Kardashian's Fashion Choices - Just Jared,0.0,0.0,0.0,0.0,0.653099,0.0,0.909883
Billboard.com,Blake Shelton Keeps Scooping Up Country Artists in Night 3 of 'The Voice' Auditions - Billboard,0.0,0.0,0.586197,0.0,0.0,0.0,0.0
Deadline.com,Oscars Boost: Lady Gaga & Bradley Cooper’s ‘Shallow’ Soars To No. 1 on Billboard Hot 100 - Deadline,0.0,0.0,0.642407,0.0,0.0,0.0,0.0
IGN,The Internet Reacts to the Alleged Sonic the Hedgehog Movie Leak - IGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nbcsports.com,The three versions of Jay Cutler on Very Cavallari premiere - NBCSports.com,0.0,0.0,0.0,0.0,0.0,0.80026,0.0
Rollingstone.com,How Luke Perry's Rodeo Movie '8 Seconds' Depicted Real Cowboy Life - Rolling Stone,0.0,0.0,0.560017,0.0,0.840228,0.509368,0.0
Theroot.com,Royal Treatment: Buckingham Palace Issues New Guidelines in Response to Online Abuse of Meghan Markle and Kate Middleton - The Root,0.0,0.0,0.0,0.0,0.842108,0.0,0.0
Washingtonexaminer.com,I don't believe Michael Jackson's accusers in 'Leaving Neverland' - Washington Examiner,0.0,0.0,0.0,0.0,0.862286,0.0,0.786991
Youtube.com,"The Prodigy's Keith Flint Dead at 49, Morrissey Broadway Residency | RS News 3/4/19 - Rolling Stone",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,QUEER EYE Season 3 Official Trailer (HD) Netflix Reality Series - JoBlo TV Show Trailers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abc7chicago.com,Tamron Hall pregnant with first child at 48 - WLS-TV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vh1.com,Love & Hip Hop Atlanta Returns For The Most Explosive Season Yet With Back-To-Back Episodes on March 25th - VH1.com,0.0,0.0,0.652219,0.0,0.0,0.0,0.0
NBC News,Mexican TV network faces backlash for 'brownface' parody of 'Roma' star Yalitza Aparicio - NBCNews.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,THE ACT Official Trailer (HD) Patricia Arquette True Crime Series - JoBlo TV Show Trailers,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countryliving.com,Watch the Emotional 'American Idol' Audition That Brought Luke Bryan to Tears - Country Living,0.0,0.0,0.0,0.558918,0.0,0.0,0.0
Talkingpointsmemo.com,Ex-Mariah Carey Manager Accuses Felix Sater Of Hacking Her For Celebrity Info - TPM,0.573552,0.0,0.0,0.0,0.589295,0.0,0.0
Youtube.com,"Welcome Back, Slipknot! - Loudwire",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abc6onyourside.com,"Wendy Williams returns to show, addresses health, marriage - ABC6OnYourSide.com",0.0,0.0,0.524509,0.0,0.0,0.0,0.0
Criticalhit.net,"The latest trailer for Shazam brings thunder, action and a little bit of magic - Critical Hit",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washingtonexaminer.com,Why does Steven Spielberg hate Netflix? - Washington Examiner,0.564685,0.0,0.0,0.0,0.920855,0.0,0.0
Nme.com,Listen to Billie Eilish’s latest new track ‘Wish You Were Gay’ - NME Live,0.0,0.0,0.547853,0.0,0.0,0.0,0.0
CNN,Battle over 'stolen' Matisse goes to US Supreme Court - CNN,0.520631,0.0,0.0,0.0,0.0,0.0,0.0
Loudwire.com,Eddie Vedder Covers Bradley Cooper's 'A Star Is Born' Ballad - Loudwire,0.0,0.0,0.580108,0.0,0.0,0.0,0.0
Tasteofcountry.com,Brandi Carlile Tributes Late 'Voice' Contestant Janice Freeman - Taste of Country,0.0,0.0,0.502065,0.0,0.0,0.0,0.0
Tmz.com,Anthony Anderson Says Roseanne 'Needs Help' After Her #MeToo Criticism - TMZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagesix.com,Ben Affleck gets candid on 'Today' about his alcoholism and recovery - Page Six,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Business Insider,"Trevor Noah apologized for making a Bollywood joke about the India-Pakistan conflict, that teetered on the brink of war and killed at least 10 people - Business Insider",0.0,0.0,0.0,0.0,0.0,0.0,0.5538
Lrmonline.com,Marvel's Kevin Feige Talks Captain Marvel Sequel - LRM Online,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goldderby.com,Oscar queens Olivia Colman and Regina King were once Emmy foes [WATCH] - Gold Derby,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vulture.com,John Oliver Prepares Kids for the Inevitable Robot Takeover - Vulture,0.0,0.0,0.0,0.0,0.0,0.849827,0.0
Wired,Star Wars News: Here Is the Entire Saga in Just 5 Minutes - WIRED,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,Ben Affleck Jokes About Why He and Jennifer Garner Are 'Not Cool' Parents (Exclusive) - Entertainment Tonight,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gothamist.com,Video: John Mulaney Unveils A Bodega Bathroom Musical On Great 'Saturday Night Live' - Gothamist,0.0,0.0,0.781934,0.0,0.0,0.0,0.0
CNN,Kevin Spacey case heads back to court as defense casts wide net for cell phone records and other evidence - CNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vulture.com,"Oh No, Arcade Fire Covered Dumbo’s ‘Baby Mine’ and Now You’re Going to Cry Big Ol’ Elephant Tears - Vulture",0.0,0.0,0.0,0.799277,0.0,0.0,0.0
Slate.com,SNL highlights: These three sketches show why John Mulaney's episode was the best all season. - Slate,0.0,0.0,0.521521,0.0,0.0,0.952663,0.0
Huffpost.com,'The Walking Dead' Sneaks New Easter Egg Into Its Opening Credits - HuffPost,0.0,0.0,0.659883,0.0,0.0,0.0,0.0
Tmz.com,R. Kelly's Friend Who Paid His Bail Receives Bomb Threat at Her Daycare - TMZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiewire.com,"Documentary Filmmaker Andrew Berends, Cameraman on ‘Free Solo,’ Dies - IndieWire",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aol.com,"'Michael Cohen, Jim Jordan exchange spoofed on 'SNL' - AOL",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sfgate.com,'SNL's' 'Legal Shark Tank' skit skewers Jussie Smollett case - SFGate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
