source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Cnet.com,Captain Marvel review: A soaring tale of self-discovery with a '90s riff - CNET,0,0.0,0.0,0.0,0.0,0.0,0.0
Npr.org,HIV Eliminated By Bone Marrow Transplant In Cancer Patient : Shots - Health News - NPR,0,0.0,0.0,0.532817,0.0,0.0,0.0
Yahoo.com,Papa John's founder Schnatter to exit board in settlement - Yahoo Finance,0,0.0,0.0,0.0,0.653099,0.0,0.0
USA Today,Teen who vaccinated himself says anti-vaxx Mom gets misinformation from Facebook - USA TODAY,0,0.0,0.0,0.61661,0.0,0.0,0.0
Fox News,Moderate Dems fume over Ocasio-Cortez 'list' threat - Fox News,0,0.606239,0.0,0.0,0.0,0.0,0.0
Youtube.com,GAME OF THRONES Season 8 Official Trailer #2 (2019) HBO Series HD - JoBlo Movie Trailers,0,0.0,0.0,0.0,0.0,0.0,0.0
CNN,Corey Feldman defends Michael Jackson - CNN,0,0.0,0.0,0.0,0.0,0.0,0.0
CNBC,Tesla shares fall 4 percent despite China approval of Model 3 imports - CNBC,0,0.0,0.0,0.628706,0.642915,0.0,0.0
Vox.com,White House responds to House oversight with statement demonizing Democrats - Vox.com,0,0.0,0.0,0.0,0.672469,0.0,0.0
USA Today,Storm-battered Alabama could see more severe weather – and possible tornadoes – this weekend - USA TODAY,0,0.0,0.0,0.0,0.0,0.0,0.91961
NBC News,Packages with IEDs found near two London airports and rail hub - NBC News,0,0.0,0.0,0.518604,0.589295,0.0,0.0
Engadget,August's new battery-powered smart doorbell has a 1440p camera - Engadget,0,0.0,0.0,0.0,0.0,0.0,0.0
Npr.org,Tokyo Court Grants Bail To Former Nissan CEO Carlos Ghosn - NPR,0,0.0,0.0,0.0,0.0,0.0,0.0
Cheatsheet.com,Is Ariana Grande Debuting Her Own Starbucks Drink? - The Cheat Sheet,0,0.0,0.0,0.0,0.0,0.0,0.0
Phys.org,"Astronomers detect deep, long asymmetric occultation in a newly found low-mass star - Phys.org",0,0.0,0.0,0.0,0.762356,0.0,0.0
Bleacher Report,2019 NFL Mock Draft: Matt Miller's Post-Combine Predictions - Bleacher Report,0,0.0,0.0,0.0,0.0,0.618451,0.0
The Verge,You can now control your Roku with an Amazon Echo - The Verge,0,0.0,0.0,0.0,0.0,0.0,0.0
Youtube.com,Samsung Galaxy S10 Plus review: Almost apex - Android Authority,0,0.0,0.0,0.0,0.0,0.0,0.856622
Cbssports.com,"2019 NFL Mock Draft: Cardinals trade Josh Rosen to Redskins and take Kyler Murray, Giants grab falling QB - CBS Sports",0,0.0,0.0,0.0,0.0,0.0,0.0
Fortune,Understanding the Scandal That's Tarnished Justin Trudeau's Glowing Image - Fortune,0,0.0,0.0,0.0,0.687768,0.0,0.0
CNN,"A father, a charismatic leader, an entrepreneur. These are the Americans killed in the Kenya helicopter crash - CNN",0,0.0,0.0,0.579243,0.643758,0.0,0.0
Fudzilla.com,Microsoft is making a Chrome OS-like version of Windows - Fudzilla,0,0.0,0.0,0.0,0.687768,0.0,0.0
ABC News,UK minister says Brexit talks yield 'positive' signals - ABC News,0,0.0,0.0,0.0,0.687768,0.866996,0.0
Npr.org,Arizona Considers Expanding Exemptions For School Vaccines : Shots - Health News - NPR,0,0.0,0.0,0.0,0.653099,0.0,0.0
Fox News,Alabama man charged with capital murder after 11-year-old’s body discovered - Fox News,0,0.0,0.0,0.0,0.829347,0.0,0.0
Yahoo.com,Colton Underwood disappears from 'The Bachelor' [Video] - Yahoo Entertainment,0,0.0,0.0,0.0,0.0,0.0,0.0
The New York Times,"As Tornadoes Roared Across Alabama, ‘There Wasn’t Even Time to Be Afraid’ - The New York Times",0,0.802804,0.0,0.0,0.0,0.0,0.615352
Thespacereview.com,Commercial crew's time approaches - The Space Review,0,0.0,0.0,0.0,0.0,0.0,0.0
Awfulannouncing.com,"The idea of making NFL Network a ""33rd team"" for the combine is interesting - Awful Announcing",0,0.0,0.0,0.0,0.762356,0.0,0.0
NBC News,Tornado victims in Alabama include the 'sweetest little boy' and a 'perfect' daughter - NBC News,0,0.0,0.732328,0.0,0.0,0.727798,0.0
Cosmosmagazine.com,One more time with feeling: no link found between measles vax - Cosmos,0,0.0,0.0,0.0,0.842108,0.0,0.0
Washingtonexaminer.com,The professional wrestling Congress - Washington Examiner,0,0.0,0.0,0.0,0.920855,0.0,0.0
Washingtonexaminer.com,The solution for Trump's impending Senate showdown: End the national emergency - Washington Examiner,0,0.0,0.0,0.0,0.908301,0.0,0.0
Nbcsports.com,"Raiders make most sense for Antonio Brown, Peter King says - NBCSports.com",0,0.0,0.510515,0.0,0.0,0.0,0.0
Investors.com,"SpaceX Launch Succesful, Crew Dragon Capsule Docks With Space Station - Investor's Business Daily",0,0.0,0.0,0.0,0.589295,0.0,0.0
Sputniknews.com,"ISS Astronauts Meet SpaceX Ship Crew After Historic Docking (PHOTO, VIDEO) - Sputnik International",0,0.0,0.590401,0.0,0.0,0.0,0.0
