,source,date,title,description
0,The Hill,2019-03-01T01:43:34Z,Texas lawmaker says he’s not concerned about measles outbreak because of antibiotics | TheHill - The Hill,A Texas state lawmaker suggested that he is not worried about the recent outbreak of measles across the country because antibiotics can treat the virus.
1,Morningchalkup.com,2019-03-01T01:22:08Z,CrossFit Open 19.2 Workout Description and Strategies - Morning Chalk Up,"Workout 19.1 Beginning on an 8-minute clock, complete as many reps as possible of: 25 toes-to-bars 50 double-unders 15 squat cleans, 135 lb. 25 toes-to-bars 50 double-unders 13 squat cleans, 185 lb. If completed before 8 minutes, add 4 minutes to the clock an…"
2,Bbc.com,2019-03-01T01:03:42Z,Should you go vegan for the sake of your gut? - BBC News,Giving up meat and dairy is promoted as having many health benefits. It may play a crucial part in maintaining a healthy gut biome as well.
3,CNN,2019-03-01T00:01:00Z,"Measles cases at 'alarmingly' high levels around the world, UNICEF says - CNN","Measles cases have been rising to ""alarming high levels"" globally. Ten countries, including Yemen and the Philippines, account for 74% of the total increase seen in 2018."
4,Nypost.com,2019-02-28T22:50:00Z,Single yeshiva accounted for 21 new measles cases this month - New York Post ,"A single yeshiva in the Williamsburg section of Brooklyn accounted for 21 of the 31 new cases of measles this month in the city’s Orthodox Jewish community, officials said Thursday. That brou…"
5,Daily Mail,2019-02-28T22:48:00Z,Medical marijuana is safe and effective for elderly people - Daily Mail,"In New York, where the research team is based, marijuana is legal for medical use. And a recent report found that most of the state's 98,000 medical marijuana users are aged 50 to 70."
6,Capitolfax.com,2019-02-28T22:06:14Z,Your Illinois News Radar » Vaccinate your kids! - The Capitol Fax Blog,
7,Axios,2019-02-28T21:56:00Z,"World Health Organization ""deeply concerned"" over attacks on Ebola clinics - Axios","A ""toxic environment"" has been created in part by local politicians spreading false rumors."
8,Consumerreports.org,2019-02-28T21:52:06Z,Catching Up on Sleep on the Weekend Doesn't Work - ConsumerReports.org,Using the weekend for catching up on sleep may be counterproductive and even unhealthy. Consumer Reports explains.
9,Wsfa.com,2019-02-28T21:31:37Z,Alabama health officials warn against using CBD products - WSFA,"The Alabama Department of Public Health has issued a warning about products labeled CBD, cannabidiol, which is derived from the marijuana plant."
10,The New York Times,2019-02-28T21:22:30Z,"States Consider Longer School Recess, and the Adults Aren’t Complaining - The New York Times",Some believe more playtime will encourage creativity and make children less cranky and restless.
11,Fox News,2019-02-28T21:11:23Z,Ohio mom diagnosed with colon cancer 6 months after giving birth - Fox News,"An Avon, Ohio woman says she was diagnosed with colon cancer just six months after she gave birth to her daughter."
12,The Verge,2019-02-28T21:11:19Z,How measles snuck into California despite strict vaccine legislation - The Verge,"Even after California banned non-medical exemptions for vaccines, an unvaccinated teenage boy in the state still spread measles to a half dozen people in an outbreak last year, a new study reports. The findings show that while tightening legislative loopholes…"
13,Marketwatch.com,2019-02-28T20:23:00Z,Here’s the science behind the secret of a good marriage - MarketWatch,A study looks at Cupid’s chemistry.
14,The New York Times,2019-02-28T19:25:48Z,How the Icefish Got Its Transparent Blood and See-Through Skull - The New York Times,Research shows how the Antarctic blackfin icefish differs from its close relatives on the genetic level.
15,NBC News,2019-02-28T18:12:00Z,"Nursing home leadership faulted for adenovirus outbreak that killed 11 children, federal report says - NBC News","The pediatric medical director of the Wanaque Center for Nursing and Rehabilitation is partially at fault for the adenovirus outbreak that killed 11 children, a federal report says."
16,Bloomberg,2019-02-28T18:00:00Z,Why Sex-Related Infections Are Spreading Again: QuickTake - Bloomberg,
17,Channel3000.com,2019-02-28T17:59:00Z,"After near decapitation in trying to seek shelter from cold, Henry the kitty needs your help - Channel3000.com - WISC-TV3","In Henry the kitty's attempt to seek warmth and shelter under the hood of a car, Henry suffered major injuries to his head after the car was started."
18,Fox News,2019-02-28T17:55:48Z,Doctors on Facebook face harassment from anti-vaxxers - Fox News,Facebook is coming under fire because doctors are facing harassment on the platform by anti-vaccination activists.
19,NBC News,2019-02-28T17:25:00Z,"Buttock implants linked to deadly cancer for the first time, study finds - NBCNews.com","A woman who received buttock implants developed the same form of cancer previously linked to textured breast implants, University of Southern California surgeons said."
20,Nih.gov,2019-02-28T17:24:24Z,Data sharing uncovers five new risk genes for Alzheimer's disease - National Institutes of Health,NIH-funded project includes largest sample to date for Alzheimer’s gene association.
21,Abc11.com,2019-02-28T17:17:05Z,"Health department confirms 98 flu deaths in North Carolina so far in the 2018-19 season, including a 5-17 year old - WTVD-TV","A total of 98 people in North Carolina have died from the flu this season, including someone between the age of 5 and 17, according to the North Carolina Department of Health and Human Services."
22,Wsbtv.com,2019-02-28T17:12:22Z,Active tuberculosis cases confirmed in two Floyd County elementary schools - WSB Atlanta,Floyd County schools is warning students and parents after the health department confirmed active cases of tuberculosis at two elementary schools.
23,Fox News,2019-02-28T17:11:35Z,Rare 'semi-identical' twins discovered during Australian woman's pregnancy - Fox News,"A rare set of semi-identical twins have been identified in Australia, only the second set ever reported in the world."
24,Nypost.com,2019-02-28T16:49:35Z,Florida woman bitten by stray kitten billed by hospital for $48G: ‘My funeral would have been cheaper’ - New York Post ,"A wildlife biologist in Florida was slammed with a nearly $50,000 medical bill after she was bitten by a stray kitten. Jeannette Parker, 44, told NPR she noticed an emaciated black kitten on a road…"
25,Biospace.com,2019-02-28T16:49:17Z,Novavax RSV Vaccine Fails to Hit Primary Endpoint in Phase III Trial - BioSpace,Shares of Maryland-based Novavax are down 66 percent in morning trading after the company announced its respiratory syncytial virus (RSV) vaccine called ResVax failed to hit its primary endpoint in a Phase III trial.
26,Fox17.com,2019-02-28T16:21:01Z,"HIV prevention initiative to focus on State of Kentucky, Shelby County and other areas - WZTV","The Centers for Disease Control and Prevention (CDC) is focusing on the state of Kentucky and Shelby County, Tennessee among other locations after finding HIV prevention has stalled. According to the CDC report which examined HIV trends in the country from 20…"
27,Masslive.com,2019-02-28T16:17:00Z,FDA: New voluntary recall of high blood pressure drug issued - MassLive.com,Macleods Pharmaceuticals Limited is voluntarily recalling one lot of Losartan Potassium/Hydrochlorothiazide combination tablets 100mg/25mg.
28,Wthr.com,2019-02-28T15:46:40Z,"Prenatal vitamin use early in pregnancy associated with lower risk of autism, study finds - WTHR","The study, conducted by JAMA Psychiatry, followed 241 children who had older siblings diagnosed with autism spectrum disorder."
29,Thedenverchannel.com,2019-02-28T15:29:00Z,"All students, staff at Aurora Hills Middle School during the fall to be tested for tuberculosis - The Denver Channel",All students and staff who were at Aurora Hills Middle School during the 2018 fall semester will need to get tested for tuberculosis.
30,Forbes.com,2019-02-28T15:17:00Z,Your Risk Of Prostate Cancer Just Dropped Precipitously. Here's Why - Forbes,"Most men diagnosed with prostate cancer don’t die of the disease. The huge disparity between deaths and diagnoses arises in large part from over-diagnosis of prostate cancer, as a consequence of screening tests that find cancers that would not have progressed…"
31,Futurism.com,2019-02-28T14:46:13Z,Study: Growing up Around Green Space Halves Mental Health Risk - Futurism,Having more parks nearby as a kid could mean fewer trips to the psychiatrist an adult.
32,Kwqc.com,2019-02-28T14:19:54Z,Report: First pediatric death reported in Illinois from the flu - KWQC-TV6,15% of the students at South Middle School in Arlington Heights stayed home Wednesday and officials sent 23 more home during the day.
33,Fox News,2019-02-28T14:19:38Z,Tooth pulled from inside man's nose after losing sense of smell - Fox News,A curious case of a man’s seemingly typical nasal symptoms landed in a medical journal after doctors discovered that a tooth growing in his nose was the actual culprit.
34,Business Insider,2019-02-28T13:51:26Z,39 delicious foods that are linked to a lower risk of cancer - Business Insider,Here are a few of the top foods that science has shown can help keep a body cancer-free.
35,Npr.org,2019-02-28T13:40:00Z,5 Strategies For Answering Kids' (Super) Tough Questions - NPR,Is Santa real? Will you ever die? Children ask questions that can induce knee-buckling panic in adults. NPR's Life Kit and Sesame Workshop have research-tested strategies to help you with the answers.
36,Vox.com,2019-02-28T13:00:00Z,Seasonal affective disorder: Can light therapy treat SAD? - Vox.com,"Light therapy products, touted as treatments for seasonal affective disorder, are steadily on the rise."
37,Newser.com,2019-02-28T12:34:00Z,Meteorologist Left Behind a 30-Page Suicide Note - Newser,"After weeks of complications, Jessica Starr 'started to withdraw from life'"
38,Medical News Today,2019-02-28T11:03:30Z,Alcohol may be less harmful for people over 50 - Medical News Today,A new study investigates the potential protective effects of alcohol at different ages. They find that it is not a level playing field.
39,Lehighvalleylive.com,2019-02-28T10:47:00Z,The flu's killed 57 people this season. Here's where it is worst in Pa. (MAP) - lehighvalleylive.com,The Lehigh Valley remains amongst the hardest hit regions.
40,Gaystarnews.com,2019-02-28T10:44:00Z,British tabloid The Sun publishes 'appalling' and 'dangerous' story on couple with HIV - Gay Star News,British tabloid The Sun published an online story describing a heterosexual couple 'risking their life' trying for a baby as one partner is HIV positive.
41,Kcrg.com,2019-02-28T10:32:26Z,Adults vaccinated as kids may not be protected against the measles now - KCRG,"Pam Baron, of Rocky River, was recently shocked to find out that all of the immunizations she had received as a child were no longer in her system - including anything that would protect her from the measles."
42,Wgntv.com,2019-02-28T02:52:00Z,Spike in flu cases in Chicago-area schools; 1 child dead - WGN TV Chicago,"CHICAGO — A spike in flu cases has been reported at schools across the Chicago area. In the city, one child has died.

Officials said the child is the first pediatric flu death in Cook County and the third in the state this season.

Evanston pediatrician Dr…"
43,Boston25news.com,2019-02-28T02:34:59Z,Fortnite concerns: Doctors seeing game-obsessed children for health issues - Boston 25 News,Many parents are struggling with kids who are addicted to the video game Fortnite.
44,Inforum.com,2019-02-28T02:00:00Z,Minnesota's largest deer hunting group targets deer farms for chronic wasting disease policy - INFORUM,"news, sports, opinion, entertainment, business, lifestyle, milestones, obituaries and weather for Fargo, ND"
45,Fox News,2019-02-28T01:49:01Z,Husband of Michigan TV meteorologist who committed suicide breaks silence - Fox News,"Meteorologist Jessica Starr reportedly didn’t suffer from depression or take antidepressants before undergoing an eye surgery and ultimately committing suicide late last year, according to her husband."
46,Wgntv.com,2019-02-28T00:24:00Z,Herbalist sentenced after death of diabetic boy advised not to use insulin - WGN TV Chicago,"An herbalist has been sentenced to jail time after the death of a 13-year-old boy with Type 1 diabetes for whom he recommended treatment with herbs instead of lifesaving insulin, Los Angeles City Attorney Mike Feuer announced Monday.

In August 2014, Timothy…"
47,Thetimes.co.uk,2019-02-28T00:01:00Z,Antibiotic curbs put older people at risk | News - The Times,"Pressure on GPs to cut down on antibiotics may be leading to fatal infections in older people, a study suggests. Those over 65 who did not immediately receive antibiotics for a common illness were..."
48,NBC News,2019-02-27T22:00:00Z,"Colon cancer often misdiagnosed, treatment delayed in many younger patients - NBCNews.com",Many younger patients with colon cancer are initially misdiagnosed often leading to advanced disease prompting some experts to call for earlier screening.
49,Goerie.com,2019-02-27T21:12:32Z,"Fla. woman bitten by kitten gets $48,512 hospital bill - GoErie.com","The Florida Everglades is known for its exotic landscape and its invasive pythons. But kittens? Thanks to a hungry stray that bit a compassionate, animal-"
50,Iflscience.com,2019-02-27T20:55:00Z,"Almost Half Of All Children With Cancer Are Not Diagnosed, Study Suggests - IFLScience","Every year, estimates suggest that almost 400,000 new cases of childhood cancer occur but current records account for just over 220,000 of them, according"
51,The Hill,2019-02-27T20:04:41Z,CDC: Progress in preventing HIV 'stalled' | TheHill - The Hill,"Efforts to prevent HIV have stalled since 2013, according to a report released by the Centers for"
52,Atlantablackstar.com,2019-02-27T18:45:03Z,"Dr. Bill Jenkins, Epidemiologist Who Fought to Expose Racist Tuskegee Syphilis Experiment, Dies at 73 - Atlanta Black Star","William ""Bill"" Jenkins, the government epidemiologist who tried to halt the unethical Tuskegee syphilis experiments of the 1960s, has died at age 73. Dr. Jenkins passed away Feb. 17 in Charleston, S.C. from complications of the inflammatory disease sarcoidosi…"
53,Nj1015.com,2019-02-27T18:45:00Z,Measles back in NJ: Could've been spread at Hillsdale pharmacy - New Jersey 101.5 FM Radio,"Following an outbreak of 33 cases in Lakewood and Passaic in the fall, the New Jersey Department of Health said an infected person who was contagious could have inadvertently exposed others at two locations in Bergen County."
54,Sciencenews.org,2019-02-27T18:35:33Z,Treating mosquitoes may be a new way to fight malaria - Science News,A lab test suggests it may be possible to treat mosquitoes infected with the malaria parasite to stop disease transmission.
55,Fox News,2019-02-27T17:29:23Z,"Washington officials confirm case of crippling, highly infectious elk hoof disease in Blue Mountains - Fox News","At least one elk in Washington’s Blue Mountains has been confirmed to have a crippling and deforming condition known as elk hoof disease, state wildlife officials announced this week."
56,Ktvb.com,2019-02-27T17:20:00Z,Health officials warn of hepatitis A spike in Boise region - KTVB.com,Six cases have been reported in Ada and Elmore counties since Jan. 1.
57,Wbur.org,2019-02-27T16:37:15Z,'Does Your Knee Make More Of A Click Or A Clack?' — Teaching 'Car Talk' To New Docs - WBUR,"It's not easy for medical students to learn to diagnose an illness from a patient's often jumbled account of symptoms. In some med schools, teachers have discovered the perfect teaching aid: <em>Car Talk.</em>"
58,Nj.com,2019-02-27T16:23:00Z,"4 kids were dead before doctor realized there was a crisis, scathing report says - NJ.com",Eleven children died at the Wanaque Nursing and Rehabilitation Center in Haskell.
59,Newser.com,2019-02-27T15:39:00Z,Radioactive Body Contaminates Arizona Crematorium - Newser,Cancer patient's body contaminated crematorium
60,Medical News Today,2019-02-27T15:01:07Z,New treatment under trial could restore brain cells in Parkinson's - Medical News Today,"A series of clinical trials have concluded that a new therapy, alongside a novel method of delivery, could be effective in treating Parkinson's disease."
61,Wcax.com,2019-02-27T14:23:09Z,Vt. health commissioner sends letter to Congress on measles outbreaks - WCAX,Vermont's health commissioner is calling for a concerted effort to get rid of measles and he's blaming the current outbreaks on misinformation on the internet encouraging people not to get vaccinated.
62,Marketwatch.com,2019-02-27T13:49:00Z,Do this 15 minutes a day to lose weight - MarketWatch,Dieters who added this daily habit lost 10% of their body weight in a new study.
