username,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Space.com,"'Mole' on InSight Mars Lander Starts Burrowing, But the Going Is Rough - Space.com",0,0,0,0,0.801827,0,0
Scitechdaily.com,Astronomers Detect Hidden Black Hole Lurking at Galactic Center - SciTechDaily,0,0,0,0,0,0,0
Npr.org,Photographer Mikael Owunna's 'Infinite Essence' Transforms People Into Cosmos : The Picture Show - NPR,0,0,0.638032,0,0,0,0
NBC News,Battered Soviet spacecraft will plummet to Earth decades after failed mission - NBC News,0,0,0,0.817295,0,0,0
Lex18.com,SpaceX's New Crew Capsule Acxes Space Station Docking - LEX18 Lexington KY News,0,0,0,0,0,0,0
NBC News,The 'grandfather' of climate science leaves a final warning for Earth - NBC News,0,0,0,0,0,0,0
Theweek.in,Scientists give 'night vision' to mice with nanoparticles injections - THE WEEK,0,0,0.654688,0,0,0,0
Futurism.com,"Elon Musk Wants to Build a ""Permanently Occupied Human Base"" on the Moon - Futurism",0,0,0,0,0,0,0
Wesh.com,Boeing engineers talk Starliner as test launch nears - WESH 2 Orlando,0,0,0,0,0.653099,0,0
Latimes.com,"Methane in the atmosphere is surging, and thatâ€™s got scientists worried - Los Angeles Times",0,0,0,0,0,0,0
The Washington Post,Skywatch: Spring forward in March with a time change and the brightness of Venus - Washington Post,0,0,0,0,0,0,0
Techspot.com,Canada becomes NASA's first international partner for lunar space station - TechSpot,0,0,0,0,0,0,0
Digitaltrends.com,It can be either death or glory when two galaxies collide - Digital Trends,0,0,0,0,0.589295,0,0.767279
Dailygalaxy.com,â€œThe Invisible Galaxyâ€ù â€“100 Million Black Holes Lurking in the Milky Way (Weekend Feature) - The Daily Galaxy --Great Discoveries Channel,0,0,0.649946,0,0.735673,0,0
Oilprice.com,Miners Eye The Moon For Trillion Dollar Payoff | OilPrice.com - OilPrice.com,0,0,0,0,0,0,0
CNN,"Rovers search for alien life, a sad fossil tale and FarFarOut: This week in space and science - CNN",0,0,0,0.852835,0,0,0
Business Insider,Divers found fossils of an ancient giant sloth hidden in a sinkhole. The creature was 20 feet long. - Business Insider,0,0,0,0,0.596122,0,0
Independent,Ancient planet-wide water system discovered on Mars hints at past alien life - The Independent,0,0,0.517383,0,0.904038,0,0
Livescience.com,Can Any Animal Survive Without Sleep? - Live Science,0,0,0,0,0,0,0.88939
CBS News,SpaceX launch today: SpaceX launches Crew Dragon test flight to space station - CBS News,0,0,0,0,0.801827,0,0
Space.com,SpaceX Dragon Crew Demo-1 Flight to Space Station: Full Coverage - Space.com,0,0,0,0,0,0,0
The Next Web,Humans have completely destabilized land animal diversity - The Next Web,0,0,0,0,0,0.849827,0
Spaceflightnow.com,Military satellite joined with Delta 4 rocket at Cape Canaveral - Spaceflight Now,0,0,0.515692,0,0,0,0
Express.co.uk,SpaceX secret mission REVEALED: Israelâ€™s 1st spaceship to the moon has a SURPRISING cargo - Express.co.uk,0,0,0,0,0.538448,0,0
Associated Press,"Mars lander starts digging on red planet, hits snags - The Associated Press",0,0,0,0,0,0,0
Thetimes.co.uk,Tomato tests put to bed debate over whether marigolds prevent whitefly - The Times,0,0,0,0,0,0,0
Sciencealert.com,We Have Been Wrong About a Key Feature of Neanderthals' Appearance - ScienceAlert,0,0,0,0.594347,0,0,0
Popsugar.com,"All the Houseplants That Are Good For You, Your Home, and Most Importantly, Your Pets! - POPSUGAR",0,0,0.813577,0,0.882284,0.727798,0
Gizmodo.com,"Check Out This Incredible X-Ray 'Superbubble' That's Nearly 5,000 Light-Years Wide - Gizmodo",0,0,0.832839,0,0.762356,0,0.75152
Npr.org,A Positive Mindset Can Help Patients Handle Side Effects Of Treatments : Shots - Health News - NPR,0,0,0.569849,0,0.781949,0.727798,0
Phys.org,Spider silk could be used as robotic muscle - Phys.org,0,0.600978,0,0,0,0,0.822231
Business Insider,Elon Musk sent a $100K Tesla Roadster to space a year ago. It has now traveled farther than any other car in history. - Business Insider,0,0,0,0,0,0,0.85591
Spaceflightinsider.com,Papers present evidence for super Earth in the outer solar system - SpaceFlight Insider,0,0,0.759677,0,0,0,0
Cgtn.com,China's Chang'e-4 moon lander awakens for third sunrise on Moon - CGTN,0,0,0,0,0,0,0
Space.com,This Week's Top Space Stories! - Space.com,0,0,0.685386,0,0,0,0
