source,text,Anger,Fear,Joy,Sadness,Analytical,Confident,Tentative
Thefalcoholic.com,Can the Falcons afford Justin Houston? - The Falcoholic,0.0,0,0.0,0.0,0.0,0.0,0.0
Youtube.com,"LeBron and the Lakers are officially done, front office changes to come - Stephen A. | First Take - ESPN",0.0,0,0.0,0.0,0.0,0.0,0.0
Yahoo.com,"Kellen Winslow in jail again, for lewd conduct - Yahoo Sports",0.0,0,0.0,0.0,0.687768,0.0,0.0
Espn.com,Trestman hired as coach of Tampa Bay XFL team - ESPN,0.0,0,0.0,0.0,0.0,0.0,0.0
Bigblueview.com,4-round mock draft simulation: New York Giants select Montez Sweat No. 6 - Big Blue View,0.0,0,0.0,0.0,0.0,0.0,0.0
Deadspin.com,The Unstoppable Bucks Lost Again To The Extremely Stoppable Suns - Deadspin,0.0,0,0.0,0.594135,0.0,0.579436,0.0
Mmajunkie.com,Jon Jones thankful 'real warrior' Anthony Smith didn't take easy way out with DQ at UFC 235 - MMAjunkie,0.0,0,0.777357,0.0,0.0,0.0,0.0
Kstp.com,"Former Minneapolis North star Khalid El-Amin detained, released for delinquent child support - KSTP",0.0,0,0.0,0.0,0.0,0.0,0.0
Yardbarker.com,Mets hire Jessica Mendoza in front office role - Yardbarker,0.0,0,0.0,0.0,0.0,0.0,0.0
Cbssports.com,NFL free agency 2019: Where will Golden Tate play next season? Six potential landing spots - CBS Sports,0.0,0,0.0,0.0,0.0,0.0,0.0
Espn.com,Yankees' Sabathia to serve as ESPN analyst - ESPN,0.0,0,0.0,0.0,0.931038,0.0,0.0
Yahoo.com,"Patrick Beverley is over LeBron James and the Lakers, says Clippers are - Yahoo Sports",0.0,0,0.0,0.0,0.0,0.0,0.0
Indiewire.com,Will Smith’s Casting as Venus and Serena Williams’ Father Sparks Colorism Backlash - IndieWire,0.0,0,0.0,0.0,0.0,0.0,0.0
Cbssports.com,2019 Arnold Palmer Invitational odds: Surprising picks from proven model that nailed four golf majors - CBS Sports,0.0,0,0.0,0.0,0.538448,0.0,0.0
Radio.com,Report: Bears To Release OLB Sam Acho - 670 The Score,0.0,0,0.0,0.0,0.0,0.704642,0.0
